"Step","ofb-final-steps2M-Seed1 - slice1:incoming-traffic","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","static-final-steps2M-Seed1 - slice1:incoming-traffic","static-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","static-final-steps2M-Seed1 - slice1:incoming-traffic__MAX"
"100","","","","","","","15","15","15"
"180","10","10","10","11","11","11","","",""
"250","7","7","7","10","10","10","7","7","7"
"290","","","","","","","11","11","11"
"340","","","","","","","7","7","7"
"410","7","7","7","9","9","9","","",""
"570","","","","","","","10","10","10"
"600","","","","","","","11","11","11"
"640","10","10","10","8","8","8","","",""
"730","","","","","","","6","6","6"
"830","5","5","5","10","10","10","","",""
"890","10","10","10","9","9","9","","",""
"940","12","12","12","7","7","7","","",""
"970","12","12","12","9","9","9","","",""
"1000","7","7","7","12","12","12","","",""
"1050","8","8","8","8","8","8","","",""
"1090","","","","","","","10","10","10"
"1230","10","10","10","12","12","12","","",""
"1430","","","","","","","8","8","8"
"1780","","","","","","","9","9","9"
"1890","","","","","","","12","12","12"
"1910","","","","","","","9","9","9"
"1940","12","12","12","11","11","11","","",""
"1990","9","9","9","9","9","9","","",""
"2070","","","","","","","7","7","7"
"2350","","","","","","","7","7","7"
"2570","12","12","12","9","9","9","","",""
"2580","","","","","","","9","9","9"
"2630","11","11","11","9","9","9","","",""
"2670","","","","","","","12","12","12"
"2680","9","9","9","8","8","8","","",""
"2780","7","7","7","7","7","7","","",""
"2830","","","","","","","8","8","8"
"2910","5","5","5","10","10","10","","",""
"2970","","","","","","","12","12","12"
"3100","8","8","8","10","10","10","","",""
"3170","","","","","","","7","7","7"
"3210","5","5","5","14","14","14","","",""
"3450","10","10","10","10","10","10","","",""
"3480","","","","","","","10","10","10"
"3650","","","","","","","9","9","9"
"3680","12","12","12","7","7","7","","",""
"3960","8","8","8","12","12","12","","",""
"4020","11","11","11","10","10","10","","",""
"4040","8","8","8","10","10","10","","",""
"4150","","","","","","","12","12","12"
"4190","11","11","11","9","9","9","","",""
