"Step","ofb-final-steps2M-Seed1 - slice1:latency_per_packet","ofb-final-steps2M-Seed1 - slice1:latency_per_packet__MIN","ofb-final-steps2M-Seed1 - slice1:latency_per_packet__MAX","dynamic-final-steps2M-Seed1 - slice1:latency_per_packet","dynamic-final-steps2M-Seed1 - slice1:latency_per_packet__MIN","dynamic-final-steps2M-Seed1 - slice1:latency_per_packet__MAX","static-final-steps2M-Seed1 - slice1:latency_per_packet","static-final-steps2M-Seed1 - slice1:latency_per_packet__MIN","static-final-steps2M-Seed1 - slice1:latency_per_packet__MAX"
"70","","","","","","","0","0","0"
"90","0","0","0","","","","","",""
"120","","","","","","","0","0","0"
"150","0","0","0","","","","0","0","0"
"270","","","","1","1","1","","",""
"300","","","","","","","0","0","0"
"410","0","0","0","","","","","",""
"510","","","","9","9","9","","",""
"640","3","3","3","","","","","",""
"650","","","","16","16","16","","",""
"660","","","","","","","0.25","0.25","0.25"
"710","","","","","","","0","0","0"
"780","","","","","","","26","26","26"
"800","57.25","57.25","57.25","","","","","",""
"860","","","","","","","70","70","70"
"940","69.6","69.6","69.6","","","","","",""
"950","","","","","","","60.583333333333336","60.583333333333336","60.583333333333336"
"1010","","","","","","","0","0","0"
"1260","31.357142857142858","31.357142857142858","31.357142857142858","","","","","",""
"1290","24.272727272727273","24.272727272727273","24.272727272727273","","","","","",""
"1330","","","","23","23","23","","",""
"1460","27","27","27","","","","","",""
"1470","","","","61","61","61","","",""
"1490","","","","","","","65.75","65.75","65.75"
"1730","51.61538461538461","51.61538461538461","51.61538461538461","","","","0","0","0"
"1740","","","","53.125","53.125","53.125","","",""
"1810","","","","40.18181818181818","40.18181818181818","40.18181818181818","","",""
"1820","3.3333333333333335","3.3333333333333335","3.3333333333333335","","","","","",""
"1880","","","","45.2","45.2","45.2","","",""
"2010","","","","35","35","35","","",""
"2020","69.9090909090909","69.9090909090909","69.9090909090909","","","","","",""
"2060","","","","","","","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"2100","","","","17.133333333333333","17.133333333333333","17.133333333333333","","",""
"2130","60","60","60","12.833333333333334","12.833333333333334","12.833333333333334","","",""
"2150","","","","10.583333333333334","10.583333333333334","10.583333333333334","","",""
"2260","","","","16.333333333333332","16.333333333333332","16.333333333333332","","",""
"2350","0","0","0","","","","","",""
"2380","","","","","","","0","0","0"
"2430","0","0","0","","","","","",""
