"Step","ofb-final-steps2M-Seed1 - learner:performance","ofb-final-steps2M-Seed1 - learner:performance__MIN","ofb-final-steps2M-Seed1 - learner:performance__MAX","dynamic-final-steps2M-Seed1 - learner:performance","dynamic-final-steps2M-Seed1 - learner:performance__MIN","dynamic-final-steps2M-Seed1 - learner:performance__MAX","static-final-steps2M-Seed1 - learner:performance","static-final-steps2M-Seed1 - learner:performance__MIN","static-final-steps2M-Seed1 - learner:performance__MAX"
"1000","-83.55770676691725","-83.55770676691725","-83.55770676691725","-6.276315789473687","-6.276315789473687","-6.276315789473687","-71.85357142857141","-71.85357142857141","-71.85357142857141"
"2000","-112.43618421052632","-112.43618421052632","-112.43618421052632","-66.03919172932328","-66.03919172932328","-66.03919172932328","-125.05056390977441","-125.05056390977441","-125.05056390977441"
"3000","-102.48020050125312","-102.48020050125312","-102.48020050125312","-65.04536340852128","-65.04536340852128","-65.04536340852128","-86.29686716791979","-86.29686716791979","-86.29686716791979"
"4000","-77.48843984962404","-77.48843984962404","-77.48843984962404","-56.10639097744362","-56.10639097744362","-56.10639097744362","-85.86076127819541","-85.86076127819541","-85.86076127819541"
"5000","-72.97770676691728","-72.97770676691728","-72.97770676691728","-49.11669172932332","-49.11669172932332","-49.11669172932332","-74.78860902255634","-74.78860902255634","-74.78860902255634"
"6000","-60.81475563909773","-60.81475563909773","-60.81475563909773","-44.1279448621554","-44.1279448621554","-44.1279448621554","-63.685682957393446","-63.685682957393446","-63.685682957393446"
"7000","-52.126933404940914","-52.126933404940914","-52.126933404940914","-39.98936627282494","-39.98936627282494","-39.98936627282494","-55.59148764769062","-55.59148764769062","-55.59148764769062"
"8000","-45.61106672932331","-45.61106672932331","-45.61106672932331","-36.72626879699251","-36.72626879699251","-36.72626879699251","-49.497814849624035","-49.497814849624035","-49.497814849624035"
"9000","-40.54317042606517","-40.54317042606517","-40.54317042606517","-33.301796157059336","-33.301796157059336","-33.301796157059336","-44.752443609022535","-44.752443609022535","-44.752443609022535"
"10000","-36.48885338345865","-36.48885338345865","-36.48885338345865","-31.205827067669198","-31.205827067669198","-31.205827067669198","-40.992988721804494","-40.992988721804494","-40.992988721804494"
"11000","-33.17168489405332","-33.17168489405332","-33.17168489405332","-29.388072453861948","-29.388072453861948","-29.388072453861948","-37.92424812030074","-37.92424812030074","-37.92424812030074"
"12000","-30.407377819548874","-30.407377819548874","-30.407377819548874","-27.32393483709275","-27.32393483709275","-27.32393483709275","-34.8439379699248","-34.8439379699248","-34.8439379699248"
"13000","-28.068348756506655","-28.068348756506655","-28.068348756506655","-25.914401388085615","-25.914401388085615","-25.914401388085615","-32.246631000578354","-32.246631000578354","-32.246631000578354"
"14000","-26.063466702470464","-26.063466702470464","-26.063466702470464","-24.36976369495168","-24.36976369495168","-24.36976369495168","-48.031860902255616","-48.031860902255616","-48.031860902255616"
"15000","-24.3259022556391","-24.3259022556391","-24.3259022556391","-23.13370927318297","-23.13370927318297","-23.13370927318297","-69.19375939849621","-69.19375939849621","-69.19375939849621"
"16000","-22.805533364661656","-22.805533364661656","-22.805533364661656","-22.37699718045114","-22.37699718045114","-22.37699718045114","-86.689532424812","-86.689532424812","-86.689532424812"
"17000","-21.4640314020345","-21.4640314020345","-21.4640314020345","-21.307607253427697","-21.307607253427697","-21.307607253427697","-94.55924369747896","-94.55924369747896","-94.55924369747896"
"18000","-20.3734022556391","-20.3734022556391","-20.3734022556391","-20.35045948203844","-20.35045948203844","-20.35045948203844","-108.394454887218","-108.394454887218","-108.394454887218"
"19000","-37.52044914918877","-37.52044914918877","-37.52044914918877","-20.151404827859132","-20.151404827859132","-20.151404827859132","-107.57334784329238","-107.57334784329238","-107.57334784329238"
"20000","-53.3273402255639","-53.3273402255639","-53.3273402255639","-25.33106203007519","-25.33106203007519","-25.33106203007519","-104.11806390977438","-104.11806390977438","-104.11806390977438"
"21000","-68.12752416756175","-68.12752416756175","-68.12752416756175","-37.15908521303259","-37.15908521303259","-37.15908521303259","-99.51657715717862","-99.51657715717862","-99.51657715717862"
"22000","-71.40058954203688","-71.40058954203688","-71.40058954203688","-36.99146445659604","-36.99146445659604","-36.99146445659604","-95.14261790840733","-95.14261790840733","-95.14261790840733"
"23000","-68.29621608368745","-68.29621608368745","-68.29621608368745","-35.45178980058843","-35.45178980058843","-35.45178980058843","-91.35495259888849","-91.35495259888849","-91.35495259888849"
"24000","-65.45876409774434","-65.45876409774434","-65.45876409774434","-34.031649436090234","-34.031649436090234","-34.031649436090234","-88.056719924812","-88.056719924812","-88.056719924812"
"25000","-64.1335714285714","-64.1335714285714","-64.1335714285714","-32.70617293233084","-32.70617293233084","-32.70617293233084","-84.97760902255636","-84.97760902255636","-84.97760902255636"
"26000","-62.89968912666279","-62.89968912666279","-62.89968912666279","-31.566664256795846","-31.566664256795846","-31.566664256795846","-81.88282244071715","-81.88282244071715","-81.88282244071715"
"27000","-62.18313143971039","-62.18313143971039","-62.18313143971039","-30.612928153717636","-30.612928153717636","-30.612928153717636","-79.53433583959897","-79.53433583959897","-79.53433583959897"
"28000","-61.17518125671321","-61.17518125671321","-61.17518125671321","-29.57271079484426","-29.57271079484426","-29.57271079484426","-77.48846670247043","-77.48846670247043","-77.48846670247043"
"29000","-60.77440368161785","-60.77440368161785","-60.77440368161785","-28.583815141301535","-28.583815141301535","-28.583815141301535","-75.4552890847809","-75.4552890847809","-75.4552890847809"
"30000","-60.36657268170429","-60.36657268170429","-60.36657268170429","-27.63102130325815","-27.63102130325815","-27.63102130325815","-73.47783208020047","-73.47783208020047","-73.47783208020047"
"31000","-60.96298205190399","-60.96298205190399","-60.96298205190399","-26.763467135580893","-26.763467135580893","-26.763467135580893","-71.55367450885277","-71.55367450885277","-71.55367450885277"
"32000","-61.41027373120306","-61.41027373120306","-61.41027373120306","-25.927108787593987","-25.927108787593987","-25.927108787593987","-69.96770441729322","-69.96770441729322","-69.96770441729322"
"33000","-61.04616655274557","-61.04616655274557","-61.04616655274557","-25.141438824333562","-25.141438824333562","-25.141438824333562","-68.36023012075643","-68.36023012075643","-68.36023012075643"
"34000","-59.78203781512611","-59.78203781512611","-59.78203781512611","-24.40198474126493","-24.40198474126493","-24.40198474126493","-66.97037815126049","-66.97037815126049","-66.97037815126049"
"35000","-58.25480665950597","-58.25480665950597","-58.25480665950597","-23.75591299677766","-23.75591299677766","-23.75591299677766","-65.6385177228786","-65.6385177228786","-65.6385177228786"
"36000","-56.72031641604016","-56.72031641604016","-56.72031641604016","-23.169125939849625","-23.169125939849625","-23.169125939849625","-64.28671679197993","-64.28671679197993","-64.28671679197993"
"37000","-55.729496037390824","-55.729496037390824","-55.729496037390824","-22.59378683194473","-22.59378683194473","-22.59378683194473","-63.303505385084314","-63.303505385084314","-63.303505385084314"
"38000","-54.26293035219633","-54.26293035219633","-54.26293035219633","-22.033493272655324","-22.033493272655324","-22.033493272655324","-62.13346853977046","-62.13346853977046","-62.13346853977046"
"39000","-52.87157316367848","-52.87157316367848","-52.87157316367848","-21.50395700790438","-21.50395700790438","-21.50395700790438","-61.24947946790051","-61.24947946790051","-61.24947946790051"
"40000","-54.477518796992534","-54.477518796992534","-54.477518796992534","-21.01570018796993","-21.01570018796993","-21.01570018796993","-60.308045112781954","-60.308045112781954","-60.308045112781954"
"41000","-57.175912341830234","-57.175912341830234","-57.175912341830234","-20.50921969558042","-20.50921969558042","-20.50921969558042","-59.25175132954337","-59.25175132954337","-59.25175132954337"
"42000","-55.81458109559618","-55.81458109559618","-55.81458109559618","-20.021218224131765","-20.021218224131765","-20.021218224131765","-58.211296097386324","-58.211296097386324","-58.211296097386324"
"43000","-54.51656758174511","-54.51656758174511","-54.51656758174511","-19.58039429970275","-19.58039429970275","-19.58039429970275","-57.427924462318586","-57.427924462318586","-57.427924462318586"
"44000","-53.27755468215999","-53.27755468215999","-53.27755468215999","-19.23257433356118","-19.23257433356118","-19.23257433356118","-56.48996924128503","-56.48996924128503","-56.48996924128503"
"45000","-52.093609022556436","-52.093609022556436","-52.093609022556436","-18.8399791144528","-18.8399791144528","-18.8399791144528","-55.24662489557226","-55.24662489557226","-55.24662489557226"
"46000","-51.26176855181436","-51.26176855181436","-51.26176855181436","-18.4447164105917","-18.4447164105917","-18.4447164105917","-54.28645799280811","-54.28645799280811","-54.28645799280811"
"47000","-50.42809150535919","-50.42809150535919","-50.42809150535919","-18.06823308270677","-18.06823308270677","-18.06823308270677","-53.615749480083196","-53.615749480083196","-53.615749480083196"
"48000","-49.703438283208065","-49.703438283208065","-49.703438283208065","-17.73950892857143","-17.73950892857143","-17.73950892857143","-52.79343671679198","-52.79343671679198","-52.79343671679198"
"49000","-48.99225103575269","-48.99225103575269","-48.99225103575269","-17.40030305355225","-17.40030305355225","-17.40030305355225","-51.901304281110946","-51.901304281110946","-51.901304281110946"
"50000","-48.274511278195526","-48.274511278195526","-48.274511278195526","-17.099665413533835","-17.099665413533835","-17.099665413533835","-51.01222556390978","-51.01222556390978","-51.01222556390978"
"51000","-47.60323603125464","-47.60323603125464","-47.60323603125464","-16.784759693351024","-16.784759693351024","-16.784759693351024","-50.269983782986884","-50.269983782986884","-50.269983782986884"
"52000","-46.69411509543092","-46.69411509543092","-46.69411509543092","-16.495376662810873","-16.495376662810873","-16.495376662810873","-49.34095575477155","-49.34095575477155","-49.34095575477155"
"53000","-45.81656972620233","-45.81656972620233","-45.81656972620233","-16.184391403035892","-16.184391403035892","-16.184391403035892","-48.6471981841396","-48.6471981841396","-48.6471981841396"
"54000","-44.968114731272664","-44.968114731272664","-44.968114731272664","-15.910508911166808","-15.910508911166808","-15.910508911166808","-51.65994152046783","-51.65994152046783","-51.65994152046783"
"55000","-44.15051264524952","-44.15051264524952","-44.15051264524952","-15.665006835269994","-15.665006835269994","-15.665006835269994","-56.513848257006146","-56.513848257006146","-56.513848257006146"
"56000","-43.36211063372722","-43.36211063372722","-43.36211063372722","-15.406891111707845","-15.406891111707845","-15.406891111707845","-57.1767118689581","-57.1767118689581","-57.1767118689581"
"57000","-42.60137185067937","-42.60137185067937","-42.60137185067937","-15.152522754254058","-15.152522754254058","-15.152522754254058","-57.01932462735787","-57.01932462735787","-57.01932462735787"
"58000","-41.86686543946076","-41.86686543946076","-41.86686543946076","-14.929611744879443","-14.929611744879443","-14.929611744879443","-56.63854679802956","-56.63854679802956","-56.63854679802956"
"59000","-41.15725755065634","-41.15725755065634","-41.15725755065634","-14.773802089970692","-14.773802089970692","-14.773802089970692","-56.396234229641905","-56.396234229641905","-56.396234229641905"
"60000","-40.471303258145404","-40.471303258145404","-40.471303258145404","-14.58042293233083","-14.58042293233083","-14.58042293233083","-55.701472431077704","-55.701472431077704","-55.701472431077704"
"61000","-39.80783927030695","-39.80783927030695","-39.80783927030695","-14.3739707876248","-14.3739707876248","-14.3739707876248","-54.801707136694205","-54.801707136694205","-54.801707136694205"
"62000","-39.16577734659232","-39.16577734659232","-39.16577734659232","-14.174390613630854","-14.174390613630854","-14.174390613630854","-53.96449793839438","-53.96449793839438","-53.96449793839438"
"63000","-38.54409834109086","-38.54409834109086","-38.54409834109086","-14.025632533715243","-14.025632533715243","-14.025632533715243","-53.182688865019706","-53.182688865019706","-53.182688865019706"
"64000","-37.941846804511314","-37.941846804511314","-37.941846804511314","-13.835264920112785","-13.835264920112785","-13.835264920112785","-52.36219454887219","-52.36219454887219","-52.36219454887219"
"65000","-37.358126084441906","-37.358126084441906","-37.358126084441906","-13.670390399074613","-13.670390399074613","-13.670390399074613","-51.60439560439561","-51.60439560439561","-51.60439560439561"
"66000","-36.792093871041274","-36.792093871041274","-36.792093871041274","-13.496955456823882","-13.496955456823882","-13.496955456823882","-50.82908976987925","-50.82908976987925","-50.82908976987925"
"67000","-36.24295814162275","-36.24295814162275","-36.24295814162275","-13.336749523061389","-13.336749523061389","-13.336749523061389","-52.84467792615869","-52.84467792615869","-52.84467792615869"
"68000","-35.709973463069474","-35.709973463069474","-35.709973463069474","-13.168484630694387","-13.168484630694387","-13.168484630694387","-52.12385835913314","-52.12385835913314","-52.12385835913314"
