step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,5273,8507,775,0,0,296,1040.531,139.222,0.0,3.631,161.92756504051496,13.013995376845367,0,0,1.0,342,329.17,0.19999999999999718,1.0
0,5546,9011,319,0,0,1215,682.697,354.051,0.0,8.923,91.62586475468973,34.687836516261534,0,0,1.0,342,987.17,0.19999999999999718,0.9549925860214595
0,6130,9387,668,0,0,0,1370.412,128.324,0.0,0.0,216.4006875596625,13.506343722943726,0,0,1.0,342,1474.074,0.19999999999999718,0.9120108393559273
0,5919,9514,680,0,0,0,1236.562,316.978,0.0,4.691,179.4670095043847,33.08142311577311,0,0,1.0,342,1499.658,0.19999999999999718,0.8709635899560891
0,4397,9428,2318,0,0,0,1490.621,5.87,0.0,0.0,308.4663434482186,0.6239269647019644,0,0,1.0,342,1499.658,0.19999999999999718,0.8317637711026817
0,6130,9445,621,0,0,0,1417.03,127.537,0.0,0.0,246.82615261682793,13.20121551226552,0,0,1.0,342,1499.658,0.19999999999999718,0.7943282347242763
0,6239,9577,534,0,0,0,1453.204,113.481,0.0,0.0,232.0777633977137,11.81401498223997,0,0,1.0,342,1499.658,0.19999999999999718,0.7585775750291908
0,5992,9588,520,0,0,0,1422.127,74.385,0.0,0.0,218.36018005050497,8.018453538128533,0,0,1.0,342,1499.658,0.19999999999999718,0.7244359600749786
0,6190,9550,516,0,0,0,1477.252,50.708,0.0,0.0,245.61987907647892,5.206081080031077,0,0,1.0,342,1499.658,0.19999999999999718,0.6918309709189275
0,6097,9597,544,0,0,0,1476.508,36.58,0.0,0.0,237.00191533188993,3.899983752358753,0,0,1.0,342,1499.658,0.19999999999999718,0.6606934480075867
0,6263,9328,550,0,0,0,1446.603,54.938,0.0,0.0,238.20341027583518,5.785030810855811,0,0,1.0,342,1499.658,0.19999999999999718,0.6309573444801829
0,6714,9286,73,0,0,0,1436.453,163.908,0.0,0.0,215.22419705017205,17.30008553113552,0,0,1.0,342,1499.658,0.19999999999999718,0.6025595860743465
0,6580,9417,82,0,0,0,1430.594,336.392,0.0,0.0,214.59566875901868,35.3644341297591,0,0,1.0,342,1499.658,0.19999999999999718,0.5754399373371473
0,6886,9109,92,0,0,146,1357.416,540.981,0.0,14.755,203.50152245254785,57.27897646242642,0,0,1.0,342,1499.658,0.19999999999999718,0.5495408738576189
0,6906,9094,0,0,0,359,1072.503,648.115,0.0,18.892,160.70458069985554,68.5542438256189,0,0,1.0,342,1499.658,0.19999999999999718,0.5248074602497619
0,6474,9526,0,0,0,54,920.283,617.141,0.0,19.091,139.06591677489175,64.61624662559667,0,0,1.0,342,1499.658,0.19999999999999718,0.501187233627266
0,6440,9556,0,0,0,0,1201.147,490.284,0.0,13.877,179.6359224747475,51.89352749750243,0,0,1.0,342,1499.658,0.19999999999999718,0.4786300923226434
0,6662,9337,0,0,0,153,1164.22,611.384,0.0,19.063,176.20147546897562,64.1795852786103,0,0,1.0,342,1499.658,0.19999999999999718,0.4570881896148681
0,6229,9770,209,0,0,0,1410.119,421.841,0.0,5.045,219.77475595238087,43.72194504662004,0,0,1.0,342,1499.658,0.19999999999999718,0.43651583224016205
0,6290,9710,267,0,0,0,1455.372,400.454,0.0,1.845,226.90160873015856,42.08230300810294,0,0,1.0,342,1499.658,0.19999999999999718,0.4168693834703309
0,6054,9656,569,0,0,0,1488.733,91.072,0.0,0.0,242.41711507936475,9.674990251415279,0,0,1.0,342,1499.658,0.19999999999999718,0.39810717055349104
0,6513,9440,250,0,0,0,1474.115,110.315,0.0,0.0,229.16904444444438,11.52085422077923,0,0,1.0,342,1499.658,0.19999999999999718,0.3801893963205694
0,6057,9733,610,0,0,0,1490.732,34.326,0.0,0.0,246.59157023809507,3.5440282328782318,0,0,1.0,342,1499.658,0.19999999999999718,0.3630780547701004
0,5744,9538,927,0,0,0,1491.181,6.551,0.0,0.0,250.65864920634894,0.6741273920523915,0,0,1.0,342,1499.658,0.19999999999999718,0.3467368504525389
0,5802,9565,842,0,0,0,1474.69,31.21,0.0,0.0,261.8393655483408,3.2060863913863917,0,0,1.0,342,1499.658,0.19999999999999718,0.331131121482595
0,6309,9609,343,0,0,0,1469.392,65.746,0.0,0.0,233.21769166666664,6.8987822011321915,0,0,1.0,342,1499.658,0.19999999999999718,0.31622776601684016
0,5291,9450,1404,0,0,0,1486.972,12.272,0.0,0.0,272.97150317460336,1.260737420912419,0,0,1.0,342,1499.658,0.19999999999999718,0.3019951720402024
0,5018,9454,1691,0,0,0,1490.552,8.205,0.0,0.0,303.263036904762,0.8678924492174497,0,0,1.0,342,1499.658,0.19999999999999718,0.28840315031266067
0,5415,9415,1408,0,0,0,1480.081,22.527,0.0,0.0,278.9260841269842,2.3241911255411227,0,0,1.0,342,1499.658,0.19999999999999718,0.27542287033381607
0,5350,9618,1226,0,0,0,1462.356,56.746,0.0,0.0,260.1327777777776,5.951498806748805,0,0,1.0,342,1499.658,0.19999999999999718,0.2630267991895347
0,5698,9481,1051,0,0,0,1464.972,51.109,0.0,0.0,259.59731414141413,5.285573096348101,0,0,1.0,342,1499.658,0.19999999999999718,0.2511886431509552
0,5132,9558,1581,0,0,0,1483.804,28.063,0.0,0.0,288.7641658730159,2.9242121406371417,0,0,1.0,342,1499.658,0.19999999999999718,0.23988329190194727
0,5385,9586,1286,0,0,0,1483.519,21.84,0.0,0.0,270.94799960317454,2.2601001970251997,0,0,1.0,342,1499.658,0.19999999999999718,0.229086765276776
0,5126,9530,1604,0,0,0,1481.276,22.943,0.0,0.0,284.6515456349206,2.3734963564213536,0,0,1.0,342,1499.658,0.19999999999999718,0.21877616239495812
0,5157,9534,1547,0,0,0,1481.394,20.235,0.0,0.0,288.92124365079343,2.1551426406926417,0,0,1.0,342,1499.658,0.19999999999999718,0.20892961308540803
0,5413,9502,1290,0,0,0,1467.709,33.037,0.0,0.0,257.8316654761903,3.4506310550560535,0,0,1.0,342,1499.658,0.19999999999999718,0.1995262314968896
0,4556,9564,2121,0,0,0,1484.075,21.723,0.0,0.0,276.99907420634906,2.258238242313242,0,0,1.0,342,1499.658,0.19999999999999718,0.1905460717963217
0,5348,9274,1432,0,0,0,1481.855,14.511,0.0,0.0,290.03293809523836,1.5330285686535694,0,0,1.0,342,1499.658,0.19999999999999718,0.18197008586099675
0,4536,9676,2102,0,0,0,1487.162,15.834,0.0,0.0,309.93989603174606,1.6206737290487265,0,0,1.0,342,1499.658,0.19999999999999718,0.1737800828749394
0,4862,9488,1793,0,0,0,1491.565,7.672,0.0,0.0,308.39882499999976,0.8005797258297251,0,0,1.0,342,1499.658,0.19999999999999718,0.16595869074375588
0,5376,9464,1292,0,0,0,1438.578,77.618,0.0,0.0,266.4363476190473,8.22762236097235,0,0,1.0,342,1499.658,0.19999999999999718,0.15848931924611304
0,5504,9498,1182,0,0,0,1467.652,38.012,0.0,0.0,268.4033567460314,4.004826803751805,0,0,1.0,342,1499.658,0.19999999999999718,0.15135612484362077
0,4797,9600,1864,0,0,0,1466.865,58.361,0.0,0.0,258.89899484126977,6.152126734376728,0,0,1.0,342,1499.658,0.19999999999999718,0.1445439770745913
0,5584,9100,1228,0,0,0,1443.398,56.398,0.0,0.0,293.27655198412674,6.041452700077708,0,0,1.0,342,1499.658,0.19999999999999718,0.13803842646028752
0,6701,9299,41,0,0,0,1346.983,269.496,0.0,0.0,202.70020277777803,28.268038314463315,0,0,1.0,342,1499.658,0.19999999999999718,0.13182567385564337
0,5703,9773,842,0,0,0,1456.09,91.013,0.0,0.0,248.4130674603175,9.727992210567203,0,0,1.0,342,1499.658,0.19999999999999718,0.12589254117941434
0,4888,9509,1730,0,0,0,1489.553,11.267,0.0,0.0,293.81985198412684,1.2125914862914846,0,0,1.0,342,1499.658,0.19999999999999718,0.12022644346174313
0,5728,9396,1075,0,0,0,1467.325,31.914,0.0,0.0,271.1066253968253,3.3830310384060387,0,0,1.0,342,1499.658,0.19999999999999718,0.11481536214968754
0,5896,9585,690,0,0,0,1466.448,43.838,0.0,0.0,238.44862380952355,4.640512079587078,0,0,1.0,342,1499.658,0.19999999999999718,0.10964781961432042
0,6054,9466,566,0,0,0,1459.002,47.525,0.0,0.0,246.6981440476192,4.984405439005434,0,0,1.0,342,1499.658,0.19999999999999718,0.1047128548050875
0,5679,9580,1000,0,0,0,1471.409,45.817,0.0,0.0,251.75816626984144,4.747724658674658,0,0,1.0,342,1499.658,0.19999999999999718,0.09999999999999859
0,6610,9342,149,0,0,0,1426.763,108.027,0.0,0.0,225.785997619048,11.324502017427013,0,0,1.0,342,1499.658,0.19999999999999718,0.09549925860214517
0,6884,9116,51,0,0,0,1392.724,285.396,0.0,0.909,207.30284285714285,29.910478887778883,0,0,1.0,342,1499.658,0.19999999999999718,0.09120108393559098
0,6824,9176,0,0,0,217,1385.65,534.05,0.0,11.977,205.6044242063494,55.96415159840157,0,0,1.0,342,1499.658,0.19999999999999718,0.08709635899560883
0,6787,9210,0,0,0,524,1058.391,600.675,0.0,17.06,157.4580376984128,62.73225985125996,0,0,1.0,342,1499.658,0.19999999999999718,0.08317637711026711
