step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,5250,9982,0,0,0,0,9.498,1.227,0.0,0.0,1.7531333333333334,0.11573429348429363,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5282,9970,0,0,0,0,3.021,1.716,0.0,0.0,0.556741666666666,0.16130096015096024,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5259,9864,0,0,0,0,6.005,1.112,0.0,0.0,1.1204904761904775,0.10590999833499837,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5282,9923,0,0,0,0,3.577,1.145,0.0,0.0,0.6540666666666662,0.10787513042513053,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5273,9902,0,0,0,0,19.093,1.584,0.0,0.0,3.4687380952380935,0.14788088855588868,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5241,9960,0,0,0,0,12.882,2.263,0.0,0.0,2.38985,0.21156287046287067,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5326,9990,0,0,0,0,5.044,1.167,0.0,0.0,0.9285500000000017,0.11112495282495294,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5316,9994,0,0,0,0,2.986,1.414,0.0,0.0,0.5519309523809521,0.13439310689310682,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5250,9858,0,0,0,0,4.711,1.462,0.0,0.0,0.8896619047619044,0.13820415972915978,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5287,9946,0,0,0,0,3.837,1.096,0.0,0.0,0.714445238095238,0.10238653013653026,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5285,9935,0,0,0,0,2.289,1.426,0.0,0.0,0.4213999999999997,0.13467342102342106,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5264,9943,0,0,0,0,5.982,1.157,0.0,0.0,1.119402380952382,0.10815284437784436,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5219,9952,0,0,0,0,6.182,1.235,0.0,0.0,1.1199285714285716,0.11614806027306025,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5349,10020,0,0,0,0,11.455,2.012,0.0,0.0,2.1257261904761906,0.1878840992340993,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5335,10071,0,0,0,0,3.778,1.532,0.0,0.0,0.7089976190476193,0.1451901820401819,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5246,9870,0,0,0,0,7.0,1.312,0.0,0.0,1.3269119047619051,0.12526913641913642,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5282,9917,0,0,0,0,3.167,1.131,0.0,0.0,0.5870809523809521,0.10713407703407705,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5225,10094,0,0,0,0,4.703,2.18,0.0,0.0,0.8848857142857152,0.20231757964257974,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5316,10111,0,0,0,0,4.911,2.118,0.0,0.0,0.9120095238095244,0.1989793567543568,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5294,9967,0,0,0,0,3.144,1.456,0.0,0.0,0.5864785714285711,0.13624733599733613,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5347,9961,0,0,0,0,3.213,1.118,0.0,0.0,0.593088095238095,0.10612492784992793,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5296,9976,0,0,0,0,4.932,1.552,0.0,0.0,0.9109857142857144,0.14666824009324006,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5268,10023,0,0,0,0,2.916,1.719,0.0,0.0,0.5501761904761895,0.16148217615717628,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5277,9916,0,0,0,0,3.695,1.228,0.0,0.0,0.6898785714285706,0.11566692196692202,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5300,9902,0,0,0,0,4.424,2.03,0.0,0.0,0.8261142857142865,0.19587952325452346,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5215,9967,0,0,0,0,9.636,2.038,0.0,0.0,1.7538047619047632,0.19197851037851046,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5247,9991,0,0,0,0,8.149,1.567,0.0,0.0,1.5120535714285726,0.1475134532134534,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5264,10036,0,0,0,0,3.387,1.692,0.0,0.0,0.6342642857142862,0.1589153402153402,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5306,10026,0,0,0,0,8.135,1.092,0.0,0.0,1.5050761904761907,0.10278195970695973,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5296,9940,0,0,0,0,4.549,1.573,0.0,0.0,0.8473273809523831,0.15021857864357868,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5225,9993,0,0,0,0,3.151,1.992,0.0,0.0,0.5807166666666665,0.18618650793650818,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5291,10018,0,0,0,0,3.341,1.683,0.0,0.0,0.606744047619048,0.15865493117993135,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5276,9904,0,0,0,0,3.572,1.421,0.0,0.0,0.6657226190476202,0.1346016816516818,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5302,9967,0,0,0,0,13.721,1.374,0.0,0.0,2.5611119047619058,0.12870907425907419,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5328,10164,0,0,0,0,5.383,2.454,0.0,0.0,1.0091833333333344,0.2276099456099455,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5271,9994,0,0,0,0,3.106,1.822,0.0,0.0,0.5842690476190476,0.17019737207237237,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5261,9960,0,0,0,0,4.724,1.535,0.0,0.0,0.8937714285714286,0.14697996170496175,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5292,10000,0,0,0,0,4.24,1.284,0.0,0.0,0.7790428571428569,0.12195796425796426,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5249,10064,0,0,0,0,3.064,2.206,0.0,0.0,0.5753119047619049,0.20685076590076598,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,5317,9994,0,0,0,0,18.484,1.13,0.0,0.0,3.40647619047619,0.10786829559329568,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
