step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,6807,8516,0,0,0,0,525.148,237.209,0.0,4.689,67.88699542957043,25.244431629481618,0,0,1.0,342,329.17,0.19999999999999718,1.0
0,6698,7092,0,0,0,2431,318.988,467.386,0.0,11.831,37.70749699744699,47.63595315517816,0,0,1.0,342,987.17,0.19999999999999718,0.9549925860214595
0,5877,9043,1247,0,0,0,1399.161,121.083,0.0,0.934,211.36809793817284,12.873560916860932,0,0,1.0,342,1474.074,0.19999999999999718,0.9120108393559273
0,6448,9011,953,0,0,0,1377.953,185.307,0.0,3.228,210.05345978188484,20.276212473637468,0,0,1.0,342,1499.658,0.19999999999999718,0.8709635899560891
0,6842,8762,709,0,0,0,1332.513,267.045,0.0,6.264,201.7373022366523,29.490877478077472,0,0,1.0,342,1499.658,0.19999999999999718,0.8317637711026817
0,6130,9400,1246,0,0,0,1488.279,109.687,0.0,0.0,234.27674058441528,12.10943195138197,0,0,1.0,342,1499.658,0.19999999999999718,0.7943282347242763
0,6979,8940,437,0,0,0,1454.522,82.353,0.0,0.0,211.11742263292254,9.10262113719614,0,0,1.0,342,1499.658,0.19999999999999718,0.7585775750291908
0,6697,9119,667,0,0,0,1471.042,85.013,0.0,0.0,215.36560215895233,9.371366444666446,0,0,1.0,342,1499.658,0.19999999999999718,0.7244359600749786
0,6525,9042,898,0,0,0,1473.614,44.525,0.0,0.0,224.1735828282829,4.925868428793426,0,0,1.0,342,1499.658,0.19999999999999718,0.6918309709189275
0,7092,8666,372,0,0,0,1446.002,141.234,0.0,0.0,208.8653257548006,15.351723634698644,0,0,1.0,342,1499.658,0.19999999999999718,0.6606934480075867
0,7213,8787,64,0,0,30,1386.641,560.442,0.0,17.723,191.0156701465201,62.195677425352464,0,0,1.0,342,1499.658,0.19999999999999718,0.6309573444801829
0,7017,8977,362,0,0,138,1467.697,590.955,0.0,17.633,206.72884758297246,65.6038952103452,0,0,1.0,342,1499.658,0.19999999999999718,0.6025595860743465
0,6893,9107,531,0,0,0,1487.21,494.878,0.0,13.979,214.7126630591633,54.69326556776554,0,0,1.0,342,1499.658,0.19999999999999718,0.5754399373371473
0,6996,9004,368,0,0,0,1485.303,375.886,0.0,0.616,213.57185685425662,41.81080084082582,0,0,1.0,342,1499.658,0.19999999999999718,0.5495408738576189
0,6781,9219,591,0,0,0,1484.691,403.666,0.0,4.004,216.55794541847038,44.43870376845376,0,0,1.0,342,1499.658,0.19999999999999718,0.5248074602497619
0,6797,9201,595,0,0,0,1475.894,150.006,0.0,0.0,217.835404387279,16.770756099456104,0,0,1.0,342,1499.658,0.19999999999999718,0.501187233627266
0,5955,9138,1400,0,0,0,1491.103,19.62,0.0,0.0,246.79010198412703,2.139097533022533,0,0,1.0,342,1499.658,0.19999999999999718,0.4786300923226434
0,6773,8903,568,0,0,0,1462.069,72.016,0.0,0.0,220.645868037518,8.005152247752243,0,0,1.0,342,1499.658,0.19999999999999718,0.4570881896148681
0,6895,9093,527,0,0,0,1468.396,111.329,0.0,0.0,208.13900555000544,12.346922516372523,0,0,1.0,342,1499.658,0.19999999999999718,0.43651583224016205
0,6122,9019,1263,0,0,0,1481.301,32.609,0.0,0.0,242.88757593795114,3.5804956154956145,0,0,1.0,342,1499.658,0.19999999999999718,0.4168693834703309
0,6310,8795,1146,0,0,0,1439.984,74.092,0.0,0.0,238.77735515873002,8.297469447219454,0,0,1.0,342,1499.658,0.19999999999999718,0.39810717055349104
0,6211,9056,1113,0,0,0,1473.457,42.278,0.0,0.0,224.9556492063495,4.760046611721609,0,0,1.0,342,1499.658,0.19999999999999718,0.3801893963205694
0,6198,8969,1108,0,0,0,1465.594,49.131,0.0,0.0,239.8403052308805,5.45735736208237,0,0,1.0,342,1499.658,0.19999999999999718,0.3630780547701004
0,6412,8965,970,0,0,0,1440.41,121.427,0.0,0.0,234.53948178210675,13.315482842157843,0,0,1.0,342,1499.658,0.19999999999999718,0.3467368504525389
0,6308,9018,1090,0,0,0,1446.764,74.954,0.0,0.0,231.04982049062028,8.24663018370518,0,0,1.0,342,1499.658,0.19999999999999718,0.331131121482595
0,6732,9089,539,0,0,0,1420.309,120.236,0.0,0.0,205.32769722222224,13.292195313020335,0,0,1.0,342,1499.658,0.19999999999999718,0.31622776601684016
0,6512,8836,998,0,0,0,1470.996,45.529,0.0,0.0,235.33769996392508,5.055254273504272,0,0,1.0,342,1499.658,0.19999999999999718,0.3019951720402024
0,7112,8837,326,0,0,0,1404.312,192.215,0.0,0.0,199.0878900432899,21.695387407037455,0,0,1.0,342,1499.658,0.19999999999999718,0.28840315031266067
0,6915,9085,270,0,0,0,1419.438,195.098,0.0,0.0,198.9910216450216,21.909685209235203,0,0,1.0,342,1499.658,0.19999999999999718,0.27542287033381607
0,6431,8848,1097,0,0,0,1459.986,58.688,0.0,0.0,228.74349733044724,6.526253657453665,0,0,1.0,342,1499.658,0.19999999999999718,0.2630267991895347
0,6562,8997,849,0,0,0,1458.856,103.795,0.0,0.0,221.87623968253982,11.477017102342101,0,0,1.0,342,1499.658,0.19999999999999718,0.2511886431509552
0,6359,9158,1071,0,0,0,1468.354,75.197,0.0,0.0,226.00999960317446,8.241838597513604,0,0,1.0,342,1499.658,0.19999999999999718,0.23988329190194727
0,6461,8857,1027,0,0,0,1476.768,36.982,0.0,0.0,238.73639108946594,4.041991694416693,0,0,1.0,342,1499.658,0.19999999999999718,0.229086765276776
0,6700,8871,774,0,0,0,1453.388,153.619,0.0,0.0,222.71526994949508,16.83432672327673,0,0,1.0,342,1499.658,0.19999999999999718,0.21877616239495812
0,6728,9272,550,0,0,0,1414.772,390.648,0.0,6.005,201.84822741702723,43.571553854478864,0,0,1.0,342,1499.658,0.19999999999999718,0.20892961308540803
0,6457,9144,951,0,0,0,1392.16,160.659,0.0,0.152,216.70892168109702,17.981197882672863,0,0,1.0,342,1499.658,0.19999999999999718,0.1995262314968896
0,6579,8861,1002,0,0,0,1451.083,84.016,0.0,0.0,232.0769183982685,9.164135825285822,0,0,1.0,342,1499.658,0.19999999999999718,0.1905460717963217
