step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,4606,9556,933,0,0,0,1176.993,81.421,0.0,0.0,172.63143212898214,8.468790802253295,0,0,1.0,560.0,86.082,0.19999999999999718,1.0
0,6192,9170,788,0,0,75,1408.051,393.832,0.0,7.585,220.62696566489066,40.4714870171495,0,0,1.0,494.0,258.27,0.19544744419116045,0.9549925860214595
0,5808,9668,1258,0,0,74,1423.543,359.377,0.0,3.851,225.94941066156056,38.01426560800307,0,0,1.0,455.0,431.122,0.19099851720429034,0.9120108393559273
0,5838,9139,1216,0,0,0,1460.379,182.908,0.0,0.0,259.57923072760565,19.292830085192588,0,0,1.0,550.0,481.153,0.18665086015940147,0.8709635899560891
0,5618,9939,1314,0,0,0,1482.336,288.724,0.0,5.065,239.87119056499057,30.2348220751471,0,0,1.0,448.0,515.789,0.18240216787118196,0.8317637711026817
0,5178,9411,1900,0,0,0,1484.759,60.519,0.0,0.0,273.94084545454524,6.427914110889115,0,0,1.0,460.0,562.145,0.17825018762675063,0.7943282347242763
0,6415,9242,781,0,0,0,1473.405,370.516,0.0,5.124,234.79751870629363,39.00315078948829,0,0,1.0,429.0,610.185,0.17419271799121766,0.7585775750291908
0,6751,9271,149,0,0,119,1370.17,534.331,0.0,14.838,195.2384752164504,56.38118821733825,0,0,1.0,324.0,719.298,0.17022760764047223,0.7244359600749786
0,6424,9455,584,0,0,0,1477.277,422.716,0.0,3.198,232.54690083527564,44.04009668248417,0,0,1.0,373.0,779.819,0.16635275422053422,0.6918309709189275
0,6660,9421,384,0,0,101,1446.812,552.165,0.0,13.424,213.2860477022977,57.98207697163951,0,0,1.0,299.0,841.026,0.16256610323281964,0.6606934480075867
0,6668,9487,379,0,0,124,1478.05,623.688,0.0,19.193,221.6013388528138,65.0124868742369,0,0,1.0,277.0,900.311,0.15886564694485855,0.6309573444801829
0,6237,9752,812,0,0,0,1484.978,509.701,0.0,12.21,235.38703682706205,53.18627481407487,0,0,1.0,339.0,938.672,0.1552494233257373,0.6025595860743465
0,5036,9941,1956,0,0,0,1491.529,158.974,0.0,0.0,255.53547056277063,16.58668153374404,0,0,1.0,408.0,865.996,0.1517155150058352,0.5754399373371473
0,4810,9423,2252,0,0,0,1492.883,11.85,0.0,0.0,287.9099214285713,1.2230425865800871,0,0,1.0,454.0,796.169,0.14826204826018324,0.5495408738576189
0,4839,9479,2215,0,0,0,1492.323,14.103,0.0,0.0,302.08666038961024,1.4623615856365855,0,0,1.0,429.0,740.125,0.144887192014996,0.5248074602497619
0,4066,9498,3012,0,0,0,1494.464,9.93,0.0,0.0,316.01766785714267,1.0153994505494504,0,0,1.0,425.0,755.694,0.14158915687682866,0.501187233627266
0,4839,9544,2209,0,0,0,1489.042,16.859,0.0,0.0,299.19278650793655,1.7567580502830509,0,0,1.0,344.0,784.009,0.13836619418378843,0.4786300923226434
0,4113,9457,2944,0,0,0,1494.789,5.933,0.0,0.0,317.06821706349217,0.5862451368076369,0,0,1.0,386.0,815.918,0.13521659507839323,0.4570881896148681
0,3996,9586,2912,0,0,0,1493.322,13.801,0.0,0.0,305.7045337301588,1.4258805153180147,0,0,1.0,383.0,799.174,0.13213868960151892,0.43651583224016205
0,3920,9490,3186,0,0,0,1493.42,9.547,0.0,0.0,305.9086479797983,0.9559710081585087,0,0,1.0,326.0,842.597,0.1291308458069295,0.4168693834703309
0,4021,9650,3025,0,0,0,1494.952,9.616,0.0,0.0,348.00507380952376,0.9702424603174603,0,0,1.0,344.0,872.945,0.1261914688960388,0.39810717055349104
0,4656,9446,2376,0,0,0,1493.606,11.852,0.0,0.0,297.01950992063485,1.2250851828726836,0,0,1.0,307.0,926.864,0.1233190003722945,0.3801893963205694
0,5230,9423,1811,0,0,0,1478.92,12.466,0.0,0.0,270.7776559523811,1.2981123099123104,0,0,1.0,271.0,958.945,0.1205119172148701,0.3630780547701004
0,4613,9373,2492,0,0,0,1490.199,8.14,0.0,0.0,285.6043932539682,0.849772126484627,0,0,1.0,339.0,983.68,0.11776873107111988,0.3467368504525389
0,4249,9560,2837,0,0,0,1492.402,13.269,0.0,0.0,308.8510642857144,1.3936784021534026,0,0,1.0,323.0,936.321,0.11508798746743285,0.331131121482595
0,4113,9552,2915,0,0,0,1495.148,5.92,0.0,0.0,330.0570892857141,0.5894800019425016,0,0,1.0,312.0,958.003,0.11246826503807154,0.31622776601684016
0,3685,9500,3333,0,0,0,1495.331,8.756,0.0,0.0,314.85409365079374,0.8874612429237427,0,0,1.0,292.0,977.766,0.10990817477152287,0.3019951720402024
0,3497,9730,3535,0,0,0,1496.195,8.255,0.0,0.0,316.05150277777756,0.8483548978798982,0,0,1.0,293.0,972.887,0.10740635927405132,0.28840315031266067
0,4127,9447,2983,0,0,0,1494.508,15.079,0.0,0.0,294.9162079365078,1.5956029553779558,0,0,1.0,285.0,967.957,0.10496149204995306,0.27542287033381607
0,2710,9559,4348,0,0,0,1497.117,1.724,0.0,0.0,368.76575238095216,0.16213632339882347,0,0,1.0,249.0,1025.641,0.10257227679827102,0.2630267991895347
0,2491,9412,4523,0,0,0,1497.331,3.552,0.0,0.0,378.3927845238094,0.34906686924186914,0,0,1.0,208.0,1061.456,0.1002374467254549,0.2511886431509552
0,3136,9321,3848,0,0,0,1496.618,3.052,0.0,0.0,379.16677499999963,0.30649022227772255,0,0,1.0,273.0,1080.998,0.09795576387368854,0.23988329190194727
0,2981,9410,4013,0,0,0,1496.711,3.751,0.0,0.0,362.624070238095,0.3769334928959929,0,0,1.0,255.0,1051.127,0.09572601846452847,0.229086765276776
0,2404,9447,4704,0,0,0,1497.535,1.219,0.0,0.0,335.45885476190483,0.10942040320790325,0,0,1.0,254.0,1071.012,0.09354702825743773,0.21877616239495812
0,3214,9464,3850,0,0,0,1496.51,3.159,0.0,0.0,418.507463888889,0.3163196026196026,0,0,1.0,257.0,1069.714,0.09141763792297393,0.20892961308540803
0,2274,9445,4721,0,0,0,1497.626,1.502,0.0,0.0,407.1389809523809,0.13511756299256306,0,0,1.0,249.0,1073.659,0.08933671843019067,0.1995262314968896
0,3347,9604,3685,0,0,0,1496.389,2.122,0.0,0.0,363.7571369047622,0.197932221944722,0,0,1.0,225.0,1085.653,0.08730316644803376,0.1905460717963217
0,2724,9587,4323,0,0,0,1496.935,3.497,0.0,0.0,332.78959285714296,0.3384149350649348,0,0,1.0,262.0,1073.168,0.08531590376031781,0.18197008586099675
0,2459,9523,4594,0,0,0,1497.457,1.294,0.0,0.0,380.4435309523807,0.12021399988899988,0,0,1.0,214.0,1086.348,0.0833738766940681,0.1737800828749394
0,1727,9494,5322,0,0,0,1498.217,0.92,0.0,0.0,394.4284333333334,0.07849042901542898,0,0,1.0,219.0,1100.052,0.0814760555608229,0.16595869074375588
0,2986,9553,4054,0,0,0,1496.847,2.654,0.0,0.0,411.36349523809525,0.25217066822066814,0,0,1.0,240.0,1097.597,0.07962143411070034,0.15848931924611304
0,2771,9561,4315,0,0,0,1496.767,1.667,0.0,0.0,438.42177182539643,0.1538712592962594,0,0,1.0,214.0,1110.186,0.07780902899885679,0.15135612484362077
0,2553,9455,4498,0,0,0,1497.088,2.476,0.0,0.0,393.400513095238,0.24687896409146437,0,0,1.0,200.0,1137.241,0.07603787926411201,0.1445439770745913
0,2237,9466,4800,0,0,0,1497.686,1.103,0.0,0.0,409.23771666666664,0.10155940170940171,0,0,1.0,172.0,1175.151,0.07430704581943355,0.13803842646028752
0,2313,9564,4730,0,0,0,1497.653,0.687,0.0,0.0,555.7298833333336,0.055037723387723385,0,0,1.0,178.0,1197.962,0.07261561095401858,0.13182567385564337
0,3216,9480,3813,0,0,0,1496.565,1.291,0.0,0.0,444.7861583333338,0.11977549395049392,0,0,1.0,161.0,1210.282,0.07096267784671467,0.12589254117941434
0,3687,9479,3317,0,0,0,1496.224,1.665,0.0,0.0,414.6579833333334,0.14957370407370416,0,0,1.0,216.0,1208.345,0.06934737009050629,0.12022644346174313
0,3700,9427,3378,0,0,0,1496.224,0.951,0.0,0.0,378.4211499999998,0.08402913475413479,0,0,1.0,208.0,1174.356,0.0677688312278393,0.11481536214968754
