step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,4776,7463,1138,0,0,0,1242.618,0.025,0.0,0.0,196.83278928571426,0.002790259740259741,0,0,1.0,192.0,296.807,0.07999999999999866,0.29932440258347537
0,5386,7526,1986,0,0,0,1494.186,0.038,0.0,0.0,271.40406428571436,0.004393145743145744,0,0,1.0,173.0,717.64,0.05592399999999907,0.29783114348415335
0,5496,7485,1962,0,0,0,1494.071,0.031,0.0,0.0,271.81003333333365,0.003534668109668109,0,0,1.0,186.0,942.825,0.05512800000000134,0.2963453339035314
0,4944,7440,2519,0,0,0,1494.728,0.013,0.0,0.0,296.6963488095241,0.0013414141414141414,0,0,1.0,161.0,1077.383,0.054332000000000595,0.29486693667772634
0,4488,7541,2885,0,0,0,1495.338,0.006,0.0,0.0,320.517492857143,0.0007472222222222224,0,0,1.0,140.0,1175.484,0.053536000000000736,0.2933959148282407
0,4837,7626,2619,0,0,0,1495.005,0.019,0.0,0.0,311.0156500000002,0.0023063492063492065,0,0,1.0,134.0,1241.2,0.05274000000000001,0.29193223156105547
0,4871,7449,2469,0,0,0,1494.873,0.01,0.0,0.0,300.87431230158705,0.0011865440115440115,0,0,1.0,142.0,1248.544,0.05194399999999932,0.29047585026569595
0,4361,7338,3048,0,0,0,1495.494,0.004,0.0,0.0,325.036369444445,0.0008333333333333333,0,0,1.0,151.0,1275.643,0.05114799999999952,0.28902673451435784
0,4953,7498,2400,0,0,0,1494.802,0.012,0.0,0.0,299.82351349206374,0.0015682900432900434,0,0,1.0,117.0,1280.849,0.05035199999999887,0.2875848480609365
0,4920,7477,2461,0,0,0,1494.729,0.016,0.0,0.0,298.5261595238095,0.0019298340548340551,0,0,1.0,132.0,1306.084,0.04955600000000074,0.2861501548401774
0,5227,7447,2153,0,0,0,1494.315,0.019,0.0,0.0,288.1565773809523,0.002572691197691198,0,0,1.0,109.0,1289.832,0.04876000000000092,0.28472261896671347
0,5719,7507,1692,0,0,0,1493.552,0.056,0.0,0.0,261.25562619047594,0.006885786435786436,0,0,1.0,109.0,1319.553,0.047964000000000305,0.2833022047342414
0,5840,7572,1621,0,0,0,1493.389,0.067,0.0,0.0,257.138940223665,0.007784992784992785,0,0,1.0,121.0,1321.066,0.04716799999999936,0.2818888766145527
0,5879,7491,1466,0,0,0,1493.422,0.058,0.0,0.0,255.66578888888893,0.007172799422799423,0,0,1.0,156.0,1314.357,0.04637199999999993,0.28048259925671265
0,5890,7420,1509,0,0,0,1493.349,0.05,0.0,0.0,251.89027420634912,0.005727417027417025,0,0,1.0,169.0,1281.506,0.04557599999999933,0.27908333748610675
0,5828,7573,1549,0,0,0,1493.571,0.042,0.0,0.0,255.43317777777798,0.0049633477633477625,0,0,1.0,124.0,1267.35,0.04478000000000052,0.2776910563036373
0,5891,7397,1554,0,0,0,1493.427,0.067,0.0,0.0,254.22299920634933,0.007710569985569984,0,0,1.0,90.0,1311.506,0.043984000000001154,0.2763057208847786
0,5978,7543,1404,0,0,0,1492.909,0.084,0.0,0.0,248.33802247474773,0.009981890331890331,0,0,1.0,148.0,1295.654,0.04318800000000051,0.2749272965787534
