step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,4625,7501,1233,0,0,0,1203.773,8.785,0.0,0.0,178.01906355311354,1.0799838272838274,0,0,1.0,584.0,97.113,0.19999999999999718,1.0
0,6102,7491,1482,0,0,0,1447.449,24.451,0.0,0.0,244.85278174048184,3.2785518759018752,0,0,1.0,480.0,248.644,0.19820000000000498,0.9549925860214595
0,6025,7353,1119,0,0,0,1432.353,26.073,0.0,0.0,222.82877186424687,3.347157739482746,0,0,1.0,555.0,389.04,0.19640000000000254,0.9120108393559273
0,6008,7623,1397,0,0,0,1472.31,12.82,0.0,0.0,237.4061163142412,1.6687161310911318,0,0,1.0,558.0,388.444,0.1946000000000012,0.8709635899560891
0,6018,7557,1393,0,0,0,1474.189,12.477,0.0,0.0,229.28392927072926,1.5976290931290937,0,0,1.0,487.0,488.198,0.1928000000000032,0.8317637711026817
0,6220,7510,1204,0,0,0,1478.563,11.307,0.0,0.0,234.90606194083685,1.4639520618270612,0,0,1.0,498.0,522.265,0.19100000000000203,0.7943282347242763
0,6592,7541,735,0,0,0,1448.705,27.595,0.0,0.0,214.98434348984352,3.5399064699189715,0,0,1.0,528.0,537.389,0.18919999999999962,0.7585775750291908
0,6262,7492,1036,0,0,0,1472.735,6.926,0.0,0.0,222.30565865800858,0.9154111277611271,0,0,1.0,476.0,570.916,0.18739999999999732,0.7244359600749786
0,6488,7432,950,0,0,0,1481.107,8.041,0.0,0.0,229.13211930014435,1.0474143093018085,0,0,1.0,555.0,581.245,0.18559999999999618,0.6918309709189275
0,6907,7601,518,0,0,0,1469.621,8.855,0.0,0.0,212.12101963869458,1.1270211732711732,0,0,1.0,479.0,565.396,0.18379999999999877,0.6606934480075867
0,6793,7509,570,0,0,0,1480.999,7.992,0.0,0.0,219.33022592685126,1.0283158313908318,0,0,1.0,493.0,560.723,0.18199999999999747,0.6309573444801829
0,6722,7569,667,0,0,0,1471.463,8.656,0.0,0.0,217.5716649572649,1.1275008491508491,0,0,1.0,476.0,582.882,0.1802000000000034,0.6025595860743465
0,7035,7437,421,0,0,0,1451.628,7.637,0.0,0.0,210.29320566378064,0.9871682206682204,0,0,1.0,503.0,580.827,0.17840000000000228,0.5754399373371473
