step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,2975,2598,6981,0,0,0,1378.802,8.614,0.0,0.0,126.85061336441338,2.0399755799755805,0,0,1.0,0,57.622,0.09999549925860074,1.0
0,5675,2561,5891,0,0,68,1488.288,29.285,0.26,3.604,243.41290489788003,5.575991755466754,0,0,1.0,0,154.884,0.09549496042747861,0.9608885572526521
0,4410,2593,7122,0,0,0,1494.62,2.866,0.0,0.0,236.15662148129653,0.6039571761571763,0,0,1.0,0,334.02,0.09119697921065101,0.9222834768089887
0,7826,2347,3738,0,0,112,1482.604,52.031,0.296,4.995,183.12664923409932,9.629942643467642,0,0,1.0,0,511.232,0.08709243901372347,0.8847965130038283
0,6024,2602,5590,0,0,203,1485.713,32.334,0.507,5.713,189.25572397324893,4.078794452769452,0,0,1.0,0,680.973,0.08317263355662928,0.8492076904924568
0,9838,2188,1722,0,0,329,1469.911,94.426,0.898,12.031,141.34041413031423,15.271869696969704,0,0,1.0,0,851.847,0.07942924840645976,0.8150675218779015
0,8332,2401,3377,0,0,246,1479.983,72.807,0.615,10.52,155.15756332556333,12.287228574203576,0,0,1.0,0,1082.832,0.07585434334142217,0.7817797531713122
0,9352,2439,2125,0,0,287,1475.178,77.881,0.801,11.491,135.34782010212004,14.18083717671218,0,0,1.0,0,1349.951,0.07244033550858239,0.7490179228420004
0,9626,2056,2077,0,0,592,1422.248,98.097,1.754,18.619,135.350446031746,15.094588628038627,0,0,1.0,0,1497.438,0.06917998333960308,0.7176541223305131
0,10513,1744,1326,0,0,689,1419.966,88.516,1.64,16.8,132.2370119574869,7.618552694527698,0,0,1.0,0,1498.283,0.06606637119040672,0.6874094426655217
0,12006,819,0,0,0,1814,1088.516,177.98,4.262,43.497,86.72303168775667,16.169183061383062,0,0,1.0,0,1498.077,0.06309289467217882,0.6584929763465592
0,11935,1020,0,0,0,1625,778.662,176.867,3.903,41.925,62.92411345043845,19.746302380952383,0,0,1.0,0,1498.04,0.060253246642561334,0.6306449691377186
0,11210,1598,0,0,0,1168,761.633,153.599,3.08,33.525,61.80480993728491,21.500504107004105,0,0,1.0,0,1498.504,0.05754140382736846,0.6025595860743465
0,7184,2611,4015,0,0,98,1441.083,26.99,0.243,3.235,179.4495158036408,4.439252777777777,0,0,1.0,0,1498.755,0.05495161404440065,0.5766874411790585
0,5441,2619,6113,0,0,0,1494.417,0.827,0.0,0.0,245.32772241369747,0.21252734765234765,0,0,1.0,0,1497.39,0.052478384002314284,0.5518717895707769
0,5582,2628,5931,0,0,0,1494.395,0.12,0.0,0.0,259.6989134920637,0.021875000000000002,0,0,1.0,0,1498.897,0.050116467648596986,0.5286658727725866
0,6129,2618,5518,0,0,0,1493.751,0.252,0.0,0.0,227.96714804639805,0.05856996336996337,0,0,1.0,0,1499.029,0.04786085504199345,0.505864038498521
0,5958,2595,5548,0,0,0,1493.988,0.184,0.0,0.0,238.93227777777793,0.03508571428571429,0,0,1.0,0,1498.254,0.045706761725749494,0.48417914908358467
0,6415,2634,5233,0,0,0,1493.493,0.09,0.0,0.0,225.1038348845601,0.01821309523809524,0,0,1.0,0,1499.224,0.0436496185791399,0.46344305091365756
0,6247,2611,5243,0,0,0,1493.694,0.129,0.0,0.0,228.4573193722944,0.02406168831168832,0,0,1.0,0,1498.81,0.04168506212574236,0.44338699960331546
0,6858,2598,4761,0,0,0,1493.032,0.159,0.0,0.0,209.5494152208901,0.040316666666666674,0,0,1.0,0,1498.992,0.03980892527792688,0.42427609465655575
0,6275,2637,5298,0,0,0,1493.685,0.093,0.0,0.0,223.3200615079364,0.01870714285714286,0,0,1.0,0,1499.011,0.03801722849790096,0.4058747267010625
0,6601,2625,4941,0,0,0,1493.352,0.082,0.0,0.0,222.598152922078,0.016450000000000003,0,0,1.0,0,1499.277,0.036306171356577537,0.38841365469348726
0,7103,2652,4520,0,0,0,1492.789,0.116,0.0,0.0,201.21323849206357,0.020750000000000005,0,0,1.0,0,1499.258,0.034672124472356146,0.37146261212982334
0,7152,2608,4518,0,0,0,1492.791,0.069,0.0,0.0,204.80632406204887,0.014533333333333332,0,0,1.0,0,1499.54,0.03311162181271312,0.35529964151494564
0,7053,2632,4463,0,0,0,1492.878,0.063,0.0,0.0,206.66338452380958,0.013380952380952377,0,0,1.0,0,1499.458,0.03162135334228556,0.33963624377121404
0,7136,2622,4311,0,0,0,1492.789,0.177,0.0,0.0,200.68836233766245,0.023430952380952382,0,0,1.0,0,1499.431,0.03019815800184796,0.32484190547604325
0,7408,2640,4146,0,0,0,1492.532,0.061,0.0,0.0,198.29793928571434,0.012683333333333333,0,0,1.0,0,1499.392,0.02883901700326868,0.31057742620811757
0,7088,2631,4505,0,0,0,1492.842,0.083,0.0,0.0,201.43937936507928,0.014132251082251086,0,0,1.0,0,1499.267,0.027541047426266934,0.2968845718706457
0,7419,2607,4007,0,0,0,1492.476,0.058,0.0,0.0,197.53024599567092,0.011345238095238097,0,0,1.0,0,1499.573,0.02630149610334954,0.28386005232006684
0,7304,2627,4150,0,0,0,1492.611,0.059,0.0,0.0,199.80277615440122,0.012171428571428571,0,0,1.0,0,1499.428,0.025117733779971046,0.27139414721192456
0,7620,2638,3939,0,0,0,1492.254,0.061,0.0,0.0,193.1535062049062,0.012104761904761905,0,0,1.0,0,1499.595,0.023987249537532646,0.25938064712965175
0,7597,2605,3927,0,0,0,1492.313,0.044,0.0,0.0,192.71754632034612,0.010083333333333335,0,0,1.0,0,1499.665,0.022907645467389423,0.2479440073424902
0,7347,2634,4042,0,0,0,1492.548,0.095,0.0,0.0,197.55427499999996,0.012969696969696968,0,0,1.0,0,1499.527,0.021876631584564696,0.2370761949794028
0,7584,2626,3792,0,0,0,1492.285,0.05,0.0,0.0,192.63824722222245,0.009533333333333331,0,0,1.0,0,1499.687,0.0208920209703814,0.22656066757073107
0,7510,2638,4014,0,0,0,1492.353,0.093,0.0,0.0,191.65104563492076,0.017863203463203466,0,0,1.0,0,1499.336,0.019951725133718484,0.2166099215468586
0,7677,2611,3717,0,0,0,1492.164,0.038,0.0,0.0,193.2848047619046,0.006983333333333333,0,0,1.0,0,1499.76,0.019053749581039458,0.2070301300045256
0,7682,2634,3860,0,0,0,1492.229,0.046,0.0,0.0,191.17651507936498,0.009349999999999999,0,0,1.0,0,1499.711,0.018196189585801048,0.19787388211198467
0,7737,2603,3883,0,0,0,1492.137,0.047,0.0,0.0,188.55584960317447,0.009945238095238096,0,0,1.0,0,1499.664,0.01737722614828092,0.1891138821451227
0,7660,2620,3865,0,0,0,1492.231,0.062,0.0,0.0,190.9158519841269,0.011322222222222221,0,0,1.0,0,1499.591,0.016595122137225943,0.1807661554220467
0,7874,2623,3692,0,0,0,1492.009,0.057,0.0,0.0,186.6518041847043,0.011566666666666664,0,0,1.0,0,1499.678,0.015848218605170626,0.17277894468214874
0,7785,2600,3683,0,0,0,1492.075,0.045,0.0,0.0,188.3623027777779,0.009733333333333332,0,0,1.0,0,1499.718,0.015134931269585402,0.16512959050751683
0,7778,2630,3835,0,0,0,1492.138,0.027,0.0,0.0,189.91860039682538,0.005566666666666668,0,0,1.0,0,1499.777,0.014453747152397674,0.15779026619466952
0,7866,2608,3760,0,0,0,1492.007,0.045,0.0,0.0,186.31918333333337,0.009216666666666668,0,0,1.0,0,1499.688,0.013803221370768287,0.1507634679877143
0,7863,2652,3809,0,0,0,1492.038,0.056,0.0,0.0,186.51715793650806,0.011200000000000002,0,0,1.0,0,1499.635,0.01318197407229665,0.14411461073404797
0,7840,2619,3892,0,0,0,1492.063,0.042,0.0,0.0,187.81200396825412,0.008657142857142856,0,0,1.0,0,1499.691,0.01258868750816978,0.13770915057224087
0,7801,2614,3700,0,0,0,1492.109,0.029,0.0,0.0,189.4989309523811,0.005797619047619047,0,0,1.0,0,1499.808,0.012022103238042965,0.13158241541591784
0,8019,2638,3581,0,0,0,1491.816,0.048,0.0,0.0,183.19613149350636,0.010116666666666664,0,0,1.0,0,1499.767,0.011481019460715485,0.1257395565410374
