a b greedy - reward1 -- v nonGreedy - reward2
[+] Greedy: 0 - (0.0) -- Non-Greedy: 0 - (-50.70588235294116)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-30.13602941176468)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-93.35294117647065)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.52941176470598)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-113.63602941176472)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-70.5514705882353)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-193.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-119.2794117647061)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-171.889705882353)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-195.67647058823553)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-73.0625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-116.18382352941178)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-89.84558823529416)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-194.18382352941177)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-199.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-57.81985294117647)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-26.588235294117624)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-145.29411764705904)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-29.29411764705877)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-110.4705882352942)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-140.82352941176498)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-191.375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-148.51838235294133)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-145.11764705882354)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-218.875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-254.875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-162.40073529411774)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-181.5625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-69.59558823529422)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-93.31250000000017)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-54.94117647058824)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-137.8823529411766)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-27.588235294117606)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-132.29411764705907)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-47.20220588235299)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-114.35294117647078)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-7.823529411764702)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-64.29044117647064)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-47.000000000000064)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-15.625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-165.9375)
