"Step","00-dynamic","00-dynamic - dead-1__MIN","00-dynamic - dead-1__MAX","00-every-100","00-every-100 - dead-1__MIN","00-every-100 - dead-1__MAX","00-every-10","00-every-10 - dead-1__MIN","00-every-10 - dead-1__MAX","00-static-1","00-static-1 - dead-1__MIN","00-static-1 - dead-1__MAX","00-ofb","00-ofb - dead-1__MIN","00-ofb - dead-1__MAX"
"6","","","","","","","0","0","0","","","","","",""
"16","0","0","0","0","0","0","","","","0","0","0","0","0","0"
"18","","","","0","0","0","","","","","","","","",""
"20","","","","","","","0","0","0","","","","","",""
"22","","","","0","0","0","","","","","","","","",""
"24","","","","","","","0","0","0","","","","","",""
"29","0","0","0","","","","","","","0","0","0","0","0","0"
"38","","","","","","","0","0","0","","","","","",""
"40","","","","","","","0","0","0","","","","","",""
"42","0","0","0","","","","","","","0","0","0","0","0","0"
"52","","","","","","","0","0","0","","","","","",""
"57","","","","0","0","0","","","","","","","","",""
"59","0","0","0","","","","","","","0","0","0","0","0","0"
"61","0","0","0","","","","","","","0","0","0","0","0","0"
"62","","","","","","","0","0","0","","","","","",""
"69","","","","","","","0","0","0","","","","","",""
"82","","","","0","0","0","","","","","","","","",""
"84","0","0","0","","","","","","","0","0","0","0","0","0"
"86","0","0","0","","","","","","","0","0","0","0","0","0"
"92","0","0","0","","","","","","","0","0","0","0","0","0"
"99","0","0","0","","","","","","","0","0","0","0","0","0"
"103","","","","","","","0","0","0","","","","","",""
"116","","","","","","","0","0","0","","","","","",""
"118","","","","","","","0","0","0","","","","","",""
"119","","","","0","0","0","","","","","","","","",""
"120","","","","","","","0","0","0","","","","","",""
"137","0","0","0","","","","","","","0","0","0","0","0","0"
"144","","","","","","","0","0","0","","","","","",""
"145","0","0","0","","","","","","","0","0","0","0","0","0"
"149","","","","","","","0","0","0","","","","","",""
"162","","","","","","","0","0","0","","","","","",""
"163","","","","0","0","0","","","","","","","","",""
"168","0","0","0","","","","","","","0","0","0","0","0","0"
"170","","","","0","0","0","","","","","","","","",""
"174","","","","","","","0","0","0","","","","","",""
"185","0","0","0","","","","","","","0","0","0","0","0","0"
"198","0","0","0","","","","","","","0","0","0","0","0","0"
"205","0","0","0","","","","","","","0","0","0","0","0","0"
"206","","","","0","0","0","","","","","","","","",""
"216","0","0","0","","","","","","","0","0","0","0","0","0"
"217","","","","","","","0","0","0","","","","","",""
"229","","","","","","","0","0","0","","","","","",""
"259","","","","0","0","0","","","","","","","","",""
"270","0","0","0","","","","","","","0","0","0","0","0","0"
"279","","","","0","0","0","","","","","","","","",""
"288","","","","","","","0","0","0","","","","","",""
"290","","","","","","","0","0","0","","","","","",""
"291","","","","","","","0","0","0","","","","","",""
"292","","","","0","0","0","","","","","","","","",""
"293","","","","","","","0","0","0","","","","","",""
"294","","","","","","","0","0","0","","","","","",""
"305","0","0","0","","","","","","","0","0","0","0","0","0"
"314","","","","","","","0","0","0","","","","","",""
"317","","","","","","","0","0","0","","","","","",""
"318","0","0","0","","","","","","","0","0","0","0","0","0"
"319","0","0","0","","","","","","","0","0","0","0","0","0"
"324","","","","0","0","0","","","","","","","","",""
"329","","","","0","0","0","","","","","","","","",""
"334","","","","0","0","0","","","","","","","","",""
"337","","","","","","","0","0","0","","","","","",""
"339","","","","","","","0","0","0","","","","","",""
"347","","","","0","0","0","","","","","","","","",""
"356","","","","","","","0","0","0","","","","","",""
"364","0","0","0","0","0","0","","","","0","0","0","0","0","0"
"367","","","","0","0","0","","","","","","","","",""
"370","","","","0","0","0","","","","","","","","",""
"372","0","0","0","","","","","","","0","0","0","0","0","0"
"383","0","0","0","","","","","","","0","0","0","0","0","0"
"402","","","","","","","0","0","0","","","","","",""
"408","","","","0","0","0","","","","","","","","",""
"425","","","","","","","0","0","0","","","","","",""
"426","","","","0","0","0","0","0","0","","","","","",""
"427","","","","","","","0","0","0","","","","","",""
"433","","","","0","0","0","","","","","","","","",""
"434","0","0","0","","","","","","","0","0","0","0","0","0"
"450","0","0","0","","","","","","","0","0","0","0","0","0"
"453","0","0","0","","","","","","","0","0","0","0","0","0"
"465","","","","","","","0","0","0","","","","","",""
"467","","","","0","0","0","","","","","","","","",""
"479","","","","0","0","0","","","","","","","","",""
"491","","","","","","","0","0","0","","","","","",""
"505","","","","0","0","0","","","","","","","","",""
"507","","","","","","","0","0","0","","","","","",""
"515","0","0","0","","","","","","","0","0","0","0","0","0"
"521","0","0","0","","","","","","","0","0","0","0","0","0"
"524","","","","0","0","0","0","0","0","","","","","",""
"526","0","0","0","","","","","","","0","0","0","0","0","0"
"528","","","","0","0","0","","","","","","","","",""
"529","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"533","","","","0","0","0","","","","","","","","",""
"539","","","","0","0","0","","","","","","","","",""
"542","","","","","","","0","0","0","","","","","",""
"544","","","","0","0","0","","","","","","","","",""
"557","","","","","","","0","0","0","","","","","",""
"568","","","","","","","0","0","0","","","","","",""
