"Step","00-dynamic","00-dynamic - drop-0__MIN","00-dynamic - drop-0__MAX","00-every-100","00-every-100 - drop-0__MIN","00-every-100 - drop-0__MAX","00-every-10","00-every-10 - drop-0__MIN","00-every-10 - drop-0__MAX","00-static-1","00-static-1 - drop-0__MIN","00-static-1 -drop-0__MAX","00-ofb","00-ofb - drop-0__MIN","00-ofb - drop-0__MAX"
"9","","","","","","","0","0","0","0","0","0","","",""
"18","0","0","0","","","","0","0","0","","","","","",""
"19","0","0","0","","","","","","","","","","","",""
"30","","","","","","","","","","","","","0","0","0"
"33","","","","","","","","","","0","0","0","","",""
"35","0","0","0","","","","","","","","","","","",""
"38","","","","0","0","0","","","","","","","","",""
"40","","","","0","0","0","","","","","","","","",""
"43","","","","","","","","","","","","","0","0","0"
"50","0","0","0","","","","","","","","","","","",""
"52","","","","","","","","","","","","","0","0","0"
"54","0","0","0","","","","","","","0","0","0","","",""
"59","","","","","","","0","0","0","","","","","",""
"61","","","","","","","","","","","","","0","0","0"
"64","","","","","","","0","0","0","","","","","",""
"65","","","","","","","","","","","","","0","0","0"
"70","","","","","","","","","","0","0","0","","",""
"73","","","","0","0","0","","","","","","","","",""
"77","","","","","","","","","","","","","0","0","0"
"80","0","0","0","","","","","","","","","","","",""
"93","","","","","","","0","0","0","","","","","",""
"94","0","0","0","","","","","","","","","","","",""
"96","","","","0","0","0","","","","","","","","",""
"97","0","0","0","0","0","0","","","","","","","","",""
"100","","","","0","0","0","0","0","0","","","","","",""
"106","0","0","0","","","","","","","","","","","",""
"108","","","","","","","","","","0","0","0","","",""
"109","","","","","","","","","","0","0","0","","",""
"113","","","","","","","","","","","","","0","0","0"
"114","","","","","","","","","","","","","0","0","0"
"121","0","0","0","","","","","","","","","","","",""
"122","0","0","0","","","","","","","","","","0","0","0"
"124","","","","","","","0","0","0","","","","0","0","0"
"125","","","","","","","0","0","0","","","","","",""
"136","","","","","","","0","0","0","","","","","",""
"137","","","","","","","","","","","","","0","0","0"
"145","","","","0","0","0","","","","","","","","",""
"150","","","","","","","0","0","0","","","","","",""
"153","0","0","0","","","","","","","","","","0","0","0"
"159","","","","","","","","","","","","","0","0","0"
"160","","","","","","","","","","0","0","0","","",""
"163","","","","0","0","0","","","","","","","","",""
"165","","","","","","","0","0","0","","","","","",""
"167","0","0","0","","","","","","","","","","","",""
"174","","","","","","","0","0","0","","","","","",""
"175","0","0","0","","","","0","0","0","","","","","",""
"178","","","","","","","","","","","","","0","0","0"
"180","","","","0","0","0","","","","","","","","",""
"185","","","","","","","0","0","0","","","","","",""
"186","","","","0","0","0","","","","","","","","",""
"188","","","","0","0","0","","","","","","","","",""
"191","","","","","","","0","0","0","","","","","",""
"194","","","","","","","","","","","","","0","0","0"
"197","","","","","","","8","8","8","","","","","",""
"198","","","","","","","3","3","3","","","","","",""
"200","","","","0","0","0","","","","","","","","",""
"203","","","","0","0","0","","","","","","","","",""
"205","","","","0","0","0","0","0","0","","","","","",""
"214","8","8","8","","","","","","","","","","","",""
"218","","","","0","0","0","","","","","","","","",""
"219","","","","","","","","","","","","","0","0","0"
"220","6","6","6","","","","","","","","","","","",""
"222","","","","","","","","","","","","","11","11","11"
"228","","","","","","","","","","","","","12","12","12"
"232","","","","","","","0","0","0","","","","","",""
"235","","","","","","","","","","","","","8","8","8"
"239","","","","9","9","9","","","","","","","","",""
"249","","","","5","5","5","","","","","","","","",""
"252","1","1","1","","","","","","","","","","7","7","7"
"254","","","","","","","4","4","4","","","","","",""
"255","","","","","","","","","","","","","7","7","7"
"265","","","","7","7","7","","","","","","","","",""
"269","","","","","","","","","","","","","6","6","6"
"274","5","5","5","","","","","","","","","","","",""
"277","","","","","","","","","","4","4","4","","",""
"280","","","","","","","","","","","","","4","4","4"
"282","","","","","","","2","2","2","","","","","",""
"284","","","","2","2","2","","","","","","","","",""
"285","","","","","","","","","","4","4","4","","",""
"286","","","","","","","0","0","0","","","","3","3","3"
"288","","","","0","0","0","","","","","","","","",""
"292","","","","7","7","7","","","","","","","6","6","6"
"297","","","","","","","0","0","0","","","","","",""
"301","12","12","12","","","","","","","","","","","",""
"304","17","17","17","","","","","","","","","","","",""
"307","","","","","","","","","","6","6","6","","",""
"317","","","","","","","","","","","","","7","7","7"
"319","","","","","","","","","","","","","3","3","3"
"331","","","","","","","","","","0","0","0","","",""
"335","","","","","","","","","","2","2","2","","",""
"337","","","","2","2","2","","","","2","2","2","","",""
"341","","","","4","4","4","","","","","","","","",""
"347","","","","","","","9","9","9","","","","","",""
"349","5","5","5","","","","","","","","","","","",""
"352","","","","","","","","","","","","","9","9","9"
"355","","","","","","","","","","7","7","7","","",""
"366","","","","","","","7","7","7","","","","","",""
"367","","","","","","","","","","","","","0","0","0"
"370","","","","0","0","0","","","","","","","","",""
"372","","","","","","","","","","0","0","0","","",""
"373","","","","","","","8","8","8","","","","","",""
"374","","","","","","","9","9","9","","","","","",""
"375","","","","0","0","0","","","","","","","","",""
"380","","","","","","","","","","","","","0","0","0"
"382","","","","0","0","0","","","","","","","","",""
"384","","","","","","","","","","","","","0","0","0"
"389","","","","0","0","0","","","","","","","","",""
"394","","","","","","","","","","","","","0","0","0"
"399","","","","0","0","0","","","","","","","","",""
"402","","","","","","","12","12","12","","","","","",""
"404","","","","","","","13","13","13","0","0","0","","",""
"407","","","","0","0","0","","","","","","","","",""
"409","","","","","","","12","12","12","","","","0","0","0"
"412","","","","","","","13","13","13","","","","","",""
"418","","","","","","","8","8","8","","","","","",""
"419","","","","","","","","","","","","","0","0","0"
"421","","","","","","","5","5","5","","","","","",""
"422","","","","","","","1","1","1","0","0","0","","",""
"424","6","6","6","","","","","","","","","","","",""
"426","","","","","","","","","","","","","0","0","0"
"428","","","","","","","8","8","8","","","","","",""
"429","","","","","","","10","10","10","","","","","",""
"441","","","","","","","","","","0","0","0","","",""
"444","4","4","4","0","0","0","","","","","","","","",""
"446","","","","0","0","0","","","","","","","","",""
"447","","","","0","0","0","","","","","","","","",""
"448","","","","","","","","","","","","","0","0","0"
