"Step","00-dynamic","00-dynamic - latency-1__MIN","00-dynamic - latency-1__MAX","00-every-100","00-every-100 - latency-1__MIN","00-every-100 - latency-1__MAX","00-every-10","00-every-10 - latency-1__MIN","00-every-10 - latency-1__MAX","00-static-1","00-static-1 - latency-1__MIN","00-static-1 - latency-1__MAX","00-ofb","00-ofb - latency-1__MIN","00-ofb - latency-1__MAX"
"8","","","","","","","","","","0","0","0","0","0","0"
"14","","","","","","","0","0","0","","","","","",""
"15","","","","","","","0","0","0","","","","","",""
"17","0","0","0","","","","","","","","","","","",""
"19","","","","","","","0","0","0","","","","","",""
"23","","","","0","0","0","","","","","","","","",""
"24","","","","","","","","","","0","0","0","0","0","0"
"31","","","","0","0","0","","","","","","","","",""
"38","","","","","","","0","0","0","","","","","",""
"42","","","","","","","0","0","0","","","","","",""
"46","","","","0","0","0","","","","","","","","",""
"47","","","","0","0","0","","","","","","","","",""
"48","","","","0","0","0","","","","","","","","",""
"49","","","","","","","0","0","0","","","","","",""
"56","","","","0","0","0","","","","","","","","",""
"57","0","0","0","","","","","","","","","","","",""
"61","0","0","0","","","","","","","","","","","",""
"64","","","","0","0","0","","","","","","","","",""
"67","","","","","","","","","","0","0","0","0","0","0"
"69","","","","0","0","0","","","","","","","","",""
"71","0","0","0","","","","","","","","","","","",""
"82","","","","0","0","0","","","","","","","","",""
"85","0","0","0","","","","","","","0","0","0","0","0","0"
"86","","","","","","","0","0","0","","","","","",""
"90","0","0","0","","","","","","","","","","","",""
"92","","","","","","","","","","0","0","0","0","0","0"
"98","0","0","0","","","","","","","","","","","",""
"106","","","","0","0","0","","","","","","","","",""
"110","","","","","","","","","","0","0","0","0","0","0"
"111","","","","","","","0","0","0","","","","","",""
"114","","","","0","0","0","","","","","","","","",""
"120","","","","","","","","","","0","0","0","0","0","0"
"122","","","","","","","0","0","0","","","","","",""
"126","","","","","","","0","0","0","","","","","",""
"131","","","","","","","","","","0","0","0","0","0","0"
"133","","","","","","","0","0","0","","","","","",""
"141","","","","0","0","0","","","","","","","","",""
"147","","","","","","","0","0","0","","","","","",""
"155","","","","","","","0","0","0","","","","","",""
"156","","","","0","0","0","","","","","","","","",""
"160","","","","","","","0.6","0.6","0.6","","","","","",""
"171","","","","","","","0","0","0","0","0","0","0","0","0"
"175","","","","","","","0","0","0","","","","","",""
"189","0","0","0","","","","","","","","","","","",""
"191","","","","","","","0","0","0","0","0","0","0","0","0"
"193","","","","","","","","","","0","0","0","0","0","0"
"196","0","0","0","","","","","","","","","","","",""
"198","","","","","","","0","0","0","","","","","",""
"208","","","","0","0","0","","","","","","","","",""
"209","0","0","0","","","","","","","","","","","",""
"210","0","0","0","0","0","0","","","","","","","","",""
"218","0","0","0","","","","","","","","","","","",""
"221","","","","","","","","","","0","0","0","0","0","0"
"227","","","","0","0","0","","","","","","","","",""
"239","0","0","0","","","","","","","","","","","",""
"262","","","","","","","0","0","0","","","","","",""
"272","","","","","","","","","","0","0","0","0","0","0"
"276","","","","0","0","0","0","0","0","","","","","",""
"277","","","","0","0","0","","","","","","","","",""
"278","","","","","","","0","0","0","","","","","",""
"279","","","","","","","0","0","0","","","","","",""
"284","1.5454545454545454","1.5454545454545454","1.5454545454545454","","","","","","","0","0","0","0","0","0"
"287","","","","0","0","0","","","","0","0","0","0","0","0"
"295","","","","0","0","0","","","","","","","","",""
"298","0","0","0","","","","","","","","","","","",""
"300","","","","0.5","0.5","0.5","","","","","","","","",""
"306","","","","0","0","0","","","","","","","","",""
"308","","","","","","","","","","0","0","0","0","0","0"
"309","","","","","","","0","0","0","","","","","",""
"314","","","","","","","19.5","19.5","19.5","","","","","",""
"317","","","","","","","18.4","18.4","18.4","","","","","",""
"320","","","","0","0","0","","","","","","","","",""
"321","0","0","0","","","","","","","","","","","",""
"324","0","0","0","","","","","","","","","","","",""
"337","","","","","","","","","","0","0","0","0","0","0"
"338","","","","","","","4.25","4.25","4.25","","","","","",""
"342","","","","","","","","","","0","0","0","0","0","0"
"345","0","0","0","","","","","","","","","","","",""
"348","","","","","","","0","0","0","0","0","0","0","0","0"
"349","","","","","","","0","0","0","","","","","",""
"357","","","","","","","","","","0","0","0","0","0","0"
"367","","","","","","","0","0","0","","","","","",""
"369","0","0","0","","","","","","","","","","","",""
"373","","","","0","0","0","","","","","","","","",""
"374","","","","0","0","0","","","","","","","","",""
"376","","","","0","0","0","","","","","","","","",""
"380","","","","","","","0.2","0.2","0.2","","","","","",""
"388","","","","","","","0","0","0","","","","","",""
"390","0","0","0","","","","","","","","","","","",""
"393","0","0","0","","","","","","","","","","","",""
"398","","","","","","","0","0","0","","","","","",""
"403","","","","","","","0","0","0","","","","","",""
"404","0","0","0","","","","","","","","","","","",""
"410","","","","33.666666666666664","33.666666666666664","33.666666666666664","","","","","","","","",""
"417","","","","37","37","37","0","0","0","","","","","",""
"423","","","","","","","0","0","0","","","","","",""
"424","","","","0","0","0","","","","","","","","",""
"429","","","","40.333333333333336","40.333333333333336","40.333333333333336","","","","","","","","",""
"432","","","","","","","","","","27.6","27.6","27.6","25.4","25.4","25.4"
"434","","","","40","40","40","","","","","","","","",""
"435","0","0","0","","","","","","","","","","","",""
"440","0","0","0","","","","","","","","","","","",""
"443","","","","","","","0","0","0","","","","","",""
"451","","","","","","","0","0","0","","","","","",""
"453","0","0","0","","","","","","","","","","","",""
"455","","","","10.555555555555555","10.555555555555555","10.555555555555555","","","","","","","","",""
"459","0","0","0","","","","","","","","","","","",""
"465","","","","0","0","0","","","","","","","","",""
"467","","","","","","","0","0","0","","","","","",""
"470","6.666666666666667","6.666666666666667","6.666666666666667","","","","","","","","","","","",""
"474","","","","","","","0","0","0","","","","","",""
"479","","","","","","","0","0","0","","","","","",""
"482","","","","","","","0","0","0","","","","","",""
"484","","","","","","","0","0","0","","","","","",""
"486","","","","","","","0","0","0","","","","","",""
"488","0","0","0","","","","","","","","","","","",""
"491","","","","0","0","0","","","","0","0","0","0","0","0"
"492","","","","0","0","0","","","","","","","","",""
"496","0","0","0","","","","","","","","","","","",""
"500","0.6","0.6","0.6","","","","","","","","","","","",""
"502","0","0","0","","","","","","","","","","","",""
"503","","","","0","0","0","","","","","","","","",""
"505","0","0","0","0","0","0","","","","","","","","",""
"510","","","","","","","","","","0","0","0","0","0","0"
"512","","","","","","","","","","0","0","0","0","0","0"
"513","","","","","","","0","0","0","","","","","",""
"514","","","","0","0","0","","","","","","","","",""
"533","","","","0","0","0","","","","","","","","",""
"539","","","","0","0","0","","","","","","","","",""
"548","","","","","","","0","0","0","","","","","",""
"549","0","0","0","","","","","","","","","","","",""
"554","","","","","","","","","","0","0","0","0","0","0"
"563","","","","0","0","0","0","0","0","","","","","",""
"571","","","","0","0","0","","","","","","","","",""
"578","","","","0","0","0","","","","","","","","",""
"587","","","","0","0","0","","","","","","","","",""
"588","0","0","0","","","","","","","","","","","",""
"589","","","","0","0","0","","","","","","","","",""
