"Step","102-static-1","102-static-1 - dead-1__MIN","102-static-1 - dead-1__MAX","102-ofb","102-ofbt - dead-1__MIN","102-ofbt - dead-1__MAX","102-dynamic","102-dynamic - dead-1__MIN","102-dynamic - dead-1__MAX","102-every-10","102-every-10 - dead-1__MIN","102-every-10 - dead-1__MAX","102-every-100","102-every-100 - dead-1__MIN","102-every-100 - dead-1__MAX"
"2","","","","0","0","0","","","","","","","","",""
"11","","","","","","","0","0","0","","","","","",""
"12","","","","","","","","","","0","0","0","","",""
"13","0","0","0","0","0","0","","","","","","","","",""
"16","","","","","","","","","","","","","0","0","0"
"20","","","","","","","0","0","0","","","","","",""
"22","0","0","0","","","","","","","","","","","",""
"23","","","","","","","0","0","0","","","","","",""
"27","","","","","","","","","","","","","0","0","0"
"28","","","","","","","","","","0","0","0","","",""
"32","","","","","","","0","0","0","","","","","",""
"40","","","","0","0","0","","","","","","","","",""
"42","","","","0","0","0","","","","","","","","",""
"46","0","0","0","","","","","","","0","0","0","","",""
"47","0","0","0","","","","","","","","","","","",""
"49","","","","0","0","0","","","","","","","","",""
"50","","","","","","","","","","","","","0","0","0"
"52","0","0","0","","","","","","","","","","","",""
"53","","","","0","0","0","","","","","","","","",""
"55","0","0","0","","","","","","","","","","","",""
"58","","","","0","0","0","","","","","","","","",""
"62","","","","","","","","","","0","0","0","","",""
"66","","","","0","0","0","","","","","","","0","0","0"
"67","","","","0","0","0","","","","","","","","",""
"68","0","0","0","","","","","","","0","0","0","","",""
"69","0","0","0","","","","","","","","","","","",""
"78","","","","","","","","","","0","0","0","","",""
"85","","","","","","","0","0","0","0","0","0","","",""
"87","","","","","","","0","0","0","","","","","",""
"88","","","","","","","","","","0","0","0","","",""
"90","0","0","0","","","","","","","","","","0","0","0"
"100","0","0","0","0","0","0","","","","","","","","",""
"104","","","","","","","","","","","","","0","0","0"
"121","","","","","","","","","","0","0","0","","",""
"124","","","","","","","","","","0","0","0","","",""
"125","","","","0","0","0","","","","","","","","",""
"130","","","","0","0","0","","","","","","","","",""
"135","","","","","","","0","0","0","","","","0","0","0"
"137","","","","","","","","","","0","0","0","","",""
"139","0","0","0","","","","","","","","","","0","0","0"
"152","","","","","","","","","","0","0","0","","",""
"153","","","","0","0","0","","","","","","","","",""
"154","","","","","","","","","","0","0","0","0","0","0"
"155","","","","0","0","0","","","","","","","","",""
"156","","","","","","","","","","0","0","0","","",""
"159","","","","","","","","","","","","","0","0","0"
"163","","","","0","0","0","","","","","","","","",""
"168","","","","0","0","0","","","","","","","","",""
"169","","","","","","","0","0","0","","","","","",""
"171","","","","","","","","","","","","","0","0","0"
"172","","","","","","","","","","0","0","0","","",""
"173","","","","0","0","0","","","","","","","","",""
"178","","","","","","","","","","0","0","0","","",""
"180","0","0","0","","","","0","0","0","","","","","",""
"187","","","","0","0","0","","","","","","","","",""
"189","","","","0","0","0","","","","","","","","",""
"191","","","","","","","","","","","","","0","0","0"
"196","","","","","","","","","","0","0","0","","",""
"197","","","","0","0","0","","","","","","","","",""
"202","","","","","","","","","","0","0","0","","",""
"204","","","","","","","0","0","0","","","","","",""
"207","","","","0","0","0","","","","","","","","",""
"211","","","","0","0","0","","","","","","","","",""
"212","","","","","","","0","0","0","","","","","",""
"215","","","","","","","","","","0","0","0","","",""
"216","0","0","0","","","","","","","","","","","",""
"220","","","","","","","","","","0","0","0","","",""
"222","","","","","","","","","","0","0","0","","",""
"226","0","0","0","","","","0","0","0","","","","","",""
"229","0","0","0","","","","0","0","0","","","","","",""
"234","","","","0","0","0","","","","","","","","",""
"235","0","0","0","","","","","","","","","","","",""
"237","","","","","","","","","","","","","0","0","0"
"239","0","0","0","","","","","","","","","","","",""
"245","","","","","","","","","","0","0","0","","",""
"247","","","","0","0","0","","","","","","","","",""
"249","","","","0","0","0","","","","","","","","",""
"251","","","","","","","","","","0","0","0","","",""
"254","","","","","","","","","","0","0","0","","",""
"256","","","","","","","","","","0","0","0","","",""
"263","","","","","","","0","0","0","","","","","",""
"265","0","0","0","","","","","","","","","","","",""
"266","","","","0","0","0","","","","","","","","",""
"273","","","","0","0","0","","","","","","","","",""
"275","0","0","0","","","","","","","","","","","",""
"283","","","","0","0","0","","","","","","","","",""
"292","","","","","","","0","0","0","","","","","",""
"293","","","","","","","","","","0","0","0","","",""
"294","","","","","","","0","0","0","","","","","",""
"297","0","0","0","","","","","","","","","","","",""
"299","","","","","","","","","","0","0","0","","",""
"303","","","","","","","0","0","0","","","","","",""
"304","","","","0","0","0","","","","","","","","",""
"305","","","","0","0","0","0","0","0","","","","","",""
"306","0","0","0","","","","","","","0","0","0","","",""
"310","0","0","0","","","","","","","","","","","",""
"311","","","","","","","0","0","0","","","","","",""
"313","","","","0","0","0","","","","","","","","",""
"316","","","","","","","","","","","","","0","0","0"
"323","","","","","","","0","0","0","","","","","",""
"324","","","","","","","","","","","","","0","0","0"
"334","","","","0","0","0","","","","","","","","",""
"335","","","","0","0","0","","","","","","","","",""
"353","0","0","0","","","","","","","","","","","",""
"356","0","0","0","","","","","","","","","","","",""
"359","","","","","","","","","","","","","0","0","0"
"365","","","","","","","","","","","","","0","0","0"
"369","0","0","0","","","","","","","","","","","",""
"382","","","","0","0","0","","","","","","","","",""
"384","0","0","0","","","","","","","","","","","",""
"385","","","","","","","","","","0","0","0","0","0","0"
"387","","","","","","","0","0","0","","","","","",""
"389","","","","","","","","","","","","","0","0","0"
"397","","","","","","","0","0","0","0","0","0","","",""
"398","","","","","","","","","","0","0","0","","",""
"400","","","","","","","","","","0","0","0","","",""
"402","","","","0","0","0","","","","","","","","",""
