"Step","102-static-1","102-static-1 - latency-1__MIN","102-static-1 - latency-1__MAX","102-ofb","102-ofbt - latency-1__MIN","102-ofbt - latency-1__MAX","102-dynamic","102-dynamic - latency-1__MIN","102-dynamic - latency-1__MAX","102-every-10","102-every-10 - latency-1__MIN","102-every-10 - latency-1__MAX","102-every-100","102-every-100 - latency-1__MIN","102-every-100 - latency-1__MAX"
"10","","","","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","",""
"11","","","","","","","0.125","0.125","0.125","0.4444444444444444","0.4444444444444444","0.4444444444444444","0","0","0"
"24","0","0","0","","","","","","","","","","","",""
"25","","","","","","","0","0","0","","","","","",""
"28","","","","0","0","0","","","","","","","","",""
"31","0","0","0","","","","","","","","","","","",""
"33","","","","0","0","0","","","","","","","","",""
"34","","","","","","","","","","0","0","0","0","0","0"
"46","2","2","2","","","","","","","","","","","",""
"48","2.3333333333333335","2.3333333333333335","2.3333333333333335","","","","","","","","","","","",""
"49","","","","","","","","","","0","0","0","2.142857142857143","2.142857142857143","2.142857142857143"
"56","4.166666666666667","4.166666666666667","4.166666666666667","","","","","","","","","","","",""
"60","","","","","","","","","","0.7272727272727273","0.7272727272727273","0.7272727272727273","5","5","5"
"63","","","","6","6","6","","","","","","","","",""
"64","","","","6.6","6.6","6.6","","","","","","","","",""
"72","","","","","","","","","","0","0","0","10","10","10"
"81","","","","","","","0","0","0","","","","","",""
"82","","","","","","","","","","0","0","0","16","16","16"
"84","","","","","","","","","","0","0","0","17","17","17"
"88","","","","","","","","","","0","0","0","17","17","17"
"90","","","","","","","0","0","0","","","","","",""
"91","18","18","18","","","","","","","","","","","",""
"93","","","","","","","0","0","0","","","","","",""
"104","","","","","","","2.5","2.5","2.5","0","0","0","17.6","17.6","17.6"
"116","","","","","","","5.9","5.9","5.9","","","","","",""
"119","","","","7.777777777777778","7.777777777777778","7.777777777777778","","","","","","","","",""
"121","","","","6.571428571428571","6.571428571428571","6.571428571428571","","","","","","","","",""
"124","","","","","","","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","22","22","22"
"126","6.25","6.25","6.25","","","","","","","","","","","",""
"132","","","","","","","1.0909090909090908","1.0909090909090908","1.0909090909090908","","","","","",""
"138","","","","0","0","0","","","","","","","","",""
"144","","","","","","","","","","0.2222222222222222","0.2222222222222222","0.2222222222222222","19.46153846153846","19.46153846153846","19.46153846153846"
"145","","","","0","0","0","","","","","","","","",""
"155","","","","0","0","0","","","","","","","","",""
"161","","","","0","0","0","","","","","","","","",""
"162","","","","","","","0.6153846153846154","0.6153846153846154","0.6153846153846154","","","","","",""
"169","","","","","","","","","","0","0","0","0","0","0"
"171","","","","","","","","","","0.5","0.5","0.5","0","0","0"
"182","0","0","0","","","","","","","","","","","",""
"184","0","0","0","0","0","0","","","","","","","","",""
"185","","","","","","","","","","0.4444444444444444","0.4444444444444444","0.4444444444444444","0","0","0"
"187","0","0","0","","","","","","","","","","","",""
"189","","","","0","0","0","","","","","","","","",""
"191","","","","","","","","","","0.6","0.6","0.6","0","0","0"
"192","0","0","0","0","0","0","","","","","","","","",""
"199","","","","0","0","0","","","","","","","","",""
"209","","","","0","0","0","","","","","","","","",""
"218","","","","","","","","","","8.2","8.2","8.2","0","0","0"
"221","","","","","","","0","0","0","","","","","",""
"226","","","","","","","0","0","0","","","","","",""
"228","","","","0","0","0","","","","","","","","",""
"229","","","","0","0","0","","","","","","","","",""
"230","","","","","","","","","","13.5","13.5","13.5","0","0","0"
"231","","","","0","0","0","","","","","","","","",""
"241","","","","","","","1.4","1.4","1.4","","","","","",""
"259","","","","0","0","0","","","","","","","","",""
"268","","","","","","","12","12","12","13.9","13.9","13.9","0","0","0"
"272","","","","","","","","","","15.3","15.3","15.3","0","0","0"
"276","","","","0","0","0","","","","15.333333333333334","15.333333333333334","15.333333333333334","0","0","0"
"280","1.4285714285714286","1.4285714285714286","1.4285714285714286","","","","","","","","","","","",""
"286","","","","0","0","0","","","","","","","","",""
"287","","","","","","","","","","18.5","18.5","18.5","0","0","0"
"290","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","","","","",""
"294","","","","","","","","","","0","0","0","0","0","0"
"297","1.8571428571428572","1.8571428571428572","1.8571428571428572","","","","","","","","","","","",""
"301","","","","","","","10.533333333333333","10.533333333333333","10.533333333333333","","","","","",""
"304","","","","","","","8.4","8.4","8.4","","","","","",""
"305","0","0","0","","","","","","","","","","","",""
"314","","","","","","","0","0","0","","","","","",""
"321","","","","","","","","","","46.6","46.6","46.6","0","0","0"
"324","","","","1","1","1","","","","","","","","",""
"328","","","","","","","0","0","0","","","","","",""
"329","2.8","2.8","2.8","","","","","","","","","","","",""
"340","","","","3","3","3","","","","","","","","",""
"341","","","","","","","","","","49.5","49.5","49.5","3","3","3"
"344","","","","","","","0","0","0","","","","","",""
"348","","","","4.142857142857143","4.142857142857143","4.142857142857143","","","","","","","","",""
"349","","","","","","","","","","0","0","0","4","4","4"
"350","7.857142857142857","7.857142857142857","7.857142857142857","","","","","","","","","","","",""
"351","8","8","8","","","","","","","52.666666666666664","52.666666666666664","52.666666666666664","4.375","4.375","4.375"
"352","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","","",""
"358","","","","","","","","","","49.55555555555556","49.55555555555556","49.55555555555556","1.2222222222222223","1.2222222222222223","1.2222222222222223"
"361","","","","","","","","","","50.7","50.7","50.7","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"363","","","","","","","1.25","1.25","1.25","","","","","",""
"369","","","","","","","2","2","2","","","","","",""
"374","0","0","0","0","0","0","","","","","","","","",""
"375","","","","","","","3","3","3","","","","","",""
"380","0","0","0","","","","4","4","4","","","","","",""
"384","0","0","0","","","","4.857142857142857","4.857142857142857","4.857142857142857","","","","","",""
"387","","","","","","","6.142857142857143","6.142857142857143","6.142857142857143","","","","","",""
"390","0","0","0","","","","","","","","","","","",""
"396","","","","0","0","0","","","","","","","","",""
"400","","","","","","","4.625","4.625","4.625","","","","","",""
"403","","","","","","","","","","27.142857142857142","27.142857142857142","27.142857142857142","0","0","0"
"417","53","53","53","","","","","","","22.4","22.4","22.4","47","47","47"
"422","","","","","","","7","7","7","","","","","",""
"426","","","","53","53","53","","","","","","","","",""
"428","","","","53","53","53","","","","","","","","",""
"430","","","","54","54","54","","","","","","","","",""
"435","","","","56","56","56","","","","","","","","",""
"438","","","","","","","6.875","6.875","6.875","","","","","",""
"440","","","","57.75","57.75","57.75","","","","","","","","",""
"442","","","","","","","6.428571428571429","6.428571428571429","6.428571428571429","","","","","",""
"443","","","","57.57142857142857","57.57142857142857","57.57142857142857","","","","","","","","",""
"452","","","","","","","","","","26","26","26","64.125","64.125","64.125"
"455","61.7","61.7","61.7","","","","","","","","","","","",""
"456","","","","","","","","","","27.285714285714285","27.285714285714285","27.285714285714285","62.75","62.75","62.75"
"457","62","62","62","","","","","","","","","","","",""
"460","","","","","","","13","13","13","","","","","",""
"473","","","","","","","22.25","22.25","22.25","","","","","",""
"476","","","","49.72727272727273","49.72727272727273","49.72727272727273","","","","","","","","",""
"481","","","","44.84615384615385","44.84615384615385","44.84615384615385","","","","","","","","",""
"485","","","","","","","15.11111111111111","15.11111111111111","15.11111111111111","","","","","",""
"499","31","31","31","","","","","","","","","","","",""
"501","","","","","","","9.125","9.125","9.125","","","","","",""
"502","","","","20.583333333333332","20.583333333333332","20.583333333333332","","","","","","","","",""
"515","26.727272727272727","26.727272727272727","26.727272727272727","","","","","","","","","","","",""
"521","26.307692307692307","26.307692307692307","26.307692307692307","","","","","","","0","0","0","24.8","24.8","24.8"
"522","26.25","26.25","26.25","","","","","","","","","","","",""
"523","","","","","","","12","12","12","","","","","",""
"525","","","","","","","13.666666666666666","13.666666666666666","13.666666666666666","","","","","",""
"530","","","","","","","","","","0.5","0.5","0.5","18.571428571428573","18.571428571428573","18.571428571428573"
"534","16.53846153846154","16.53846153846154","16.53846153846154","","","","","","","","","","","",""
"535","","","","","","","","","","0","0","0","13.133333333333333","13.133333333333333","13.133333333333333"
"540","9.083333333333334","9.083333333333334","9.083333333333334","","","","","","","","","","","",""
"541","","","","","","","23.75","23.75","23.75","","","","","",""
"546","","","","","","","","","","0","0","0","2.6923076923076925","2.6923076923076925","2.6923076923076925"
"562","","","","0","0","0","","","","","","","","",""
"580","","","","","","","12.5","12.5","12.5","","","","","",""
"581","0.5555555555555556","0.5555555555555556","0.5555555555555556","","","","","","","","","","","",""
"587","","","","","","","4.6","4.6","4.6","","","","","",""
"597","0.25","0.25","0.25","","","","","","","","","","","",""
"599","","","","","","","","","","0","0","0","0","0","0"
"608","0.8333333333333334","0.8333333333333334","0.8333333333333334","","","","","","","","","","","",""
"614","2.142857142857143","2.142857142857143","2.142857142857143","","","","","","","","","","","",""
"615","","","","0.625","0.625","0.625","","","","","","","","",""
"617","","","","","","","","","","5.666666666666667","5.666666666666667","5.666666666666667","9","9","9"
"619","","","","","","","0","0","0","","","","","",""
"627","","","","","","","1","1","1","","","","","",""
"634","","","","0","0","0","","","","","","","","",""
"648","0","0","0","","","","","","","","","","","",""
"649","","","","0","0","0","","","","","","","","",""
"655","0","0","0","","","","","","","","","","","",""
"658","","","","","","","0","0","0","","","","","",""
"662","","","","","","","","","","0","0","0","12.4","12.4","12.4"
"664","","","","","","","1","1","1","","","","","",""
"665","0","0","0","","","","","","","","","","","",""
"666","0","0","0","","","","","","","","","","","",""
"673","0","0","0","","","","","","","","","","","",""
"676","","","","","","","0","0","0","","","","","",""
"678","","","","0","0","0","","","","","","","","",""
"681","","","","0","0","0","","","","","","","","",""
"685","","","","","","","2.4444444444444446","2.4444444444444446","2.4444444444444446","","","","","",""
"686","","","","0","0","0","","","","0.25","0.25","0.25","9.25","9.25","9.25"
"691","","","","","","","","","","0.9","0.9","0.9","5.625","5.625","5.625"
"695","","","","0","0","0","","","","","","","","",""
"700","","","","0","0","0","","","","","","","","",""
"704","","","","","","","5.6","5.6","5.6","2.75","2.75","2.75","6.333333333333333","6.333333333333333","6.333333333333333"
"706","0","0","0","","","","","","","","","","","",""
"707","","","","","","","","","","2.2","2.2","2.2","5","5","5"
"708","","","","","","","","","","1.5","1.5","1.5","5.666666666666667","5.666666666666667","5.666666666666667"
"711","","","","","","","","","","1.2727272727272727","1.2727272727272727","1.2727272727272727","6","6","6"
"723","","","","0.125","0.125","0.125","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","",""
"728","","","","","","","2","2","2","","","","","",""
"732","","","","","","","0.1111111111111111","0.1111111111111111","0.1111111111111111","","","","","",""
"736","","","","","","","0","0","0","","","","","",""
"762","","","","19","19","19","","","","","","","","",""
"763","","","","19","19","19","","","","","","","","",""
"765","","","","","","","5.375","5.375","5.375","","","","","",""
"774","21.5","21.5","21.5","","","","","","","","","","","",""
"776","20.833333333333332","20.833333333333332","20.833333333333332","","","","","","","","","","","",""
"777","","","","15","15","15","","","","","","","","",""
"778","","","","","","","1.2222222222222223","1.2222222222222223","1.2222222222222223","","","","","",""
"781","","","","17","17","17","","","","6","6","6","50.166666666666664","50.166666666666664","50.166666666666664"
"790","24.2","24.2","24.2","","","","","","","14","14","14","51","51","51"
"796","","","","","","","","","","19","19","19","51.6","51.6","51.6"
"797","","","","","","","","","","20","20","20","51.8","51.8","51.8"
"801","","","","","","","0","0","0","","","","","",""
"811","0","0","0","","","","","","","","","","","",""
"815","","","","","","","","","","23.5","23.5","23.5","54.666666666666664","54.666666666666664","54.666666666666664"
"820","","","","0","0","0","","","","","","","","",""
"822","","","","","","","","","","25.25","25.25","25.25","0","0","0"
"823","","","","","","","7","7","7","","","","","",""
"825","","","","44.5","44.5","44.5","","","","","","","","",""
"826","","","","","","","0","0","0","","","","","",""
"829","51.4","51.4","51.4","","","","","","","","","","","",""
"838","","","","","","","","","","37","37","37","70","70","70"
"839","52.857142857142854","52.857142857142854","52.857142857142854","","","","","","","","","","","",""
"842","","","","","","","11.857142857142858","11.857142857142858","11.857142857142858","","","","","",""
"849","56.5","56.5","56.5","","","","","","","","","","","",""
"852","","","","54.8","54.8","54.8","","","","","","","","",""
"853","","","","","","","","","","0","0","0","70","70","70"
"859","","","","57.8","57.8","57.8","","","","","","","","",""
"866","","","","","","","10.625","10.625","10.625","","","","","",""
"872","","","","51.7","51.7","51.7","","","","","","","","",""
"879","52.77777777777778","52.77777777777778","52.77777777777778","","","","","","","","","","","",""
"887","","","","","","","","","","0","0","0","60.6","60.6","60.6"
