"Step","102-static-1","102-static-1 - reward__MIN","102-static-1 - reward__MAX","102-ofb","102-ofbt - reward__MIN","102-ofbt - reward__MAX","102-dynamic","102-dynamic - reward__MIN","102-dynamic - reward__MAX","102-every-10","102-every-10 - reward__MIN","102-every-10 - reward__MAX","102-every-100","102-every-100 - reward__MIN","102-every-100 - reward__MAX"
"1000","0.9392696500286862","0.9392696500286862","0.9392696500286862","0.9638886976477337","0.9638886976477337","0.9638886976477337","0.9452499999999999","0.9452499999999999","0.9452499999999999","0.9152914515203672","0.9152914515203672","0.9152914515203672","0.9638780837636259","0.9638780837636259","0.9638780837636259"
"2000","0.7253151176133105","0.7253151176133105","0.7253151176133105","0.9340405909351691","0.9340405909351691","0.9340405909351691","0.7486666666666667","0.7486666666666667","0.7486666666666667","0.9159246987951807","0.9159246987951807","0.9159246987951807","0.9137267641996558","0.9137267641996558","0.9137267641996558"
"3000","0.8900862019506599","0.8900862019506599","0.8900862019506599","0.9397204532415376","0.9397204532415376","0.9397204532415376","0.8553333333333336","0.8553333333333336","0.8553333333333336","0.9163083763625932","0.9163083763625932","0.9163083763625932","0.5194166666666669","0.5194166666666669","0.5194166666666669"
"4000","0.8766933448078025","0.8766933448078025","0.8766933448078025","0.9199720309810672","0.9199720309810672","0.9199720309810672","0.8310070281124499","0.8310070281124499","0.8310070281124499","0.7772822719449228","0.7772822719449228","0.7772822719449228","0.6774535283993112","0.6774535283993112","0.6774535283993112"
"5000","0.8603416523235798","0.8603416523235798","0.8603416523235798","1","1","1","0.8413714859437751","0.8413714859437751","0.8413714859437751","0.8658155479059093","0.8658155479059093","0.8658155479059093","0.4539166666666667","0.4539166666666667","0.4539166666666667"
"6000","0.8603373493975903","0.8603373493975903","0.8603373493975903","0.9083559954102123","0.9083559954102123","0.9083559954102123","0.9137062535857717","0.9137062535857717","0.9137062535857717","0.8806457257601835","0.8806457257601835","0.8806457257601835","0.4816666666666661","0.4816666666666661","0.4816666666666661"
"7000","0.8649357429718872","0.8649357429718872","0.8649357429718872","0.9129770510613884","0.9129770510613884","0.9129770510613884","0.8914596959265634","0.8914596959265634","0.8914596959265634","0.8661950659781982","0.8661950659781982","0.8661950659781982","0.4238333333333327","0.4238333333333327","0.4238333333333327"
"8000","0.8653826735513483","0.8653826735513483","0.8653826735513483","0.8668680436029833","0.8668680436029833","0.8668680436029833","0.9160804647160069","0.9160804647160069","0.9160804647160069","0.9030117613310384","0.9030117613310384","0.9030117613310384","0.4164166666666667","0.4164166666666667","0.4164166666666667"
"9000","0.8692243258749281","0.8692243258749281","0.8692243258749281","0.9316781411359726","0.9316781411359726","0.9316781411359726","0.8966277969018934","0.8966277969018934","0.8966277969018934","0.8599188181296612","0.8599188181296612","0.8599188181296612","0.3926666666666665","0.3926666666666665","0.3926666666666665"
"10000","0.8687581755593802","0.8687581755593802","0.8687581755593802","1","1","1","0.9535187894434883","0.9535187894434883","0.9535187894434883","0.8637257601835916","0.8637257601835916","0.8637257601835916","0.4050000000000003","0.4050000000000003","0.4050000000000003"
"11000","0.8597822719449224","0.8597822719449224","0.8597822719449224","1","1","1","0.944219736087206","0.944219736087206","0.944219736087206","0.8772125645438897","0.8772125645438897","0.8772125645438897","0.36016666666666824","0.36016666666666824","0.36016666666666824"
"12000","0.9355504876649456","0.9355504876649456","0.9355504876649456","1","1","1","0.9074784853700517","0.9074784853700517","0.9074784853700517","0.8592903040734364","0.8592903040734364","0.8592903040734364","0.3675","0.3675","0.3675"
"13000","0.8696632243258748","0.8696632243258748","0.8696632243258748","1","1","1","0.9466639414802065","0.9466639414802065","0.9466639414802065","0.8615014343086629","0.8615014343086629","0.8615014343086629","0.6239856569133677","0.6239856569133677","0.6239856569133677"
