"Step","110-dynamic","110-dynamic - dead-1__MIN","110-dynamic - dead-1__MAX","110-ofb","110-ofbt - dead-1__MIN","110-ofbt - dead-1__MAX","110-static-1","110-static-1 - dead-1__MIN","110-static-1 - dead-1__MAX","110-every-100","110-every-100 - dead-1__MIN","110-every-100 - dead-1__MAX","110-every-10","110-every-10 - dead-1__MIN","110-every-10 - dead-1__MAX"
"2","","","","","","","","","","0","0","0","","",""
"7","","","","","","","","","","0","0","0","","",""
"9","","","","","","","0","0","0","","","","","",""
"16","0","0","0","0","0","0","","","","","","","","",""
"30","","","","","","","","","","0","0","0","","",""
"31","","","","","","","0","0","0","","","","","",""
"32","0","0","0","","","","","","","","","","","",""
"33","0","0","0","","","","","","","","","","0","0","0"
"35","","","","0","0","0","","","","","","","","",""
"36","","","","","","","","","","","","","0","0","0"
"37","","","","","","","","","","0","0","0","","",""
"39","","","","0","0","0","","","","","","","","",""
"41","","","","","","","","","","","","","0","0","0"
"42","","","","0","0","0","0","0","0","","","","","",""
"47","","","","","","","","","","0","0","0","","",""
"48","","","","","","","","","","0","0","0","","",""
"49","0","0","0","","","","","","","","","","","",""
"51","","","","0","0","0","","","","","","","","",""
"57","","","","","","","","","","","","","0","0","0"
"58","","","","0","0","0","","","","","","","","",""
"59","0","0","0","","","","","","","","","","","",""
"68","","","","","","","","","","0","0","0","","",""
"70","","","","","","","0","0","0","","","","","",""
"75","0","0","0","","","","","","","","","","","",""
"77","0","0","0","","","","","","","","","","","",""
"83","0","0","0","","","","","","","0","0","0","","",""
"89","","","","","","","0","0","0","","","","","",""
"96","","","","","","","0","0","0","","","","","",""
"99","","","","","","","","","","0","0","0","","",""
"101","","","","","","","","","","","","","0","0","0"
"106","","","","0","0","0","","","","","","","0","0","0"
"113","","","","","","","0","0","0","","","","","",""
"114","","","","0","0","0","","","","","","","","",""
"119","","","","","","","","","","0","0","0","","",""
"122","","","","0","0","0","","","","","","","","",""
"126","","","","","","","","","","0","0","0","","",""
"127","","","","","","","","","","0","0","0","","",""
"128","","","","","","","","","","0","0","0","","",""
"130","","","","","","","","","","0","0","0","","",""
"136","","","","0","0","0","","","","","","","","",""
"137","","","","","","","0","0","0","","","","","",""
"143","0","0","0","","","","","","","","","","0","0","0"
"148","0","0","0","","","","","","","","","","","",""
"149","","","","","","","","","","0","0","0","","",""
"156","","","","","","","","","","","","","0","0","0"
"165","0","0","0","0","0","0","","","","","","","","",""
"168","","","","0","0","0","","","","","","","","",""
"170","","","","","","","","","","0","0","0","","",""
"171","","","","","","","","","","0","0","0","","",""
"174","","","","0","0","0","","","","","","","","",""
"175","","","","","","","","","","0","0","0","","",""
"181","0","0","0","","","","","","","","","","","",""
"183","0","0","0","","","","","","","","","","","",""
"186","","","","","","","0","0","0","","","","","",""
"189","0","0","0","","","","","","","","","","","",""
"197","","","","","","","","","","0","0","0","","",""
"199","","","","","","","0","0","0","","","","0","0","0"
"202","","","","","","","","","","","","","0","0","0"
"206","0","0","0","","","","","","","","","","","",""
"207","","","","","","","","","","0","0","0","","",""
"209","","","","0","0","0","","","","","","","","",""
"213","","","","","","","","","","","","","0","0","0"
"224","","","","","","","0","0","0","","","","","",""
"229","","","","","","","0","0","0","","","","","",""
"231","0","0","0","","","","","","","","","","","",""
"236","","","","","","","","","","","","","0","0","0"
"238","","","","","","","0","0","0","","","","","",""
"240","0","0","0","","","","","","","","","","","",""
"242","0","0","0","","","","","","","","","","","",""
"246","0","0","0","","","","","","","","","","","",""
"250","","","","","","","","","","","","","0","0","0"
"251","","","","","","","","","","","","","0","0","0"
"254","0","0","0","0","0","0","","","","","","","","",""
"258","","","","","","","0","0","0","","","","","",""
"259","","","","0","0","0","","","","","","","","",""
"260","","","","0","0","0","","","","0","0","0","","",""
