"Step","110-dynamic","110-dynamic - drop-0__MIN","110-dynamic - drop-0__MAX","110-ofb","110-ofbt - drop-0__MIN","110-ofbt - drop-0__MAX","110-static-1","110-static-1 - drop-0__MIN","110-static-1 - drop-0__MAX","110-every-100","110-every-100 - drop-0__MIN","110-every-100 - drop-0__MAX","110-every-10","110-every-10 - drop-0__MIN","110-every-10 - drop-0__MAX"
"0","0","0","0","0","0","0","","","","","","","","",""
"1","","","","","","","0","0","0","","","","","",""
"5","","","","","","","","","","0","0","0","","",""
"6","0","0","0","","","","","","","0","0","0","","",""
"13","","","","","","","","","","","","","0","0","0"
"14","","","","","","","","","","0","0","0","0","0","0"
"17","","","","","","","","","","","","","0","0","0"
"18","0","0","0","","","","","","","0","0","0","","",""
"24","0","0","0","","","","","","","","","","","",""
"27","","","","","","","","","","","","","0","0","0"
"31","","","","","","","","","","0","0","0","","",""
"35","0","0","0","","","","","","","","","","","",""
"37","","","","0","0","0","","","","","","","","",""
"38","","","","","","","","","","0","0","0","","",""
"40","0","0","0","","","","","","","","","","","",""
"41","","","","","","","","","","0","0","0","","",""
"47","","","","","","","","","","","","","0","0","0"
"51","","","","","","","0","0","0","","","","","",""
"54","0","0","0","","","","","","","0","0","0","","",""
"55","","","","","","","","","","0","0","0","0","0","0"
"58","","","","","","","0","0","0","","","","","",""
"62","","","","0","0","0","","","","","","","","",""
"68","","","","","","","","","","","","","0","0","0"
"77","0","0","0","","","","","","","","","","","",""
"78","","","","","","","0","0","0","","","","0","0","0"
"81","","","","0","0","0","","","","","","","","",""
"83","","","","","","","0","0","0","","","","","",""
"85","","","","","","","0","0","0","","","","","",""
"88","","","","","","","","","","","","","0","0","0"
"89","","","","","","","0","0","0","","","","","",""
"90","0","0","0","","","","0","0","0","","","","","",""
"92","","","","","","","0","0","0","","","","","",""
"94","","","","","","","","","","0","0","0","","",""
"96","","","","","","","","","","0","0","0","","",""
"97","","","","","","","","","","","","","0","0","0"
"108","","","","","","","0","0","0","","","","","",""
"114","","","","","","","","","","0","0","0","","",""
"115","0","0","0","","","","","","","","","","","",""
"123","","","","","","","","","","","","","0","0","0"
"125","","","","0","0","0","","","","","","","","",""
"126","","","","","","","","","","","","","0","0","0"
"127","","","","0","0","0","0","0","0","","","","","",""
"141","0","0","0","","","","","","","","","","","",""
"142","","","","","","","","","","0","0","0","","",""
"143","0","0","0","","","","","","","","","","","",""
"148","","","","","","","0","0","0","","","","","",""
"151","0","0","0","","","","","","","","","","","",""
"152","","","","","","","","","","","","","0","0","0"
"160","","","","","","","","","","","","","0","0","0"
"161","0","0","0","0","0","0","","","","","","","","",""
"169","","","","","","","0","0","0","","","","","",""
"171","0","0","0","","","","","","","","","","","",""
"172","","","","","","","","","","","","","0","0","0"
"173","","","","0","0","0","","","","","","","","",""
"174","","","","","","","","","","0","0","0","","",""
"175","","","","0","0","0","","","","","","","","",""
"177","","","","0","0","0","","","","","","","","",""
"178","0","0","0","","","","","","","","","","","",""
"181","0","0","0","","","","","","","","","","","",""
"184","","","","","","","","","","","","","0","0","0"
"185","","","","","","","0","0","0","","","","","",""
"186","","","","","","","","","","0","0","0","","",""
"188","","","","","","","","","","","","","0","0","0"
"189","","","","","","","0","0","0","","","","","",""
"192","","","","","","","","","","","","","0","0","0"
"193","","","","","","","0","0","0","","","","","",""
"195","0","0","0","","","","","","","","","","","",""
"196","","","","","","","","","","0","0","0","","",""
"202","","","","0","0","0","","","","","","","0","0","0"
"207","0","0","0","0","0","0","0","0","0","","","","","",""
"208","","","","","","","","","","0","0","0","","",""
"214","","","","0","0","0","","","","","","","","",""
"217","","","","","","","0","0","0","","","","","",""
"222","0","0","0","","","","","","","","","","","",""
"223","","","","0","0","0","","","","","","","","",""
"225","","","","","","","0","0","0","","","","","",""
"228","","","","","","","0","0","0","","","","","",""
"241","","","","","","","0","0","0","","","","","",""
"245","","","","0","0","0","","","","","","","","",""
"247","","","","0","0","0","","","","0","0","0","","",""
"248","0","0","0","","","","","","","","","","0","0","0"
"249","","","","","","","","","","","","","0","0","0"
"252","","","","","","","","","","0","0","0","","",""
"257","0","0","0","","","","","","","","","","","",""
"259","0","0","0","","","","","","","","","","","",""
"261","0","0","0","0","0","0","","","","","","","","",""
"262","","","","0","0","0","","","","","","","","",""
