"Step","110-dynamic","110-dynamic - latency-1__MIN","110-dynamic - latency-1__MAX","110-ofb","110-ofbt - latency-1__MIN","110-ofbt - latency-1__MAX","110-static-1","110-static-1 - latency-1__MIN","110-static-1 - latency-1__MAX","110-every-100","110-every-100 - latency-1__MIN","110-every-100 - latency-1__MAX","110-every-10","110-every-10 - latency-1__MIN","110-every-10 - latency-1__MAX"
"1","0.1111111111111111","0.1111111111111111","0.1111111111111111","","","","","","","","","","","",""
"2","0","0","0","","","","","","","","","","","",""
"3","","","","","","","","","","0","0","0","","",""
"4","0.6666666666666666","0.6666666666666666","0.6666666666666666","","","","","","","","","","","",""
"14","","","","","","","","","","0.5","0.5","0.5","","",""
"16","","","","","","","","","","","","","0","0","0"
"18","","","","","","","","","","0","0","0","","",""
"19","","","","","","","","","","","","","0","0","0"
"22","","","","","","","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.08333333333333333","","",""
"26","","","","","","","","","","","","","0","0","0"
"28","","","","","","","","","","","","","0","0","0"
"31","0","0","0","","","","","","","","","","","",""
"33","","","","","","","0","0","0","","","","","",""
"43","","","","","","","2","2","2","","","","","",""
"44","","","","","","","2.8333333333333335","2.8333333333333335","2.8333333333333335","","","","","",""
"49","0","0","0","","","","","","","","","","","",""
"51","","","","4.5","4.5","4.5","","","","","","","","",""
"62","","","","9","9","9","","","","","","","","",""
"65","0.5","0.5","0.5","","","","","","","","","","","",""
"70","","","","","","","","","","","","","1.4444444444444444","1.4444444444444444","1.4444444444444444"
"76","0","0","0","","","","","","","","","","","",""
"78","","","","","","","","","","19","19","19","","",""
"83","","","","21.5","21.5","21.5","","","","","","","","",""
"85","","","","","","","","","","22.333333333333332","22.333333333333332","22.333333333333332","","",""
"89","","","","","","","","","","24.142857142857142","24.142857142857142","24.142857142857142","","",""
"94","","","","","","","","","","26","26","26","","",""
"98","","","","","","","26.5","26.5","26.5","","","","","",""
"112","","","","","","","","","","31.75","31.75","31.75","","",""
"115","5.083333333333333","5.083333333333333","5.083333333333333","","","","","","","","","","","",""
"116","","","","24.25","24.25","24.25","","","","","","","","",""
"120","","","","","","","24.125","24.125","24.125","","","","","",""
"121","","","","24.714285714285715","24.714285714285715","24.714285714285715","","","","","","","","",""
"130","3.9","3.9","3.9","","","","","","","","","","","",""
"138","0.7272727272727273","0.7272727272727273","0.7272727272727273","19.866666666666667","19.866666666666667","19.866666666666667","","","","","","","","",""
"144","","","","","","","","","","37.61538461538461","37.61538461538461","37.61538461538461","","",""
"148","","","","","","","","","","35.916666666666664","35.916666666666664","35.916666666666664","","",""
"162","","","","","","","8.692307692307692","8.692307692307692","8.692307692307692","26.928571428571427","26.928571428571427","26.928571428571427","","",""
"166","","","","3.6","3.6","3.6","","","","25.466666666666665","25.466666666666665","25.466666666666665","","",""
"169","","","","","","","5.071428571428571","5.071428571428571","5.071428571428571","","","","","",""
"176","","","","","","","2.25","2.25","2.25","","","","","",""
"182","","","","","","","","","","18.5","18.5","18.5","","",""
"184","","","","","","","0.2","0.2","0.2","","","","","",""
"185","","","","0","0","0","","","","","","","","",""
"186","0.3","0.3","0.3","","","","","","","","","","","",""
"188","","","","","","","","","","","","","3.7777777777777777","3.7777777777777777","3.7777777777777777"
"189","0","0","0","","","","","","","","","","","",""
"190","0","0","0","","","","","","","","","","","",""
"195","","","","","","","","","","12.6","12.6","12.6","","",""
"196","","","","","","","","","","12.363636363636363","12.363636363636363","12.363636363636363","","",""
"203","","","","0","0","0","","","","","","","","",""
"205","","","","","","","","","","","","","9","9","9"
"219","0","0","0","","","","","","","","","","","",""
"226","","","","0","0","0","","","","","","","","",""
"227","","","","","","","","","","","","","20","20","20"
"228","","","","","","","","","","","","","21","21","21"
"230","","","","0","0","0","","","","","","","","",""
"231","","","","","","","","","","0","0","0","23","23","23"
"232","","","","0","0","0","","","","","","","","",""
"233","1.375","1.375","1.375","","","","","","","","","","","",""
"236","","","","","","","0.09090909090909091","0.09090909090909091","0.09090909090909091","","","","","",""
"237","","","","","","","","","","","","","26.166666666666668","26.166666666666668","26.166666666666668"
"238","","","","0","0","0","","","","","","","","",""
"239","3","3","3","","","","","","","","","","","",""
"243","","","","0","0","0","","","","","","","","",""
"245","5","5","5","","","","","","","","","","","",""
"246","5.333333333333333","5.333333333333333","5.333333333333333","","","","0","0","0","","","","","",""
"248","","","","","","","","","","0.2","0.2","0.2","","",""
"251","","","","","","","","","","0.6","0.6","0.6","","",""
"255","","","","0","0","0","","","","","","","","",""
"256","","","","","","","","","","","","","31.75","31.75","31.75"
"265","","","","","","","0","0","0","","","","","",""
"266","","","","","","","","","","0","0","0","","",""
"271","","","","0","0","0","0","0","0","0","0","0","","",""
"275","","","","0","0","0","","","","","","","","",""
"279","15.88888888888889","15.88888888888889","15.88888888888889","","","","","","","","","","0","0","0"
"280","16","16","16","","","","","","","","","","","",""
"285","","","","","","","3","3","3","","","","","",""
"289","","","","","","","","","","","","","0","0","0"
"295","13.6","13.6","13.6","","","","4.5","4.5","4.5","","","","","",""
"299","","","","3.875","3.875","3.875","","","","","","","","",""
"302","","","","","","","6.5","6.5","6.5","","","","","",""
"306","","","","","","","7","7","7","","","","","",""
"316","","","","","","","","","","5.2","5.2","5.2","","",""
"319","4.2","4.2","4.2","","","","","","","","","","","",""
"320","","","","","","","6.285714285714286","6.285714285714286","6.285714285714286","","","","","",""
"322","","","","","","","","","","3.5","3.5","3.5","","",""
"331","","","","","","","","","","6.166666666666667","6.166666666666667","6.166666666666667","","",""
"334","","","","","","","","","","7","7","7","","",""
"341","","","","","","","","","","9","9","9","","",""
"342","0.5555555555555556","0.5555555555555556","0.5555555555555556","","","","","","","","","","","",""
"348","","","","","","","","","","10.625","10.625","10.625","","",""
"349","","","","","","","","","","11","11","11","","",""
"350","","","","","","","","","","11.428571428571429","11.428571428571429","11.428571428571429","","",""
"353","","","","","","","","","","12","12","12","","",""
"355","","","","","","","","","","12","12","12","","",""
"359","","","","","","","","","","","","","0","0","0"
"361","","","","","","","","","","","","","69.1","69.1","69.1"
"374","","","","","","","","","","","","","66","66","66"
"377","","","","","","","0","0","0","","","","","",""
"382","","","","0","0","0","","","","0","0","0","","",""
"383","","","","0","0","0","","","","","","","","",""
"385","8","8","8","","","","","","","","","","63.142857142857146","63.142857142857146","63.142857142857146"
"388","","","","","","","","","","0","0","0","","",""
"391","","","","","","","","","","","","","62.23076923076923","62.23076923076923","62.23076923076923"
"393","11.6","11.6","11.6","","","","","","","","","","","",""
"404","","","","0","0","0","","","","","","","","",""
"418","","","","","","","","","","61","61","61","","",""
"420","","","","","","","","","","","","","55.55555555555556","55.55555555555556","55.55555555555556"
"423","","","","61","61","61","","","","","","","","",""
"429","","","","64.33333333333333","64.33333333333333","64.33333333333333","","","","","","","","",""
"433","","","","","","","70","70","70","","","","","",""
"435","","","","","","","70","70","70","","","","","",""
"437","","","","68","68","68","","","","","","","","",""
"444","","","","69.71428571428571","69.71428571428571","69.71428571428571","","","","","","","","",""
"453","","","","","","","","","","70","70","70","","",""
"465","","","","","","","70","70","70","","","","","",""
"468","22.833333333333332","22.833333333333332","22.833333333333332","","","","","","","","","","","",""
"470","","","","","","","","","","70","70","70","","",""
"481","","","","","","","67.23076923076923","67.23076923076923","67.23076923076923","","","","","",""
"482","","","","","","","67.23076923076923","67.23076923076923","67.23076923076923","","","","","",""
"487","","","","","","","65.28571428571429","65.28571428571429","65.28571428571429","","","","","",""
"495","","","","","","","59.15384615384615","59.15384615384615","59.15384615384615","","","","","",""
"496","16.727272727272727","16.727272727272727","16.727272727272727","","","","","","","","","","","",""
"498","","","","","","","58.3","58.3","58.3","","","","","",""
"506","","","","","","","","","","","","","64.66666666666667","64.66666666666667","64.66666666666667"
"507","","","","","","","55.72727272727273","55.72727272727273","55.72727272727273","","","","","",""
"512","","","","","","","54.333333333333336","54.333333333333336","54.333333333333336","","","","","",""
"514","","","","","","","","","","","","","60.46666666666667","60.46666666666667","60.46666666666667"
"516","","","","","","","","","","48.285714285714285","48.285714285714285","48.285714285714285","","",""
"518","","","","47.785714285714285","47.785714285714285","47.785714285714285","","","","","","","","",""
