"Step","12-static-1","12-static - dead-1__MIN","12-static - dead-1__MAX","12-dynamic","12-dynamic - dead-1__MIN","12-dynamic - dead-1__MAX","12-ofb","12-ofbt - dead-1__MIN","12-ofbt - dead-1__MAX","12-every-10","12-every-10 - dead-1__MIN","12-every-10 - dead-1__MAX","12-every-100","12-every-100 - dead-1__MIN","12-every-100 - dead-1__MAX"
"3","0","0","0","","","","","","","","","","","",""
"4","","","","0","0","0","","","","","","","","",""
"6","0","0","0","","","","","","","","","","","",""
"9","","","","","","","","","","0","0","0","","",""
"11","0","0","0","","","","","","","","","","","",""
"12","","","","0","0","0","","","","","","","","",""
"19","","","","","","","","","","0","0","0","","",""
"20","","","","","","","","","","","","","0","0","0"
"21","","","","0","0","0","","","","","","","","",""
"23","0","0","0","","","","","","","0","0","0","","",""
"25","","","","","","","","","","0","0","0","","",""
"27","0","0","0","","","","","","","","","","","",""
"31","","","","","","","","","","","","","0","0","0"
"40","0","0","0","","","","","","","","","","","",""
"43","","","","","","","","","","","","","0","0","0"
"47","0","0","0","","","","","","","","","","","",""
"48","","","","0","0","0","","","","","","","","",""
"49","","","","","","","0","0","0","","","","","",""
"50","","","","","","","","","","0","0","0","0","0","0"
"53","","","","","","","0","0","0","","","","","",""
"57","0","0","0","","","","","","","","","","","",""
"58","","","","","","","0","0","0","","","","","",""
"65","0","0","0","","","","","","","","","","","",""
"80","","","","","","","0","0","0","","","","","",""
"87","","","","0","0","0","","","","","","","","",""
"94","","","","","","","0","0","0","","","","","",""
"97","","","","","","","","","","","","","0","0","0"
"98","","","","0","0","0","","","","","","","","",""
"100","","","","","","","0","0","0","","","","","",""
"101","","","","","","","0","0","0","","","","","",""
"102","","","","","","","0","0","0","","","","","",""
"108","","","","","","","0","0","0","","","","","",""
"117","","","","0","0","0","","","","","","","","",""
"122","","","","","","","","","","","","","0","0","0"
"124","0","0","0","","","","","","","","","","","",""
"126","","","","","","","","","","0","0","0","","",""
"130","0","0","0","","","","","","","","","","","",""
"137","","","","","","","0","0","0","","","","","",""
"140","","","","","","","0","0","0","","","","","",""
"149","","","","","","","","","","0","0","0","","",""
"153","","","","","","","","","","","","","0","0","0"
"157","","","","","","","0","0","0","","","","","",""
"167","","","","","","","0","0","0","","","","","",""
"168","0","0","0","","","","","","","","","","","",""
"171","","","","","","","","","","0","0","0","","",""
"172","","","","","","","","","","0","0","0","","",""
"174","","","","","","","","","","0","0","0","","",""
"177","0","0","0","","","","","","","","","","","",""
"195","","","","","","","","","","","","","0","0","0"
"196","","","","0","0","0","","","","","","","","",""
"199","0","0","0","","","","","","","0","0","0","","",""
"202","","","","","","","0","0","0","0","0","0","","",""
"205","","","","","","","","","","0","0","0","","",""
"208","0","0","0","","","","","","","","","","0","0","0"
"211","","","","","","","0","0","0","","","","","",""
"215","","","","0","0","0","","","","","","","0","0","0"
"217","","","","","","","","","","","","","0","0","0"
"226","","","","","","","","","","","","","0","0","0"
"229","","","","","","","","","","","","","0","0","0"
"234","","","","","","","","","","","","","0","0","0"
"235","0","0","0","","","","","","","","","","","",""
"239","","","","0","0","0","","","","","","","","",""
"241","","","","0","0","0","","","","","","","","",""
"242","","","","","","","","","","0","0","0","","",""
"243","","","","","","","0","0","0","","","","","",""
"246","","","","","","","0","0","0","","","","","",""
"251","0","0","0","","","","","","","0","0","0","","",""
"265","","","","0","0","0","","","","","","","","",""
"266","","","","","","","0","0","0","","","","","",""
"267","","","","0","0","0","","","","","","","","",""
"268","","","","","","","","","","0","0","0","","",""
"272","","","","","","","0","0","0","","","","","",""
"273","0","0","0","","","","","","","","","","","",""
"274","","","","0","0","0","","","","","","","","",""
"277","0","0","0","","","","","","","","","","","",""
"283","","","","","","","0","0","0","","","","","",""
"288","0","0","0","","","","","","","","","","","",""
"292","","","","","","","","","","0","0","0","","",""
"294","","","","","","","","","","","","","0","0","0"
"299","","","","0","0","0","","","","","","","","",""
"300","0","0","0","","","","","","","","","","","",""
"304","","","","","","","0","0","0","0","0","0","","",""
"307","","","","","","","","","","","","","0","0","0"
"312","","","","","","","0","0","0","","","","","",""
"317","","","","","","","","","","","","","0","0","0"
"324","","","","","","","","","","0","0","0","0","0","0"
"331","0","0","0","","","","","","","","","","","",""
"338","","","","0","0","0","","","","","","","","",""
"340","","","","","","","","","","0","0","0","","",""
"341","0","0","0","","","","","","","","","","","",""
"343","0","0","0","0","0","0","","","","","","","","",""
"347","","","","0","0","0","","","","","","","","",""
"354","","","","0","0","0","","","","","","","","",""
"355","","","","","","","","","","","","","0","0","0"
"362","","","","","","","","","","0","0","0","","",""
"366","","","","0","0","0","","","","","","","","",""
"369","","","","","","","0","0","0","","","","","",""
"371","","","","","","","0","0","0","","","","","",""
"378","","","","0","0","0","","","","","","","","",""
"382","","","","","","","","","","","","","0","0","0"
"383","","","","0","0","0","","","","0","0","0","","",""
"384","0","0","0","","","","0","0","0","","","","","",""
"390","","","","","","","0","0","0","","","","","",""
"395","","","","","","","","","","","","","0","0","0"
"396","","","","","","","0","0","0","","","","","",""
"397","","","","","","","0","0","0","","","","","",""
"400","","","","","","","","","","0","0","0","","",""
"411","","","","0","0","0","","","","","","","","",""
"412","0","0","0","","","","","","","","","","","",""
"414","","","","","","","","","","","","","0","0","0"
"432","","","","","","","","","","0","0","0","","",""
"433","","","","0","0","0","","","","","","","","",""
"438","","","","0","0","0","","","","0","0","0","","",""
"442","","","","","","","","","","","","","0","0","0"
"443","","","","","","","","","","0","0","0","","",""
"445","","","","0","0","0","","","","","","","","",""
"450","0","0","0","","","","","","","","","","","",""
"455","","","","","","","","","","0","0","0","","",""
"464","","","","","","","","","","0","0","0","","",""
"470","0","0","0","","","","","","","","","","","",""
"471","","","","0","0","0","","","","","","","","",""
"474","0","0","0","","","","","","","","","","","",""
"476","","","","","","","0","0","0","","","","","",""
"477","","","","","","","","","","0","0","0","","",""
"479","","","","","","","","","","0","0","0","","",""
"480","","","","","","","","","","0","0","0","","",""
"481","","","","","","","0","0","0","","","","","",""
"483","","","","","","","0","0","0","","","","","",""
"484","","","","","","","0","0","0","","","","","",""
"487","0","0","0","0","0","0","","","","","","","","",""
"488","","","","","","","0","0","0","","","","","",""
"489","0","0","0","","","","","","","","","","","",""
"497","","","","","","","","","","0","0","0","","",""
"499","","","","","","","0","0","0","0","0","0","","",""
"500","","","","0","0","0","","","","","","","","",""
"507","","","","","","","","","","","","","0","0","0"
"508","","","","0","0","0","","","","","","","","",""
"510","0","0","0","","","","","","","","","","","",""
"516","0","0","0","","","","","","","","","","","",""
"524","","","","","","","0","0","0","","","","","",""
"528","","","","0","0","0","","","","","","","0","0","0"
"529","","","","0","0","0","","","","","","","","",""
"531","","","","","","","","","","0","0","0","","",""
"538","","","","","","","0","0","0","","","","","",""
"542","","","","","","","0","0","0","","","","","",""
"546","","","","","","","0","0","0","","","","0","0","0"
"549","","","","","","","0","0","0","","","","","",""
"559","0","0","0","","","","","","","","","","","",""
"569","0","0","0","","","","","","","","","","","",""
"570","","","","","","","","","","","","","0","0","0"
"571","","","","0","0","0","","","","","","","","",""
"574","0","0","0","","","","","","","","","","","",""
"578","","","","","","","0","0","0","","","","","",""
"579","","","","","","","0","0","0","","","","","",""
"581","0","0","0","","","","","","","0","0","0","","",""
"582","0","0","0","","","","","","","0","0","0","","",""
"584","","","","","","","0","0","0","","","","","",""
"585","","","","","","","","","","0","0","0","","",""
"588","","","","0","0","0","","","","","","","","",""
"593","","","","","","","","","","0","0","0","","",""
"596","","","","","","","0","0","0","","","","","",""
"597","0","0","0","","","","","","","","","","","",""
"598","","","","","","","","","","0","0","0","","",""
"600","0","0","0","","","","","","","","","","","",""
"604","","","","","","","0","0","0","","","","","",""
"605","0","0","0","","","","","","","","","","","",""
"606","","","","0","0","0","","","","","","","","",""
"607","","","","","","","","","","","","","0","0","0"
"609","","","","","","","0","0","0","","","","","",""
"615","","","","","","","","","","0","0","0","","",""
"617","0","0","0","","","","","","","","","","","",""
"628","","","","0","0","0","","","","","","","","",""
"631","","","","0","0","0","0","0","0","","","","","",""
"635","","","","","","","","","","0","0","0","","",""
"641","","","","0","0","0","","","","","","","","",""
"646","","","","","","","","","","","","","0","0","0"
"663","0","0","0","","","","","","","","","","","",""
"665","","","","","","","","","","","","","0","0","0"
"666","","","","0","0","0","","","","","","","","",""
"668","","","","","","","","","","0","0","0","0","0","0"
"669","","","","","","","","","","0","0","0","","",""
"671","","","","","","","0","0","0","","","","","",""
"675","0","0","0","","","","","","","","","","","",""
"684","","","","","","","","","","","","","0","0","0"
"688","0","0","0","","","","","","","","","","","",""
"695","","","","","","","0","0","0","","","","","",""
"708","0","0","0","","","","","","","","","","","",""
"710","","","","","","","0","0","0","","","","","",""
"719","","","","0","0","0","","","","","","","","",""
"720","","","","","","","0","0","0","","","","","",""
"725","","","","","","","","","","","","","0","0","0"
"729","","","","0","0","0","","","","","","","","",""
"735","","","","","","","0","0","0","","","","","",""
"737","0","0","0","","","","","","","","","","","",""
"741","","","","","","","0","0","0","","","","","",""
"743","","","","","","","0","0","0","","","","","",""
"747","","","","","","","0","0","0","","","","","",""
"753","","","","","","","0","0","0","","","","0","0","0"
"760","","","","0","0","0","","","","","","","","",""
"770","","","","","","","","","","","","","0","0","0"
"771","","","","0","0","0","","","","","","","","",""
"777","","","","","","","","","","","","","0","0","0"
"783","0","0","0","","","","","","","","","","","",""
"786","0","0","0","","","","","","","","","","","",""
"787","","","","","","","0","0","0","","","","","",""
"791","","","","","","","0","0","0","","","","","",""
"795","","","","","","","","","","","","","0","0","0"
"797","","","","0","0","0","","","","","","","","",""
"800","","","","","","","","","","0","0","0","","",""
"802","","","","","","","0","0","0","","","","","",""
"803","","","","","","","0","0","0","0","0","0","","",""
"811","","","","0","0","0","","","","","","","","",""
"815","","","","","","","","","","0","0","0","","",""
"817","","","","","","","0","0","0","","","","","",""
"819","","","","0","0","0","","","","","","","0","0","0"
"821","","","","","","","0","0","0","","","","","",""
"826","","","","","","","","","","","","","0","0","0"
"829","","","","","","","","","","","","","0","0","0"
"831","0","0","0","","","","","","","0","0","0","","",""
"834","","","","","","","","","","0","0","0","","",""
"839","","","","0","0","0","","","","0","0","0","","",""
"840","","","","","","","0","0","0","","","","","",""
"842","","","","","","","","","","","","","0","0","0"
"844","0","0","0","","","","","","","","","","","",""
"851","","","","","","","0","0","0","","","","","",""
"852","","","","","","","","","","0","0","0","","",""
"863","","","","0","0","0","","","","","","","","",""
"864","","","","","","","0","0","0","","","","","",""
"866","","","","","","","0","0","0","","","","","",""
"867","","","","","","","0","0","0","","","","","",""
"877","0","0","0","","","","","","","","","","","",""
"882","","","","","","","","","","0","0","0","","",""
"884","","","","","","","","","","","","","0","0","0"
"886","0","0","0","","","","","","","","","","","",""
"890","","","","","","","","","","","","","0","0","0"
"892","0","0","0","","","","","","","","","","","",""
"895","","","","","","","0","0","0","","","","","",""
"902","","","","","","","","","","0","0","0","","",""
"904","","","","","","","","","","0","0","0","","",""
"911","","","","","","","","","","","","","0","0","0"
"915","","","","","","","0","0","0","","","","","",""
"917","","","","","","","","","","0","0","0","","",""
"926","","","","0","0","0","","","","","","","","",""
"928","0","0","0","","","","","","","","","","","",""
"929","","","","","","","","","","","","","0","0","0"
"933","","","","","","","0","0","0","","","","","",""
"934","","","","","","","0","0","0","","","","","",""
"935","","","","","","","","","","0","0","0","","",""
"938","","","","","","","0","0","0","0","0","0","","",""
"939","0","0","0","","","","","","","","","","","",""
"947","0","0","0","","","","","","","","","","","",""
"958","","","","","","","","","","0","0","0","","",""
"960","","","","","","","","","","","","","0","0","0"
"968","","","","","","","0","0","0","","","","","",""
"969","","","","","","","","","","3","3","3","","",""
"971","","","","","","","","","","","","","0","0","0"
"972","0","0","0","","","","","","","","","","","",""
"977","0","0","0","","","","","","","0","0","0","","",""
"981","","","","","","","0","0","0","","","","","",""
"982","","","","0","0","0","","","","","","","","",""
"998","","","","","","","","","","0","0","0","","",""
"1000","0","0","0","","","","","","","","","","","",""
"1003","","","","","","","0","0","0","","","","","",""
"1009","","","","0","0","0","","","","","","","","",""
"1013","","","","0","0","0","","","","2","2","2","","",""
"1016","0","0","0","","","","","","","","","","","",""
"1022","","","","0","0","0","","","","","","","","",""
"1027","","","","","","","","","","0","0","0","","",""
"1038","","","","0","0","0","","","","","","","","",""
"1043","","","","","","","","","","","","","0","0","0"
"1045","0","0","0","","","","","","","","","","","",""
"1048","","","","","","","0","0","0","","","","","",""
"1051","","","","","","","0","0","0","","","","","",""
"1055","","","","","","","0","0","0","","","","0","0","0"
"1056","","","","","","","","","","","","","0","0","0"
"1057","0","0","0","","","","","","","","","","","",""
"1072","","","","0","0","0","","","","","","","0","0","0"
"1075","","","","","","","","","","","","","0","0","0"
"1080","0","0","0","","","","","","","","","","","",""
"1081","","","","","","","0","0","0","","","","","",""
"1085","0","0","0","","","","","","","","","","","",""
"1090","","","","","","","0","0","0","","","","","",""
"1099","","","","0","0","0","","","","","","","","",""
"1103","","","","","","","0","0","0","","","","0","0","0"
"1106","","","","","","","","","","","","","0","0","0"
"1116","","","","0","0","0","","","","","","","","",""
"1117","","","","","","","0","0","0","","","","","",""
"1120","","","","0","0","0","0","0","0","","","","","",""
"1121","","","","0","0","0","","","","","","","","",""
"1128","0","0","0","","","","","","","","","","","",""
"1133","0","0","0","","","","","","","","","","","",""
"1140","","","","","","","0","0","0","","","","","",""
"1141","","","","","","","","","","","","","0","0","0"
"1142","","","","","","","","","","0","0","0","","",""
"1145","","","","","","","","","","","","","0","0","0"
"1149","","","","0","0","0","","","","","","","","",""
"1152","","","","","","","","","","","","","0","0","0"
"1153","0","0","0","","","","","","","","","","","",""
"1154","","","","","","","0","0","0","","","","","",""
"1159","","","","0","0","0","","","","","","","","",""
"1160","","","","0","0","0","","","","","","","","",""
"1163","","","","","","","","","","","","","0","0","0"
"1164","","","","","","","","","","","","","0","0","0"
"1166","","","","0","0","0","","","","","","","","",""
"1167","0","0","0","","","","","","","","","","","",""
"1168","0","0","0","","","","","","","","","","","",""
"1169","","","","0","0","0","","","","","","","","",""
"1171","","","","","","","","","","3","3","3","","",""
"1173","","","","","","","0","0","0","","","","","",""
"1175","","","","","","","0","0","0","","","","","",""
"1181","0","0","0","","","","","","","","","","","",""
"1184","","","","","","","0","0","0","","","","","",""
"1185","0","0","0","","","","","","","","","","0","0","0"
"1197","0","0","0","","","","","","","","","","","",""
"1200","0","0","0","","","","","","","","","","","",""
"1204","","","","","","","","","","","","","0","0","0"
"1205","","","","","","","","","","","","","0","0","0"
"1216","","","","","","","","","","0","0","0","","",""
"1222","0","0","0","","","","","","","","","","","",""
"1229","","","","","","","","","","0","0","0","","",""
"1230","","","","","","","0","0","0","","","","","",""
"1234","","","","","","","0","0","0","","","","","",""
"1238","0","0","0","","","","","","","","","","","",""
"1240","","","","","","","0","0","0","","","","","",""
"1244","","","","0","0","0","","","","","","","","",""
"1257","","","","0","0","0","","","","","","","","",""
"1258","","","","0","0","0","","","","","","","","",""
"1260","","","","0","0","0","","","","","","","","",""
"1272","","","","","","","","","","","","","0","0","0"
"1276","","","","","","","","","","","","","0","0","0"
"1280","","","","0","0","0","","","","","","","","",""
"1286","","","","","","","0","0","0","","","","","",""
"1288","","","","","","","","","","","","","0","0","0"
"1290","","","","","","","0","0","0","","","","","",""
"1291","","","","","","","","","","","","","0","0","0"
"1292","","","","","","","","","","","","","0","0","0"
"1297","","","","0","0","0","","","","","","","","",""
"1298","","","","","","","0","0","0","","","","","",""
"1300","0","0","0","","","","","","","","","","","",""
"1310","","","","","","","0","0","0","","","","","",""
"1315","","","","0","0","0","","","","","","","","",""
"1318","","","","","","","0","0","0","","","","","",""
"1319","","","","","","","","","","0","0","0","","",""
"1321","","","","","","","","","","0","0","0","","",""
"1323","","","","","","","","","","","","","0","0","0"
"1328","","","","0","0","0","","","","","","","","",""
"1330","","","","","","","0","0","0","","","","","",""
"1331","","","","","","","0","0","0","","","","0","0","0"
"1332","","","","","","","","","","","","","0","0","0"
"1340","","","","","","","0","0","0","","","","","",""
"1342","","","","","","","0","0","0","","","","","",""
"1343","","","","","","","","","","0","0","0","","",""
"1345","0","0","0","0","0","0","","","","","","","","",""
"1347","","","","0","0","0","","","","","","","0","0","0"
"1348","0","0","0","","","","","","","","","","","",""
"1350","","","","","","","0","0","0","","","","","",""
"1359","","","","","","","0","0","0","","","","","",""
"1368","","","","","","","","","","","","","0","0","0"
"1374","","","","","","","","","","0","0","0","","",""
"1375","","","","","","","","","","","","","0","0","0"
"1377","","","","","","","0","0","0","","","","","",""
"1379","","","","","","","0","0","0","","","","","",""
"1383","0","0","0","","","","","","","","","","","",""
"1385","0","0","0","0","0","0","0","0","0","","","","","",""
"1387","0","0","0","","","","","","","","","","","",""
"1388","","","","0","0","0","","","","0","0","0","","",""
"1392","","","","","","","0","0","0","","","","0","0","0"
"1395","","","","","","","0","0","0","","","","","",""
"1403","","","","","","","0","0","0","0","0","0","","",""
"1405","","","","0","0","0","","","","","","","","",""
"1414","0","0","0","0","0","0","","","","","","","","",""
"1419","","","","","","","","","","","","","0","0","0"
"1420","0","0","0","","","","0","0","0","","","","","",""
"1421","","","","","","","","","","0","0","0","","",""
"1424","","","","0","0","0","","","","","","","","",""
"1431","","","","","","","0","0","0","","","","","",""
"1435","0","0","0","","","","","","","","","","","",""
"1439","","","","0","0","0","","","","","","","","",""
"1440","","","","","","","0","0","0","","","","","",""
"1443","","","","0","0","0","","","","","","","","",""
"1445","","","","0","0","0","","","","","","","","",""
"1446","","","","","","","","","","0","0","0","","",""
"1448","0","0","0","","","","","","","0","0","0","","",""
"1451","0","0","0","0","0","0","","","","","","","","",""
"1453","","","","0","0","0","","","","","","","","",""
"1454","","","","0","0","0","","","","","","","","",""
"1456","","","","","","","","","","0","0","0","","",""
"1460","","","","0","0","0","","","","","","","","",""
"1463","0","0","0","","","","0","0","0","","","","","",""
"1468","","","","0","0","0","0","0","0","","","","","",""
"1470","0","0","0","","","","","","","","","","","",""
"1477","0","0","0","0","0","0","","","","","","","","",""
"1478","","","","","","","","","","0","0","0","","",""
"1480","","","","0","0","0","","","","","","","","",""
"1481","","","","","","","","","","0","0","0","","",""
"1486","","","","","","","","","","","","","0","0","0"
"1488","","","","","","","","","","","","","0","0","0"
"1490","","","","0","0","0","","","","","","","","",""
"1492","","","","","","","","","","0","0","0","","",""
"1499","","","","","","","0","0","0","","","","","",""
"1500","","","","","","","","","","","","","0","0","0"
"1502","","","","0","0","0","","","","","","","","",""
"1508","","","","","","","","","","0","0","0","","",""
"1519","","","","","","","0","0","0","","","","","",""
"1528","","","","","","","0","0","0","","","","","",""
"1530","","","","0","0","0","","","","","","","","",""
"1532","","","","","","","","","","","","","0","0","0"
"1537","","","","","","","","","","","","","0","0","0"
"1543","","","","0","0","0","","","","","","","","",""
"1548","","","","0","0","0","","","","","","","","",""
"1549","0","0","0","0","0","0","0","0","0","","","","","",""
"1553","","","","","","","","","","0","0","0","","",""
"1558","","","","","","","","","","","","","0","0","0"
"1564","0","0","0","","","","","","","","","","","",""
"1565","0","0","0","","","","","","","","","","","",""
"1566","0","0","0","","","","","","","","","","","",""
"1567","","","","0","0","0","","","","","","","","",""
"1570","","","","","","","","","","0","0","0","","",""
"1571","","","","","","","","","","","","","0","0","0"
"1572","","","","","","","0","0","0","","","","0","0","0"
"1577","","","","","","","","","","0","0","0","","",""
"1579","","","","0","0","0","","","","","","","","",""
"1585","","","","0","0","0","0","0","0","","","","","",""
"1586","","","","","","","","","","","","","0","0","0"
"1589","","","","0","0","0","","","","","","","","",""
"1597","0","0","0","0","0","0","","","","","","","","",""
"1601","","","","","","","","","","","","","0","0","0"
"1603","0","0","0","","","","","","","","","","","",""
"1604","0","0","0","","","","","","","","","","","",""
"1613","0","0","0","","","","","","","","","","","",""
"1615","0","0","0","0","0","0","","","","","","","","",""
"1616","","","","","","","0","0","0","0","0","0","","",""
"1631","0","0","0","","","","","","","","","","0","0","0"
"1633","","","","","","","","","","0","0","0","","",""
"1636","","","","","","","","","","0","0","0","0","0","0"
"1637","","","","","","","","","","0","0","0","0","0","0"
"1639","","","","0","0","0","","","","","","","","",""
"1643","","","","","","","0","0","0","","","","","",""
"1644","0","0","0","","","","","","","","","","","",""
"1645","","","","","","","","","","","","","0","0","0"
"1648","","","","","","","","","","0","0","0","","",""
"1658","","","","","","","","","","","","","0","0","0"
"1662","0","0","0","","","","","","","","","","","",""
"1665","","","","","","","","","","","","","0","0","0"
"1671","","","","","","","","","","","","","0","0","0"
"1673","","","","","","","","","","0","0","0","","",""
"1676","","","","","","","","","","0","0","0","","",""
"1682","0","0","0","","","","","","","0","0","0","","",""
"1685","","","","0","0","0","","","","","","","","",""
"1693","","","","","","","","","","","","","0","0","0"
"1708","0","0","0","","","","","","","","","","","",""
"1709","","","","","","","","","","0","0","0","","",""
"1711","","","","0","0","0","","","","0","0","0","","",""
"1712","","","","","","","0","0","0","","","","","",""
"1725","","","","0","0","0","","","","","","","","",""
"1730","","","","","","","0","0","0","","","","","",""
"1731","","","","","","","0","0","0","","","","","",""
"1734","","","","","","","","","","0","0","0","","",""
"1735","","","","","","","","","","0","0","0","0","0","0"
"1736","0","0","0","","","","","","","","","","","",""
"1737","0","0","0","","","","","","","","","","","",""
"1742","","","","0","0","0","","","","","","","","",""
"1743","","","","","","","0","0","0","","","","","",""
"1745","0","0","0","","","","","","","","","","","",""
"1751","0","0","0","","","","","","","","","","","",""
