"Step","12-static-1","12-static - drop-0__MIN","12-static - drop-0__MAX","12-dynamic","12-dynamic - drop-0__MIN","12-dynamic - drop-0__MAX","12-ofb","12-ofbt - drop-0__MIN","12-ofbt - drop-0__MAX","12-every-10","12-every-10 - drop-0__MIN","12-every-10 - drop-0__MAX","12-every-100","12-every-100 - drop-0__MIN","12-every-100 - drop-0__MAX"
"1","","","","","","","","","","","","","0","0","0"
"2","","","","","","","","","","","","","0","0","0"
"6","0","0","0","0","0","0","0","0","0","","","","","",""
"11","","","","","","","","","","","","","0","0","0"
"12","","","","","","","0","0","0","","","","","",""
"14","0","0","0","0","0","0","","","","","","","","",""
"17","","","","","","","0","0","0","","","","","",""
"18","","","","","","","","","","0","0","0","","",""
"21","0","0","0","0","0","0","","","","","","","","",""
"22","","","","","","","0","0","0","","","","","",""
"24","","","","","","","","","","","","","0","0","0"
"25","","","","","","","0","0","0","","","","0","0","0"
"27","","","","","","","","","","0","0","0","","",""
"39","0","0","0","0","0","0","","","","","","","","",""
"44","","","","","","","","","","0","0","0","","",""
"46","0","0","0","0","0","0","","","","","","","","",""
"48","","","","","","","0","0","0","","","","","",""
"56","0","0","0","0","0","0","","","","","","","0","0","0"
"57","","","","","","","0","0","0","","","","","",""
"59","0","0","0","0","0","0","","","","","","","","",""
"63","","","","","","","0","0","0","","","","","",""
"64","","","","","","","","","","","","","0","0","0"
"66","0","0","0","0","0","0","","","","","","","","",""
"68","","","","","","","0","0","0","","","","","",""
"75","","","","","","","","","","0","0","0","","",""
"81","","","","","","","","","","0","0","0","","",""
"88","","","","","","","0","0","0","","","","","",""
"102","","","","","","","0","0","0","","","","","",""
"108","0","0","0","0","0","0","","","","","","","0","0","0"
"109","","","","","","","","","","","","","0","0","0"
"112","","","","","","","","","","","","","0","0","0"
"115","","","","","","","","","","","","","0","0","0"
"124","0","0","0","0","0","0","","","","0","0","0","","",""
"128","","","","","","","","","","0","0","0","0","0","0"
"130","0","0","0","0","0","0","","","","","","","","",""
"137","0","0","0","0","0","0","","","","0","0","0","","",""
"142","0","0","0","0","0","0","","","","","","","","",""
