"Step","12-static-1","12-static - latency-1__MIN","12-static - latency-1__MAX","12-dynamic","12-dynamic - latency-1__MIN","12-dynamic - latency-1__MAX","12-ofb","12-ofbt - latency-1__MIN","12-ofbt - latency-1__MAX","12-every-10","12-every-10 - latency-1__MIN","12-every-10 - latency-1__MAX","12-every-100","12-every-100 - latency-1__MIN","12-every-100 - latency-1__MAX"
"3","","","","","","","","","","0","0","0","","",""
"11","0","0","0","","","","","","","","","","","",""
"17","0","0","0","","","","","","","","","","","",""
"18","0","0","0","","","","","","","","","","","",""
"20","0","0","0","","","","","","","","","","0","0","0"
"21","0","0","0","","","","","","","0","0","0","","",""
"24","","","","","","","","","","0","0","0","","",""
"25","","","","","","","","","","0","0","0","","",""
"30","","","","","","","","","","","","","0","0","0"
"33","","","","0.25","0.25","0.25","0","0","0","","","","","",""
"48","0","0","0","","","","","","","","","","","",""
"49","","","","","","","","","","0","0","0","","",""
"55","","","","","","","","","","","","","0","0","0"
"56","","","","0","0","0","0","0","0","","","","","",""
"57","0","0","0","","","","","","","","","","","",""
"58","","","","0","0","0","0","0","0","","","","","",""
"62","","","","0","0","0","0","0","0","","","","0","0","0"
"63","","","","","","","","","","0","0","0","","",""
"65","0","0","0","","","","","","","","","","","",""
"73","1","1","1","","","","","","","","","","1","1","1"
"75","2","2","2","","","","","","","","","","","",""
"76","","","","0","0","0","3","3","3","","","","","",""
"81","","","","0","0","0","0.75","0.75","0.75","","","","","",""
"92","","","","","","","","","","","","","0","0","0"
"96","","","","","","","","","","0","0","0","","",""
"97","","","","","","","","","","","","","0","0","0"
"100","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","",""
"103","","","","","","","","","","","","","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"116","","","","0","0","0","0","0","0","","","","","",""
"118","","","","","","","","","","0","0","0","0","0","0"
"121","","","","0","0","0","0","0","0","0","0","0","","",""
"130","","","","0","0","0","0","0","0","","","","","",""
"144","","","","0","0","0","0","0","0","","","","","",""
"145","0","0","0","","","","","","","","","","","",""
"152","0","0","0","","","","","","","0","0","0","","",""
"156","0","0","0","","","","","","","","","","","",""
"164","","","","0","0","0","0","0","0","","","","","",""
"165","","","","","","","","","","0","0","0","","",""
"166","","","","","","","","","","","","","0","0","0"
"171","0","0","0","","","","","","","","","","","",""
"179","","","","","","","","","","","","","0","0","0"
"181","","","","","","","","","","","","","0","0","0"
"185","","","","","","","","","","0","0","0","","",""
"190","","","","","","","","","","0.6","0.6","0.6","0","0","0"
"195","","","","","","","","","","","","","0","0","0"
"197","","","","","","","","","","","","","0","0","0"
"201","","","","0","0","0","0","0","0","","","","","",""
"202","","","","","","","","","","0","0","0","","",""
"203","","","","","","","","","","","","","0","0","0"
"207","","","","","","","","","","1","1","1","","",""
"216","","","","","","","","","","","","","0","0","0"
"217","","","","0","0","0","0","0","0","","","","","",""
"219","","","","","","","","","","0","0","0","","",""
"221","0","0","0","","","","","","","","","","","",""
"224","","","","","","","","","","0.5","0.5","0.5","","",""
"227","","","","","","","","","","0","0","0","","",""
"231","0","0","0","","","","","","","","","","","",""
"232","","","","0.75","0.75","0.75","0","0","0","","","","","",""
"235","","","","0","0","0","0","0","0","","","","","",""
"247","","","","","","","","","","0","0","0","","",""
"253","","","","","","","","","","","","","0","0","0"
"256","","","","","","","","","","0","0","0","","",""
"270","","","","","","","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","",""
"271","","","","","","","","","","0","0","0","","",""
"273","","","","0","0","0","0","0","0","","","","","",""
