"Step","active-0","sunny-durian-3 - active-0__MIN","sunny-durian-3 - active-0__MAX"
"1491","10","10","10"
"2338","13","13","13"
"2386","12","12","12"
"5561","13","13","13"
"5569","10","10","10"
"5686","13","13","13"
"6473","10","10","10"
"6600","12","12","12"
"6676","12","12","12"
"6709","13","13","13"
"7399","13","13","13"
"7578","12","12","12"
"8806","14","14","14"
"9434","15","15","15"
"11317","10","10","10"
"11941","9","9","9"
"12093","12","12","12"
"12999","6","6","6"
"13784","10","10","10"
"14746","6","6","6"
"15039","12","12","12"
"15205","5","5","5"
"18209","8","8","8"
"18370","13","13","13"
"19514","11","11","11"
"22415","7","7","7"
"22576","8","8","8"
"22598","18","18","18"
"23079","13","13","13"
"23228","10","10","10"
"23517","10","10","10"
"25155","7","7","7"
"27449","10","10","10"
"30603","16","16","16"
"31114","12","12","12"
"33838","16","16","16"
"34219","12","12","12"
"34336","10","10","10"
"34977","10","10","10"
"34998","17","17","17"
"35562","14","14","14"
"35654","12","12","12"
"36251","8","8","8"
"36682","13","13","13"
"37377","12","12","12"
"37862","12","12","12"
"40674","10","10","10"
"41052","9","9","9"
"41172","10","10","10"
"41670","13","13","13"
"45178","13","13","13"
"45915","14","14","14"
"47104","12","12","12"
"47935","10","10","10"
"50082","13","13","13"
"50348","12","12","12"
"51777","9","9","9"
"54630","9","9","9"
"55530","6","6","6"
"55825","15","15","15"
"56818","13","13","13"
"56821","12","12","12"
"58194","10","10","10"
"58573","14","14","14"
"59353","15","15","15"
"60021","13","13","13"
"60283","16","16","16"
"60525","10","10","10"
"60657","11","11","11"
"60849","11","11","11"
"61023","9","9","9"
"61705","12","12","12"
"61946","11","11","11"
"62740","11","11","11"
"63973","10","10","10"
"65146","10","10","10"
"65204","9","9","9"
"66508","10","10","10"
"66558","13","13","13"
"67047","14","14","14"
"67207","10","10","10"
"67216","9","9","9"
"67888","13","13","13"
"69255","11","11","11"
"71715","8","8","8"
"75678","12","12","12"
"75861","15","15","15"
"76866","14","14","14"
"79396","9","9","9"
"79616","13","13","13"
"80729","14","14","14"
"80773","12","12","12"
"81543","13","13","13"
"82373","5","5","5"
"82940","13","13","13"
"83987","12","12","12"
"84217","11","11","11"
"86482","8","8","8"
"86502","12","12","12"
"86544","10","10","10"
"87224","12","12","12"
"87235","17","17","17"
"87978","12","12","12"
"89197","10","10","10"
"90145","12","12","12"
"91076","12","12","12"
"92894","6","6","6"
"93533","12","12","12"
"97023","12","12","12"
"97475","9","9","9"
"99309","16","16","16"
"100099","13","13","13"
"101802","11","11","11"
"103092","13","13","13"
"103613","11","11","11"
"103712","13","13","13"
"104531","13","13","13"
"105600","12","12","12"
"106914","11","11","11"
"109522","11","11","11"
"109534","11","11","11"
"109708","10","10","10"
"110561","12","12","12"
"113041","12","12","12"
"114767","12","12","12"
