step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,6525,6302,0,0,0,351,0.02209533333333333,0.16534466666666686,0.0,0.917,3.641567694805196,34.23456504051505,73,64,0.9878908956925724,1000,0.0,0.19999999999999718,0.9977480086115916
0,7065,6483,0,0,0,54,0.22252333333333343,0.057223333333333355,0.0,0.178,46.88848310717066,12.108881962481963,83,68,0.9878908956925724,1000,0.0,0.19999999999999718,0.992770478280508
0,6703,5692,102,0,0,994,0.37434933333333326,0.13803666666666664,0.0,1.987,69.94280579559327,25.268580726218225,77,61,0.9878908956925724,1000,0.0,0.19999999999999718,0.9878177796784324
0,7478,4996,0,0,0,1412,0.141452,0.19027666666666682,0.0,2.577,26.693398337773353,34.53251897269399,91,55,0.9878908956925724,1000,0.0,0.19999999999999718,0.9828897889257561
0,6532,6710,0,0,0,130,0.11185533333333327,0.05088800000000012,0.0,0.275,20.939722234709752,10.516591734654243,74,81,0.9878908956925724,1000,0.0,0.19999999999999718,0.9779863827608024
0,7593,5294,0,0,0,867,0.23564866666666662,0.16046266666666667,0.0,2.015,45.93702538295034,31.533724347874333,95,60,0.9878908956925724,1000,0.0,0.19999999999999718,0.9731074385368494
0,5695,7101,0,0,0,0,0.5325766666666664,0.03883533333333338,0.0,0.0,99.0126457750583,8.592215778665786,83,88,0.9878908956925724,1000,0.0,0.19999999999999718,0.9682528342189849
0,5636,5711,1321,0,0,863,0.6281400000000008,0.08388999999999999,0.0,1.259,138.40242795260292,13.356632803307802,68,73,0.9878908956925724,1000,0.0,0.19999999999999718,0.9634224483811872
0,6274,6722,483,0,0,33,0.43997800000000065,0.09961666666666674,0.0,0.148,90.12724166111667,21.534812132312123,70,68,0.9878908956925724,1000,0.0,0.19999999999999718,0.9586161602031258
0,5072,6677,1859,0,0,0,0.8889713333333337,0.02834066666666667,0.0,0.0,218.73866512792765,6.250010599123098,56,88,0.9878908956925724,1000,0.0,0.19999999999999718,0.953833849467247
0,3709,6707,3196,0,0,0,0.968280000000001,0.0030653333333333322,0.0,0.0,278.78389449994467,0.658185114885115,40,81,0.9878908956925724,1000,0.0,0.19999999999999718,0.9490753965557222
0,7015,6638,1317,0,0,0,0.5892573333333342,0.04284933333333336,0.0,0.0,172.6331139541012,9.250017113442109,78,64,0.9878908956925724,1000,0.0,0.19999999999999718,0.9443406824474792
0,7186,6194,0,0,0,63,0.13111666666666671,0.04977933333333337,0.0,0.189,27.95018517316015,10.505148920523922,88,68,0.9878908956925724,1000,0.0,0.19999999999999718,0.9396295887151846
0,6765,5790,0,0,0,1110,0.030127999999999995,0.21914599999999998,0.0,2.591,5.938803484015988,44.682129408091875,74,76,0.9878908956925724,1000,0.0,0.19999999999999718,0.9349419975223892
0,7371,6436,0,0,0,57,0.10236266666666673,0.10477266666666671,0.0,0.168,20.850917299367303,21.983578708791192,95,105,0.9878908956925724,1000,0.0,0.19999999999999718,0.9302777916203697
0,7009,5647,0,0,0,642,0.33945,0.14076199999999983,0.0,1.507,66.42299234237981,28.19550243506492,93,59,0.9878908956925724,1000,0.0,0.19999999999999718,0.9256368543454634
0,6695,6637,0,0,0,479,0.06330933333333341,0.10822933333333327,0.0,1.107,13.78204130452881,22.37019744422244,73,78,0.9878908956925724,1000,0.0,0.19999999999999718,0.9210190696159234
0,6293,6505,0,0,0,137,0.43638266666666636,0.055380666666666696,0.0,0.261,81.08931744782988,10.78437318237318,78,81,0.9878908956925724,1000,0.0,0.19999999999999718,0.9164243219291716
