step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,5525,7546,0,0,0,179,0.06408533333333331,0.1372906666666667,0.0,0.566,14.678512531912544,25.53451408313908,63,88,0.9878908956925724,338,330.629,0.19999999999999718,0.9977480086115916
0,6229,6677,0,0,0,484,0.25261533333333347,0.17355999999999994,0.0,1.268,57.015586729936686,32.845602214452235,79,72,0.9878908956925724,335,994.542,0.19999999999999718,0.992770478280508
0,5821,6525,0,0,0,1328,0.04366533333333333,0.23776133333333338,0.0,2.556,9.515956338106335,39.97615774225767,64,89,0.9878908956925724,336,1477.554,0.19999999999999718,0.9878177796784324
0,4848,6685,0,0,0,1523,0.17707933333333326,0.17543933333333353,0.0,2.83,32.8271672022422,29.611080963480973,57,80,0.9878908956925724,338,1499.662,0.19999999999999718,0.9828897889257561
0,6629,6124,0,0,0,1590,0.18915333333333326,0.17488266666666663,0.0,2.698,46.53471000943499,28.0441051837052,88,79,0.9878908956925724,337,1499.663,0.19999999999999718,0.9779863827608024
0,5945,6135,0,0,0,1342,0.21523533333333317,0.16142866666666672,0.0,2.532,44.431023182373195,26.62031930291929,80,60,0.9878908956925724,337,1499.663,0.19999999999999718,0.9731074385368494
0,5761,6192,0,0,0,1409,0.14376866666666652,0.1838326666666667,0.0,2.514,34.27553963813967,27.53044696137197,65,82,0.9878908956925724,334,1499.666,0.19999999999999718,0.9682528342189849
0,5939,5288,0,0,0,2432,0.1804653333333332,0.235924666666667,0.0,4.02,39.48004487456985,35.525343581418575,70,68,0.9878908956925724,340,1499.66,0.19999999999999718,0.9634224483811872
0,5846,6774,0,0,0,1037,0.13855066666666677,0.18736399999999975,0.0,1.792,29.330878599178615,32.90948504551003,65,84,0.9878908956925724,335,1499.665,0.19999999999999718,0.9586161602031258
0,5816,3101,0,0,0,4499,3.8666666666666674e-05,0.35447133333333375,0.0,7.189,0.008828571428571425,53.54390725108224,62,30,0.9878908956925724,335,1499.665,0.19999999999999718,0.953833849467247
0,5168,7735,0,0,0,571,0.18908666666666674,0.1359846666666667,0.0,1.079,42.145843287268306,22.13954346486849,56,92,0.9878908956925724,341,1499.659,0.19999999999999718,0.9490753965557222
0,6027,6064,0,0,0,1784,0.30921400000000043,0.19580000000000017,0.0,2.793,67.02266040626044,29.855749678099684,64,77,0.9878908956925724,339,1499.661,0.19999999999999718,0.9443406824474792
0,5030,7161,474,0,0,97,0.7411033333333324,0.047109333333333364,0.0,0.277,166.712672835498,7.568198137973137,42,82,0.9878908956925724,336,1499.664,0.19999999999999718,0.9396295887151846
0,6100,6837,229,0,0,1047,0.4741886666666667,0.1871713333333333,0.0,2.307,109.81149415861917,30.533268994893994,75,95,0.9878908956925724,337,1499.663,0.19999999999999718,0.9349419975223892
0,4840,8116,140,0,0,0,0.6598099999999999,0.031960000000000016,0.0,0.0,151.71339733877227,6.196043303918305,46,102,0.9878908956925724,337,1499.663,0.19999999999999718,0.9302777916203697
0,5774,7107,851,0,0,124,0.7871746666666662,0.062234,0.0,0.542,207.79534626762106,11.348275432900435,66,96,0.9878908956925724,335,1499.665,0.19999999999999718,0.9256368543454634
