a b greedy - reward1 -- v nonGreedy - reward2
[+] Greedy: 0 - (0.0) -- Non-Greedy: 0 - (-46.65073529411765)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-137.13235294117652)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-170.82720588235344)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-202.94117647058866)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-155.29044117647086)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-131.4117647058825)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-159.23529411764738)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-165.96323529411782)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-89.05882352941181)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-188.1875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-82.43014705882362)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-277.3125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-254.75)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-319.6875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-191.1764705882353)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-228.0625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-273.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-205.125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-302.875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-268.1875000000006)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-137.2867647058826)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-47.11764705882355)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-133.81985294117663)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-121.52941176470601)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-175.89705882352933)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-119.47058823529414)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-159.1764705882357)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.45955882352956)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-101.6286764705884)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-136.43382352941202)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-114.59926470588249)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-294.70588235294264)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-270.35294117647203)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-58.029411764705884)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-174.45588235294113)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-308.0)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-376.0625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-391.0625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-313.75)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-135.70955882352953)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-209.76470588235367)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-69.52941176470598)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-121.35294117647078)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-132.5294117647062)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-162.05882352941228)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-88.60294117647074)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-111.83455882352955)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-143.70588235294147)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-173.05882352941217)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-50.60294117647055)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-132.8492647058827)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-78.05514705882376)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-118.66544117647084)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-67.48529411764709)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-91.98897058823535)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-202.25)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-278.1875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-266.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-379.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-425.25)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-367.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-239.0625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-77.12132352941188)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-102.52941176470601)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-110.82352941176497)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-83.23529411764734)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-75.35294117647075)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-117.5294117647062)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-98.52941176470593)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-73.00000000000013)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-107.64705882352969)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-99.88235294117666)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-122.8235294117648)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-137.82352941176475)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-94.35294117647081)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-189.4705882352944)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-127.95220588235313)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-148.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-122.07352941176495)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-62.75367647058837)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-99.7610294117648)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-108.08088235294116)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-77.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-128.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-137.6875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-130.5)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-108.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-164.6875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-220.0625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-186.125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-165.5625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-131.875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-110.6875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-83.0)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-84.25000000000001)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-98.5845588235298)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-104.98897058823586)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.70588235294152)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-83.05882352941194)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-122.05882352941198)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-166.00000000000065)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-120.70588235294146)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-135.8823529411768)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.64705882352949)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-67.05882352941187)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-107.11764705882375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-84.88235294117656)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-80.05882352941197)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-139.32352941176472)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-212.25367647058823)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-180.625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-182.0)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-108.375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-75.84926470588242)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.53676470588279)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.71691176470621)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-81.36029411764734)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.33823529411768)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-89.94852941176502)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.72426470588283)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.86397058823556)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-96.14705882352959)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-94.60294117647096)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-98.70955882352999)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.89705882352982)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-84.19852941176511)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-98.59926470588265)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-89.66911764705934)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-80.43014705882365)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.12132352941225)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.1507352941178)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.01838235294127)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-96.96691176470604)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-95.16911764705912)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.07720588235301)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-91.42279411764727)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.9448529411765)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.43014705882374)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.28676470588253)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-82.80882352941208)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-76.86029411764713)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-96.57720588235327)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.79044117647081)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.93750000000037)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-167.35294117647112)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-128.58823529411805)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-46.12132352941179)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.24632352941215)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.25735294117672)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.59926470588286)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-83.41911764705921)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-100.198529411765)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-107.36029411764706)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-82.84926470588238)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-120.625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-123.5)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-154.6875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-203.25)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-190.75)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-117.8125)
