step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,5470,7177,0,1037,0,1037,138.646,407.134,0.0,7.385,0.0,0.0,0,0,1.0,0,499.5,0.19999999999999718,0.9977480086115916
0,5720,8686,0,0,0,0,64.963,285.509,0.0,5.288,0.0,0.0,0,0,1.0,0,1374.75,0.19999999999999718,0.992770478280508
0,5134,8033,0,400,0,400,80.461,467.286,0.0,8.148,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9878177796784324
0,6161,8377,0,0,0,0,173.825,178.321,0.0,1.611,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9828897889257561
0,5641,7784,0,308,0,308,38.062,433.274,0.0,8.248,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9779863827608024
0,4495,9010,0,0,0,0,769.584,61.787,0.0,0.943,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9731074385368494
0,5991,8126,0,370,0,370,540.123,225.895,0.0,4.168,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9682528342189849
0,5365,8489,0,0,0,0,598.063,153.689,0.0,2.864,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9634224483811872
0,6571,7141,0,603,0,603,770.353,297.261,0.0,4.903,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9586161602031258
0,3700,9179,0,217,0,217,801.363,180.543,0.0,3.673,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.953833849467247
0,3812,8352,0,0,0,0,1455.299,8.918,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9490753965557222
0,5001,8711,0,0,0,0,1236.639,55.963,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9443406824474792
0,5234,8454,0,0,0,0,990.284,65.075,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9396295887151846
0,4502,8513,0,0,0,0,1313.2,57.612,0.0,0.23,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9349419975223892
0,3492,8498,0,0,0,0,1475.856,1.047,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9302777916203697
0,5246,8388,0,0,0,0,1151.862,47.036,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9256368543454634
0,2132,8535,0,0,0,0,1342.581,0.015,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9210190696159234
0,5728,8522,0,0,0,0,752.58,129.469,0.0,1.961,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9164243219291716
0,2855,8516,0,0,0,0,1467.661,2.696,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9118524963588165
0,3330,8617,0,0,0,0,1464.245,3.313,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.907303478551786
0,2483,8504,0,0,0,0,1494.818,0.094,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.9027771547254946
0,5413,8445,0,0,0,0,912.453,127.254,0.0,0.822,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8982734116650409
0,3599,8578,0,0,0,0,877.651,16.102,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8937921367202945
0,2774,8480,0,0,0,0,1485.812,1.397,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8893332178030631
0,3533,8550,0,0,0,0,1456.592,2.078,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8848965433844181
0,3447,8553,0,0,0,0,1470.373,3.303,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8804820024917713
0,1726,8619,0,0,0,0,1497.766,0.008,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8760894847061573
0,2554,8525,0,0,0,0,1495.782,0.029,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8717188801594873
0,2705,8492,0,0,0,0,1493.905,0.207,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8673700795317509
0,3324,8261,0,0,0,0,1448.152,11.053,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8630429740482876
0,2405,8714,0,0,0,0,1384.689,11.552,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8587374554771816
0,2035,8533,0,0,0,0,1496.913,0.042,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.854453416126376
0,1955,8445,0,0,0,0,1493.093,0.129,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8501907488410858
0,3054,8516,0,0,0,0,1414.012,23.656,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8459493470010906
0,2744,8461,0,0,0,0,1435.898,13.164,0.0,0.0,0.0,0.0,0,0,1.0,0,1500.0,0.19999999999999718,0.8417291045181133
