step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,learner:throughputs,learner:queue_sizes
0,2991,8392,3584,0,0,0,0.8183113333333336,0.0366473333333334,0.0,0.0,1012.502,53.976,775.0,16.959
0,2196,8530,5780,0,0,0,0.9981900000000005,0.005319333333333321,0.0,0.0,1231.689,8.974,804.0,14.827
0,1972,8478,6097,0,0,0,0.9981766666666669,0.0036566666666666544,0.0,0.0,1278.758,5.485,787.0,14.733
0,3107,8535,4954,0,0,0,0.9880213333333341,0.034486666666666665,0.0,0.0,1789.668,51.73,808.0,14.366
0,2773,8529,5215,0,0,0,0.9976373333333342,0.003952666666666654,0.0,0.0,1480.839,5.929,789.0,14.046
0,3486,8506,4553,0,0,0,0.9916713333333351,0.03398600000000002,0.0,0.0,1502.559,50.979,816.0,25.362
0,2202,8509,5781,0,0,0,0.9984640000000005,0.0023653333333333287,0.0,0.0,1266.843,3.543,774.0,13.116
0,2230,8464,5763,0,0,0,0.9984466666666683,0.0027146666666666604,0.0,0.0,1593.462,4.077,810.0,14.357
0,1972,8528,6094,0,0,0,0.9986680000000031,0.0023373333333333336,0.0,0.0,1516.158,3.506,791.0,14.498
0,2212,8425,5717,0,0,0,0.9984106666666653,0.003864666666666658,0.0,0.0,1327.78,5.797,773.0,13.515
0,1660,8425,6413,0,0,0,0.9988519999999996,0.0024633333333333317,0.0,0.0,1622.707,3.678,778.0,13.604
0,2120,8568,5824,0,0,0,0.9984519999999996,0.0025813333333333304,0.0,0.0,1381.796,3.889,809.0,18.564
0,2890,8551,5081,0,0,0,0.9971666666666679,0.007051333333333324,0.0,0.0,1734.725,10.577,792.0,14.877
0,2480,8376,5447,0,0,0,0.9964233333333348,0.006326000000000003,0.0,0.0,1438.722,9.489,786.0,15.651
0,3246,8600,4688,0,0,0,0.9943380000000019,0.01729066666666666,0.0,0.0,1708.427,25.866,789.0,18.756
0,2385,8485,5604,0,0,0,0.9980860000000018,0.006361999999999983,0.0,0.0,1232.501,9.613,829.0,18.228
0,2374,8461,5727,0,0,0,0.9975346666666658,0.005446666666666654,0.0,0.0,1480.652,8.17,810.0,18.879
0,2957,8608,4994,0,0,0,0.9944280000000008,0.02003,0.0,0.0,1766.614,30.039,783.0,16.076
0,2467,8531,5601,0,0,0,0.9974033333333321,0.009059999999999999,0.0,0.0,1315.134,13.596,779.0,15.612
0,2081,8460,5954,0,0,0,0.9978940000000012,0.004493999999999999,0.0,0.0,1560.758,6.741,820.0,17.252
0,3223,8422,4685,0,0,0,0.9944806666666688,0.015994666666666654,0.0,0.0,1541.684,23.992,736.0,96.199
0,2257,8590,5713,0,0,0,0.9978406666666677,0.004164666666666664,0.0,0.0,1348.647,6.247,870.0,40.376
0,3220,8483,4666,0,0,0,0.9936400000000003,0.01964399999999999,0.0,0.0,1707.014,29.452,787.0,32.217
0,2910,8512,5180,0,0,0,0.9975973333333349,0.00573199999999999,0.0,0.0,1341.597,8.612,816.0,13.219
0,4773,7682,3683,0,0,276,0.9431453333333347,0.06455933333333336,0.0,0.515,1779.387,59.936,773.0,22.901
0,4717,8983,2758,0,0,0,0.9675060000000011,0.12595266666666657,0.0,0.0,1287.064,206.455,820.0,23.832
0,3862,8105,4368,0,0,0,0.9882706666666683,0.021795999999999986,0.0,0.0,1546.557,22.109,815.0,25.792
0,5369,8649,2380,0,0,118,0.9801966666666678,0.23837000000000017,0.0,0.278,1372.771,359.069,829.0,58.361
0,4699,8237,3353,0,0,0,0.9754873333333346,0.06740600000000006,0.0,0.0,1537.315,94.958,749.0,39.078
0,4641,8581,3438,0,0,106,0.9781000000000021,0.17069866666666678,0.0,0.255,1402.787,254.423,841.0,30.929
0,4927,8622,2968,0,0,0,0.9726793333333346,0.1433446666666667,0.0,0.0,1438.06,216.229,810.0,19.68
0,5801,7926,2433,0,0,30,0.9533680000000011,0.18625333333333333,0.0,0.085,1608.628,258.383,790.0,28.761
0,5794,8115,1892,0,0,730,0.8700180000000006,0.21486933333333355,0.0,0.931,1211.966,288.611,837.0,56.036
0,5403,8527,2693,0,0,72,0.9628280000000006,0.1743620000000001,0.0,0.183,1378.184,257.681,811.0,16.868
0,5385,8426,2634,0,0,0,0.9689980000000018,0.10597133333333335,0.0,0.0,1517.503,158.455,798.0,17.136
0,5644,7902,2341,0,0,227,0.9182646666666687,0.17794733333333335,0.0,0.527,1415.982,236.41,780.0,37.229
0,6759,7468,1743,0,0,1064,0.853728000000001,0.33621133333333336,0.0,1.96,1378.626,427.528,743.0,71.026
0,4191,9032,3229,0,0,0,0.9551433333333345,0.16492000000000018,0.0,0.131,1085.531,265.136,890.0,56.93
0,4634,8537,3282,0,0,122,0.949434666666669,0.13483066666666668,0.0,0.399,1423.015,193.706,807.0,26.623
0,6982,7296,1354,0,0,579,0.8906933333333339,0.2385026666666667,0.0,1.183,1643.277,297.11,683.0,78.643
0,6896,7362,1041,0,0,1242,0.8728046666666671,0.3482239999999999,0.0,2.448,1265.159,435.477,753.0,175.612
0,5859,8004,2320,0,0,596,0.9540140000000006,0.2676206666666666,0.0,1.07,1469.383,367.677,814.0,67.093
0,5097,8669,2652,0,0,54,0.9721526666666669,0.1891473333333332,0.0,0.137,1362.93,289.667,858.0,76.504
0,6543,7490,1882,0,0,693,0.8899000000000002,0.19306799999999993,0.0,1.124,1466.034,227.593,732.0,32.652
0,6137,7928,1547,0,0,560,0.9281713333333343,0.32123000000000035,0.0,1.174,1337.372,440.206,790.0,102.758
0,4541,8782,3405,0,0,0,0.9853680000000018,0.09657066666666662,0.0,0.0,1448.495,154.814,864.0,79.393
0,7927,6584,134,0,0,2070,0.7621033333333329,0.3505099999999996,0.0,3.477,1153.008,383.374,663.0,97.779
0,6184,7721,1850,0,0,655,0.9405080000000016,0.24401599999999987,0.0,1.197,1433.118,313.275,764.0,122.405
0,6414,7776,1577,0,0,634,0.9374786666666671,0.31412333333333375,0.0,1.475,1394.084,420.018,771.0,159.89
0,7092,7298,889,0,0,1364,0.8359866666666677,0.34145133333333344,0.0,2.535,1250.636,420.714,711.0,147.861
0,7453,7170,893,0,0,1150,0.888247333333333,0.29634466666666653,0.0,1.887,1388.522,359.786,664.0,215.756
0,6614,7801,1097,0,0,985,0.8409533333333351,0.30200133333333357,0.0,1.49,1107.812,399.24,721.0,239.81
0,6965,7332,1117,0,0,1436,0.7304619999999996,0.25943600000000033,0.0,2.308,1076.408,293.103,743.0,240.846
0,7268,7078,1393,0,0,949,0.8704766666666678,0.22538200000000008,0.0,1.364,1515.091,253.688,699.0,179.028
0,6995,7469,472,0,0,988,0.8023740000000013,0.30483599999999955,0.0,1.908,1128.317,392.18,718.0,222.646
0,6921,7314,1104,0,0,1308,0.8665533333333358,0.28586000000000006,0.0,2.024,1224.464,345.107,750.0,240.654
0,7593,6982,612,0,0,1337,0.8929113333333335,0.3518846666666666,0.0,2.462,1418.747,419.294,668.0,213.801
0,8960,5870,0,0,0,2623,0.4292166666666665,0.34887999999999914,0.0,4.264,746.232,339.511,556.0,309.596
0,7543,6329,0,0,0,2207,0.21092199999999997,0.343348666666667,0.0,3.369,281.809,371.314,628.0,376.981
0,6707,7385,642,0,0,974,0.7176213333333328,0.30902733333333343,0.0,1.466,991.259,386.601,724.0,344.561
0,6604,7462,1330,0,0,1042,0.9167726666666673,0.3473373333333332,0.0,1.848,1313.7,448.722,707.0,315.571
0,7803,6527,1009,0,0,1975,0.8358926666666672,0.3644946666666668,0.0,3.168,1421.717,407.928,623.0,290.14
0,6798,7346,357,0,0,1325,0.565050666666667,0.34182799999999985,0.0,2.192,708.516,429.586,700.0,320.653
0,7449,7005,809,0,0,1385,0.8868880000000001,0.33485666666666647,0.0,2.403,1403.794,399.111,685.0,279.333
0,5934,8105,1849,0,0,303,0.9506433333333346,0.24113666666666644,0.0,0.786,1354.855,340.049,786.0,253.699
0,7076,7517,1018,0,0,1099,0.8753393333333335,0.31398400000000026,0.0,1.777,1349.791,399.132,628.0,224.068
0,8345,6536,352,0,0,1937,0.6766593333333335,0.3681786666666669,0.0,3.679,1116.191,417.055,557.0,318.865
0,6830,7277,966,0,0,1061,0.7791600000000002,0.3320860000000004,0.0,1.929,1157.0,414.674,754.0,292.298
0,6808,7681,356,0,0,938,0.6727866666666666,0.32729933333333383,0.0,2.172,901.158,437.339,644.0,326.577
0,6531,7956,1530,0,0,746,0.91395,0.33376333333333275,0.0,1.934,1259.148,452.95,688.0,320.413
0,6670,7982,1438,0,0,497,0.9136993333333352,0.2816986666666665,0.0,0.963,1450.861,389.214,660.0,272.393
0,8917,6354,1,0,0,1714,0.4470019999999994,0.3461066666666669,0.0,3.528,830.225,381.488,487.0,396.953
0,6879,8067,4,0,0,605,0.7214426666666661,0.3438546666666669,0.0,2.017,949.165,477.532,589.0,492.945
0,6368,8089,1868,0,0,445,0.9520333333333345,0.27497333333333346,0.0,1.218,1471.288,382.621,714.0,404.137
0,6527,8157,1330,0,0,335,0.9514233333333341,0.23311866666666703,0.0,0.645,1397.598,328.811,627.0,420.225
0,6827,8050,1287,0,0,395,0.9240306666666687,0.30922066666666675,0.0,1.317,1383.035,437.383,597.0,430.459
0,6494,8142,1658,0,0,218,0.9624180000000006,0.2665233333333333,0.0,0.577,1461.802,375.147,665.0,424.549
0,6912,7788,888,0,0,925,0.8584913333333357,0.21790133333333309,0.0,1.797,1256.134,276.145,627.0,441.119
