episode,reward,q1,q2,rejection1,drop2,latency2,tde,rho
0,-36.19444444444452,1493,39,1.303,0.0,3.6898315129315122,86.15424288157374,0.171475
1,-48.500000000000156,1283,189,1.746,0.0,5.006935866910866,73.1691201068461,0.171475
2,-75.5190476190476,1495,0,2.613,0.0,11.183083374958372,89.9897776581347,0.19
3,-63.63817460317469,1388,137,2.183,0.0,9.61324908979909,83.79631475917995,0.19
4,-43.55555555555561,1497,0,1.568,0.0,6.363775774225775,105.71074194461107,0.2
5,-37.01063492063494,1386,197,1.153,0.0,10.677651409701408,161.47912526130676,0.19
6,-89.90198412698405,1012,383,2.567,0.185,11.867969080919082,131.97537887096405,0.171475
7,-85.8481746031744,1497,0,1.445,0.402,10.608848817848818,128.36863350868225,0.13966745921874996
8,-25.70500000000001,1486,13,0.513,0.0,17.976176973026973,80.42570120096207,0.13268408625781244
9,-21.000000000000014,1269,234,0.756,0.0,12.598731812631813,62.843275777995586,0.1260498819449218
10,-31.913015873015905,1493,0,0.862,0.0,16.606725091575093,67.00777339795604,0.11376001845529193
11,-65.41198412698407,1159,327,0.722,0.083,24.161934834609834,88.77672836882994,0.0975349958231059
12,-92.54603174603176,946,379,0.293,0.478,30.055226057276055,117.76994133554399,0.08362406704383542
13,-70.9535714285714,1309,72,0.0,0.716,19.07881313131313,104.93002813914791,0.07944286369164365
14,-4.499999999999998,1493,0,0.162,0.0,8.785617784992784,42.08448451035656,0.07169718448170839
15,-27.066746031746028,1193,116,0.005,0.076,24.033730333555333,75.48570895881858,0.07547072050706147
16,-64.58285714285714,1122,17,0.0,0.381,25.693351240426242,108.38120938558131,0.06470670899474182
17,0.0,1350,15,0.0,0.0,6.311747366522366,33.419997478835285,0.055477914624366756
18,-44.29785714285716,1278,21,0.0,0.311,21.06081655011655,77.92464553704485,0.055477914624366756
19,0.0,1269,0,0.0,0.0,9.36048455988456,39.31739248614758,0.052704018893148415
20,0.0,1182,55,0.0,0.0,5.724513023088024,33.93546747334767,0.047565377051066435
21,0.0,1231,31,0.0,0.0,2.573385714285714,31.263261849991977,0.040781365149158075
22,0.0,1284,6,0.0,0.0,7.697234920634921,32.36855952418409,0.03680518204711516
23,0.0,1148,30,0.0,0.0,4.019473412698413,29.211533915251493,0.03874229689170017
24,0.0,1216,0,0.0,0.0,2.0879941197691196,27.83047979325056,0.028479148269274928
25,0.0,1152,0,0.0,0.0,2.1335168109668112,24.86824505776167,0.023196444260001104
26,0.0,1182,0,0.0,0.0,1.873209126984127,22.75565567612648,0.01889364882754752
27,0.0,1110,4,0.0,0.0,2.2414396825396823,23.061920581385493,0.019888051397418442
28,0.0,1177,1,0.0,0.0,2.2466956349206346,22.902312546037138,0.019888051397418442
29,0.0,1105,13,0.0,0.0,1.3642444444444446,23.501202009618282,0.022036622047001044
30,0.0,1152,0,0.0,0.0,0.9639,20.983331382274628,0.019888051397418442
31,0.0,1111,8,0.0,0.0,1.2493904761904762,21.610613524913788,0.019888051397418442
32,0.0,1124,0,0.0,0.0,1.1660599206349207,21.74348197504878,0.017051518066861632
33,0.0,921,80,0.0,0.0,2.655471428571429,24.524569422006607,0.017051518066861632
34,0.0,1132,0,0.0,0.0,0.8311326479076478,20.98387198895216,0.015388995055342622
35,0.0,1117,36,0.0,0.0,0.9313067460317459,20.596864953637123,0.013888568037446715
36,0.0,1172,1,0.0,0.0,1.0238,19.990200020372868,0.013888568037446715
37,0.0,1015,0,0.0,0.0,1.4734845238095238,21.266045792028308,0.011312325470050582
38,0.0,1140,1,0.0,0.0,0.23074841269841273,21.45584337413311,0.01
39,0.0,1120,1,0.0,0.0,0.3447,19.64842325076461,0.01
40,0.0,1016,3,0.0,0.0,0.6678,22.071762338280678,0.011080332409972301
41,0.0,1075,5,0.0,0.0,0.7387428571428571,20.553199902176857,0.01
42,0.0,1113,2,0.0,0.0,0.44587261904761905,20.98156462609768,0.01
43,0.0,1186,0,0.0,0.0,0.4119285714285714,19.795340038836002,0.010526315789473686
44,0.0,1078,0,0.0,0.0,0.357527380952381,19.66542810946703,0.010526315789473686
45,0.0,1081,1,0.0,0.0,0.791947619047619,19.942409500479698,0.01
46,0.0,1024,0,0.0,0.0,0.8677511904761904,19.923692673444748,0.010526315789473686
47,0.0,1016,46,0.0,0.0,0.7338035714285713,21.825233414769173,0.010526315789473686
48,0.0,1151,0,0.0,0.0,0.8213087301587301,21.33976063132286,0.01
49,0.0,1095,0,0.0,0.0,0.5003119047619048,18.150703951716423,0.010526315789473686
50,0.0,1151,4,0.0,0.0,0.7062539682539682,19.45559188723564,0.010526315789473686
51,0.0,1161,5,0.0,0.0,0.591125,19.832117408514023,0.01
52,0.0,1069,0,0.0,0.0,1.2347404761904763,20.72052228450775,0.011080332409972301
53,0.0,1138,7,0.0,0.0,0.38651666666666673,18.446872293949127,0.01
54,0.0,1144,4,0.0,0.0,0.40791071428571424,20.351309582591057,0.01
55,0.0,1016,1,0.0,0.0,1.3469940476190474,20.14129140973091,0.01
56,0.0,1123,14,0.0,0.0,0.4431083333333333,20.683473467826843,0.011080332409972301
57,0.0,1034,11,0.0,0.0,0.7093833333333334,20.1409203261137,0.011663507799970843
58,0.0,1143,6,0.0,0.0,0.6148523809523808,20.52395297586918,0.010526315789473686
59,0.0,1152,0,0.0,0.0,1.2220666666666669,19.835980355739594,0.01
60,0.0,1138,1,0.0,0.0,0.3316690476190476,17.99630507826805,0.010526315789473686
61,0.0,1072,0,0.0,0.0,0.3583238095238096,17.8074409365654,0.011080332409972301
62,0.0,968,34,0.0,0.0,1.0516285714285714,21.225888416171074,0.01
63,0.0,990,0,0.0,0.0,0.523097619047619,23.222888201475143,0.010526315789473686
64,0.0,1061,0,0.0,0.0,0.578225,21.663379311561584,0.01
65,0.0,981,5,0.0,0.0,2.349390476190476,23.79996344447136,0.01
66,0.0,1038,0,0.0,0.0,2.480979761904762,22.397826701402664,0.010526315789473686
67,0.0,1114,0,0.0,0.0,0.48924523809523807,18.96733509004116,0.01
68,0.0,1039,3,0.0,0.0,1.1033464285714285,18.91675327718258,0.010526315789473686
69,0.0,1098,2,0.0,0.0,0.4355761904761905,19.867502093315125,0.01
70,0.0,1099,1,0.0,0.0,1.1978642857142856,19.446262434124947,0.01
71,0.0,982,1,0.0,0.0,1.142877380952381,18.003822833299637,0.01
72,0.0,1026,3,0.0,0.0,0.35611071428571434,19.92154985666275,0.011080332409972301
73,0.0,916,14,0.0,0.0,1.4341916666666665,20.228932738304138,0.010526315789473686
74,0.0,1056,4,0.0,0.0,0.3877261904761905,22.455683082342148,0.01
75,0.0,1025,0,0.0,0.0,0.3350642857142857,19.209507405757904,0.011080332409972301
76,0.0,1067,2,0.0,0.0,0.8873059523809522,21.353787809610367,0.01
77,0.0,990,1,0.0,0.0,0.7920833333333334,18.917339622974396,0.011080332409972301
78,0.0,1015,33,0.0,0.0,1.1441202380952382,17.395513087511063,0.010526315789473686
79,0.0,1032,0,0.0,0.0,0.6276416666666667,17.47344295680523,0.010526315789473686
80,0.0,1075,4,0.0,0.0,1.0236845238095238,18.772423297166824,0.01
81,0.0,1067,1,0.0,0.0,0.7884535714285714,18.716507121920586,0.01
82,0.0,1021,1,0.0,0.0,0.5606630952380952,19.166745349764824,0.010526315789473686
83,0.0,1046,0,0.0,0.0,0.4092845238095238,18.31981599330902,0.011080332409972301
84,0.0,999,2,0.0,0.0,0.65835,20.342039853334427,0.01
85,0.0,1011,0,0.0,0.0,0.6494761904761904,20.813557744026184,0.010526315789473686
86,0.0,1023,10,0.0,0.0,1.0101793650793651,20.884993761777878,0.010526315789473686
87,0.0,992,0,0.0,0.0,0.6747845238095239,18.427045732736588,0.01
88,0.0,1037,1,0.0,0.0,0.41752976190476193,18.99996092915535,0.01
89,0.0,1038,20,0.0,0.0,1.4622940476190478,18.072163090109825,0.01
90,0.0,1035,0,0.0,0.0,0.4083833333333333,17.460863426327705,0.01
91,0.0,1002,0,0.0,0.0,0.6902119047619046,18.31385251879692,0.01
92,0.0,1013,0,0.0,0.0,1.6765416666666666,18.845475554466248,0.011080332409972301
93,0.0,992,2,0.0,0.0,0.3555678571428571,16.723549038171768,0.011663507799970843
94,0.0,1031,20,0.0,0.0,0.4795464285714286,17.417950868606567,0.01
95,0.0,1004,0,0.0,0.0,0.9412619047619049,17.94627970457077,0.01
96,0.0,1000,16,0.0,0.0,0.6506607142857143,17.894663706421852,0.010526315789473686
97,0.0,1025,0,0.0,0.0,0.7933404761904762,20.163822203874588,0.010526315789473686
98,0.0,945,11,0.0,0.0,0.6311238095238095,17.69224750995636,0.01
99,0.0,971,12,0.0,0.0,0.9222404761904761,19.773323208093643,0.01
100,0.0,920,7,0.0,0.0,0.7784476190476192,20.871091455221176,0.01
101,0.0,975,10,0.0,0.0,0.42244880952380953,18.195318147540092,0.010526315789473686
102,0.0,1004,4,0.0,0.0,0.7696285714285713,20.396193474531174,0.010526315789473686
103,0.0,898,5,0.0,0.0,0.6553464285714286,20.565511256456375,0.01
104,0.0,906,20,0.0,0.0,0.6911571428571428,21.425474613904953,0.01
105,0.0,896,0,0.0,0.0,0.690747619047619,21.687972337007523,0.01
106,0.0,942,0,0.0,0.0,0.5931619047619048,21.129017233848572,0.010526315789473686
107,0.0,911,0,0.0,0.0,0.6248785714285714,19.577235728502274,0.01
108,0.0,888,3,0.0,0.0,0.6968130952380952,20.804389864206314,0.011080332409972301
109,0.0,908,1,0.0,0.0,0.3511,19.921743094921112,0.01
110,0.0,981,7,0.0,0.0,0.29221190476190473,18.60317450761795,0.010526315789473686
111,0.0,983,0,0.0,0.0,0.5480178571428571,19.834174633026123,0.01
112,0.0,971,9,0.0,0.0,0.5946535714285714,18.86761051416397,0.01
113,0.0,980,13,0.0,0.0,0.510920238095238,18.024565368890762,0.011080332409972301
114,0.0,985,8,0.0,0.0,0.502352380952381,19.4128907173872,0.010526315789473686
115,0.0,819,2,0.0,0.0,1.3128559523809522,20.855792552232742,0.01
116,0.0,858,0,0.0,0.0,0.7150047619047618,23.294539660215378,0.010526315789473686
117,0.0,980,15,0.0,0.0,0.4605309523809524,19.941610246896744,0.010526315789473686
118,0.0,951,1,0.0,0.0,0.919222619047619,19.56571528315544,0.010526315789473686
119,0.0,872,1,0.0,0.0,1.0001809523809524,19.19155251979828,0.011080332409972301
120,0.0,910,1,0.0,0.0,0.2860083333333333,21.157113760709763,0.010526315789473686
121,0.0,886,0,0.0,0.0,0.46429642857142855,21.864651948213577,0.01
122,0.0,932,0,0.0,0.0,0.32313571428571425,19.65193474292755,0.01
123,0.0,897,0,0.0,0.0,0.5631190476190477,19.87853816151619,0.011080332409972301
124,0.0,932,8,0.0,0.0,0.34299285714285715,19.525573283433914,0.01
125,0.0,900,3,0.0,0.0,0.25319761904761906,22.66096943616867,0.01
126,0.0,900,0,0.0,0.0,0.17375476190476188,22.220617055892944,0.01
127,0.0,896,0,0.0,0.0,0.26299285714285714,22.318268537521362,0.01
128,0.0,869,1,0.0,0.0,0.24841309523809524,22.370604544878006,0.01
129,0.0,901,1,0.0,0.0,0.24315714285714285,22.830533146858215,0.010526315789473686
130,0.0,891,0,0.0,0.0,0.2018738095238095,22.017283618450165,0.010526315789473686
131,0.0,899,0,0.0,0.0,0.24003571428571427,22.53212058544159,0.01
132,0.0,906,0,0.0,0.0,0.26913333333333334,22.423476427793503,0.01
133,0.0,895,0,0.0,0.0,0.18787857142857142,22.424378484487534,0.01
134,0.0,900,2,0.0,0.0,0.1787083333333333,22.328417539596558,0.01
135,0.0,900,0,0.0,0.0,0.20489761904761905,22.164404332637787,0.01
136,0.0,889,0,0.0,0.0,0.3036595238095238,22.840516716241837,0.011080332409972301
137,0.0,890,3,0.0,0.0,0.23943333333333333,22.269952923059464,0.01
138,0.0,903,0,0.0,0.0,0.21679285714285715,22.481538593769073,0.01
139,0.0,895,0,0.0,0.0,0.2581833333333333,22.321168810129166,0.01
140,0.0,898,0,0.0,0.0,0.2569452380952381,22.523957073688507,0.01
141,0.0,891,0,0.0,0.0,0.1972404761904762,22.16347125172615,0.01
142,0.0,880,0,0.0,0.0,0.20911190476190478,22.2703076004982,0.010526315789473686
143,0.0,888,0,0.0,0.0,0.20991904761904764,22.666708648204803,0.01
