episode,reward,q1,q2,rejection1,drop2,latency2,tde,rho
0,-54.41071428571429,1495,0,3.047,0.0,0.8398284271284271,71.27245265245438,0.196
1,-67.69642857142863,1485,0,3.791,0.0,0.9617225468975469,44.04902043938637,0.19208
2,-58.42857142857154,1486,2,3.272,0.0,1.7364674603174604,51.4443577490747,0.1882384
3,-58.50285714285713,1467,20,3.116,0.0,4.6694657703407705,54.67196289636195,0.184473632
4,-55.855714285714356,1492,4,2.524,0.001,4.743479115329115,77.96083119511604,0.18078415936
5,-59.84499999999998,1494,0,2.501,0.0,7.108610533910534,87.26005407422781,0.1771684761728
6,-54.215714285714334,1273,183,2.482,0.066,3.8211821789321787,88.73630238324404,0.173625106649344
7,-43.943571428571495,1494,0,1.935,0.012,5.090815043290043,93.38259310275316,0.1701526045163571
8,-82.26071428571437,1468,16,1.841,0.198,8.471682611832614,136.0440149307251,0.16674955242602996
9,-47.05428571428579,1487,14,2.428,0.0,4.964835606060607,87.01972346007824,0.16341456137750934
10,-34.78571428571428,1454,27,1.948,0.0,5.311006240981241,85.84359821677208,0.16014627014995916
11,-42.10928571428572,1470,28,1.603,0.041,7.080227958152959,80.94727894663811,0.15694334474695998
12,-25.766428571428566,1494,11,0.819,0.032,8.857153896103897,60.58691639453173,0.15380447785202078
13,-50.956428571428646,1374,127,1.781,0.0,8.402451948051949,58.48879821784794,0.15072838829498036
14,-42.93214285714288,1468,22,1.615,0.007,7.393504761904762,70.91081608994864,0.14771382052908075
15,-59.55428571428572,1328,148,1.3,0.132,9.173608957708957,86.67095056176186,0.14475954411849912
16,-74.53214285714286,1488,0,1.329,0.08,12.802201759351759,101.11101752519608,0.14186435323612914
17,-13.33928571428571,1465,47,0.747,0.0,7.19166121933622,67.7960929274559,0.13902706617140656
18,-38.7857142857143,1485,35,0.632,0.069,13.327093992118993,69.6344063282013,0.13624652484797842
19,-56.861428571428576,1378,81,0.864,0.002,15.331393192918192,72.16206312179565,0.13352159435101885
20,-69.6871428571429,1427,50,0.926,0.152,14.533785281385281,74.00928592681885,0.13085116246399847
21,-25.300000000000004,1394,72,0.422,0.019,13.77040634920635,52.50910648703575,0.1282341392147185
22,-46.837142857142865,1418,135,0.396,0.037,16.385689277389275,66.81485864520073,0.12566945643042413
23,-86.73214285714293,1486,4,0.569,0.072,21.915216267066267,89.81122905015945,0.12315606730181564
24,-64.16642857142855,1494,0,0.429,0.102,15.794628013653012,72.66374137997627,0.12069294595577933
25,-18.909285714285712,1439,43,0.523,0.0,8.325539574314574,40.266147762537,0.11827908703666373
26,-6.857142857142863,1491,0,0.384,0.0,9.077858477633479,31.23817764222622,0.11591350529593046
27,-15.480714285714292,1432,44,0.621,0.0,10.61515155122655,33.566309824585915,0.11359523519001186
28,-61.88499999999996,1306,187,0.089,0.116,20.587569805194807,66.76669502258301,0.11132333048621161
29,-54.87142857142866,1415,75,0.622,0.022,13.68482596015096,55.50490838289261,0.10909686387648737
30,-62.866428571428536,1336,161,0.033,0.129,20.2774847041847,75.30257093906403,0.10691492659895763
31,-77.45785714285712,1218,110,0.381,0.176,17.03217756132756,77.56421926617622,0.10477662806697847
32,-87.22714285714284,1138,42,0.0,0.288,17.10365704850705,98.20749506354332,0.1026810955056389
33,-62.91285714285715,1325,43,0.0,0.021,18.730457525807523,78.4914920926094,0.10062747359552612
34,-96.24285714285726,987,182,0.0,0.254,22.273243037518036,101.35209828615189,0.0986149241236156
35,-124.71285714285715,780,184,0.0,0.529,15.864540473415472,128.65587770938873,0.09664262564114329
36,-73.43285714285717,791,180,0.0,0.364,11.804450677100679,103.78262454271317,0.09470977312832042
37,-113.75428571428581,570,118,0.0,0.4,18.82346062826063,117.91889387369156,0.092815577665754
38,-123.25285714285712,266,190,0.0,0.602,14.9005384976135,130.79958641529083,0.09095926611243892
39,-112.99000000000002,552,66,0.0,0.556,12.602915484515485,126.2947506904602,0.08914008079019013
40,-65.14714285714287,671,173,0.0,0.24,13.621405258630258,92.06665498018265,0.08735727917438633
41,-148.05571428571423,626,0,0.0,0.439,25.173016053391052,131.39356338977814,0.08561013359089861
42,-154.19285714285715,173,29,0.0,0.454,23.667662468087467,132.9891284108162,0.08389793091908064
43,-74.20142857142858,507,0,0.0,0.274,16.96024579032079,100.39510887861252,0.08221997230069902
44,-60.4442857142857,498,49,0.0,0.193,14.773181368631368,78.01829558610916,0.08057557285468504
45,-91.15999999999995,479,105,0.0,0.193,19.364039535464535,105.97186774015427,0.07896406139759134
46,0.0,1016,119,0.0,0.0,6.965301190476191,47.06863433122635,0.07738478016963951
47,-4.377142857142857,1375,0,0.0,0.0,7.052008261183262,46.2039395570755,0.07583708456624672
48,-11.535714285714288,1485,1,0.646,0.0,4.1201654761904765,38.97201907634735,0.07432034287492179
49,-11.714285714285719,1472,0,0.656,0.0,2.7567642857142856,35.98132628202438,0.07283393601742334
50,-14.76785714285715,1491,0,0.827,0.0,1.6353,32.03466558456421,0.07137725729707488
51,-20.125000000000018,1488,1,1.127,0.0,0.7310714285714287,33.0582657456398,0.06994971215113338
52,-23.28571428571424,1485,5,1.304,0.0,0.9125666666666667,29.465784549713135,0.06855071790811071
53,-19.01785714285715,1458,31,1.065,0.0,0.6132000000000001,31.56643772125244,0.0671797035499485
54,-21.08928571428568,1489,0,1.181,0.0,0.6272404761904761,32.1787366271019,0.06583610947894952
55,-34.16071428571424,1487,0,1.913,0.0,0.09296904761904762,29.84920734167099,0.06451938728937053
56,-39.94642857142859,1490,0,2.237,0.0,0.060211904761904765,30.09906154870987,0.06322899954358312
57,-40.053571428571445,1489,0,2.243,0.0,0.08000238095238096,29.637247622013092,0.06196441955271145
58,-39.50000000000002,1489,0,2.212,0.0,0.07715,29.70150038599968,0.060725131161657224
59,-45.69642857142859,1491,0,2.559,0.0,0.05323690476190476,31.278069019317627,0.05951062853842408
60,-35.0178571428571,1488,0,1.961,0.0,0.07111309523809524,28.623306334018707,0.058320415967655595
61,-35.160714285714235,1490,0,1.969,0.0,0.11862499999999998,28.578140527009964,0.05715400764830248
62,-37.76785714285713,1486,0,2.115,0.0,0.07097142857142856,29.755651712417603,0.056010927495336434
63,-37.35714285714279,1491,0,2.092,0.0,0.045925,28.961420625448227,0.0548907089454297
64,-33.14285714285711,1490,0,1.856,0.0,0.05905,27.788983076810837,0.05379289476652111
65,-29.57142857142849,1490,0,1.656,0.0,0.07466428571428571,28.43390229344368,0.05271703687119069
66,-27.80357142857135,1483,0,1.557,0.0,0.056916666666666664,28.103790938854218,0.051662696133766874
67,-31.08928571428564,1492,3,1.741,0.0,0.06725833333333332,27.438537061214447,0.05062944221109154
68,-27.714285714285655,1490,0,1.552,0.0,0.07386666666666668,27.3289335668087,0.049616853366869704
69,-28.089285714285676,1489,0,1.573,0.0,0.06491666666666665,28.90332594513893,0.04862451629953231
70,-23.214285714285687,1489,3,1.3,0.0,0.09486190476190476,26.35037660598755,0.047652025973541665
71,-21.142857142857128,1488,0,1.184,0.0,0.07118333333333333,28.10733586549759,0.04669898545407083
72,-26.857142857142776,1489,0,1.504,0.0,0.07961666666666667,26.456900626420975,0.04576500574498941
73,-23.78571428571424,1480,0,1.332,0.0,0.07586666666666667,26.335266172885895,0.044849705630089616
74,-27.624999999999936,1490,0,1.547,0.0,0.1077,29.63024964928627,0.04395271151748782
75,-26.76785714285711,1490,0,1.499,0.0,0.058916666666666666,27.56573924422264,0.043073657287138065
