episode,reward,q1,q2,rejection1,drop2,latency2,tde,rho
0,-10.944444444444443,1497,0,0.394,0.0,4.878826012876012,101.86087185330689,0.196
1,-54.194444444444464,1494,0,1.951,0.0,7.447057531357532,63.197550537995994,0.19208
2,-40.750000000000114,1474,48,1.467,0.0,8.352865786990787,53.6743699721992,0.1882384
3,-66.05843253968257,1446,40,2.011,0.0,14.39539575979576,71.83558236178942,0.184473632
4,-107.7490079365079,1496,1,0.998,0.473,16.045842488067485,121.66197834722698,0.18078415936
5,-71.23541666666664,1498,0,1.041,0.094,17.632011982461982,110.86659265309572,0.1771684761728
6,-63.327579365079366,1248,347,1.34,0.0,15.379821747696747,84.83764576911926,0.173625106649344
7,-51.70446428571441,1497,4,1.035,0.0,16.469284118659118,77.7982589378953,0.1701526045163571
8,-106.28730158730143,1356,292,0.97,0.026,25.965840823065825,108.39065374620259,0.16674955242602996
9,-44.52777777777788,1448,109,1.603,0.0,10.654931163281162,54.0575538109988,0.16341456137750934
10,-21.500000000000018,1447,49,0.774,0.0,10.446373773448773,41.47594797052443,0.16014627014995916
11,-41.14434523809524,1497,17,0.942,0.0,14.278699003774003,59.126783799380064,0.15694334474695998
12,-22.094246031746053,1436,103,0.365,0.0,14.311126759351758,53.640170904342085,0.15380447785202078
13,-12.777777777777793,1284,315,0.46,0.0,15.115277791652792,44.60374551010318,0.15072838829498036
14,-18.7777777777778,1478,75,0.676,0.0,15.911055133755132,48.93227544892579,0.14771382052908075
15,-15.083333333333346,1192,295,0.543,0.0,14.615706554556557,42.89815240399912,0.14475954411849912
16,-14.944444444444457,1371,154,0.538,0.0,21.623402009102005,44.93819922208786,0.14186435323612914
17,-4.6388888888888875,1319,203,0.167,0.0,12.015270482295485,36.007031090557575,0.13902706617140656
18,-8.083333333333334,1479,20,0.291,0.0,19.04954842934843,40.69402450695634,0.13624652484797842
19,0.0,1400,126,0.0,0.0,10.236211327561328,26.84899041056633,0.13352159435101885
20,-9.666666666666663,1378,89,0.348,0.0,12.277524605949607,32.478388007031754,0.13085116246399847
21,-2.4999999999999996,1371,137,0.09,0.0,10.377304725829726,26.06574010499753,0.1282341392147185
22,-2.1111111111111107,1390,218,0.076,0.0,16.692710625485628,31.468426575884223,0.12566945643042413
23,-11.583333333333336,1412,79,0.417,0.0,11.512478005328004,25.96241986192763,0.12315606730181564
24,-0.4166666666666667,1420,60,0.015,0.0,8.157105303030303,20.345920828171074,0.12069294595577933
25,-5.138888888888885,1390,109,0.185,0.0,5.088903787878787,20.71497437421931,0.11827908703666373
26,-1.0277777777777777,1465,93,0.037,0.0,14.020054878454877,23.873415411566384,0.11591350529593046
27,-6.083333333333326,1474,25,0.219,0.0,6.173473104673105,20.995697487785947,0.11359523519001186
28,0.0,1397,124,0.0,0.0,5.445434018759019,15.912692561512813,0.11132333048621161
29,-3.888888888888888,1467,4,0.14,0.0,9.240598964923963,21.071887756348588,0.10909686387648737
30,-0.4166666666666667,1350,77,0.015,0.0,12.49956186868687,22.177176141820382,0.10691492659895763
31,0.0,1354,114,0.0,0.0,12.238585028860028,20.420607341337018,0.10477662806697847
32,0.0,1366,39,0.0,0.0,12.693949494949495,23.64034588926006,0.1026810955056389
33,0.0,1392,4,0.0,0.0,4.769775541125541,17.000509290664922,0.10062747359552612
34,0.0,1309,85,0.0,0.0,6.058735714285715,15.285864169010893,0.0986149241236156
35,-0.08333333333333333,1300,81,0.003,0.0,5.065247546897547,17.676029393915087,0.09664262564114329
36,0.0,1300,68,0.0,0.0,8.446424855699858,17.777406121604145,0.09470977312832042
37,0.0,1254,116,0.0,0.0,6.67575670995671,16.549878339865245,0.092815577665754
38,0.0,1282,28,0.0,0.0,7.430381349206348,15.622558748116717,0.09095926611243892
39,0.0,1361,5,0.0,0.0,2.995837301587302,13.327934480155818,0.08914008079019013
40,0.0,1354,15,0.0,0.0,3.1395046536796536,13.986683599563548,0.08735727917438633
41,0.0,1340,13,0.0,0.0,2.9248563492063493,14.434016064275056,0.08561013359089861
42,0.0,1173,11,0.0,0.0,5.004708477633478,16.791519462596625,0.08389793091908064
43,0.0,1237,11,0.0,0.0,2.393580158730159,16.260828028054675,0.08221997230069902
44,0.0,1226,37,0.0,0.0,4.206798665223665,15.435968337580562,0.08057557285468504
45,0.0,1207,6,0.0,0.0,3.798648015873016,16.681623752810992,0.07896406139759134
46,0.0,1174,0,0.0,0.0,3.0640588383838385,17.360375334857963,0.07738478016963951
47,0.0,1183,0,0.0,0.0,1.1506676767676767,17.86761587485671,0.07583708456624672
48,0.0,1030,3,0.0,0.0,4.552732936507937,19.869221605360508,0.07432034287492179
49,0.0,1001,4,0.0,0.0,3.6730714285714283,20.39041266962886,0.07283393601742334
50,0.0,1097,6,0.0,0.0,1.809855158730159,15.757573323324323,0.07137725729707488
51,0.0,1143,8,0.0,0.0,1.010926370851371,16.20734066143632,0.06994971215113338
52,0.0,1159,59,0.0,0.0,5.854710317460318,14.915994694805704,0.06855071790811071
53,0.0,1033,6,0.0,0.0,3.3575971861471863,17.167414411436766,0.0671797035499485
54,0.0,1069,0,0.0,0.0,5.279998015873016,18.49311075406149,0.06583610947894952
55,0.0,1116,1,0.0,0.0,1.0715252164502165,15.246166169643402,0.06451938728937053
56,0.0,994,0,0.0,0.0,2.677048412698413,18.391143552958965,0.06322899954358312
57,0.0,672,99,0.0,0.0,6.2834674603174605,22.01557870209217,0.06196441955271145
58,0.0,702,6,0.0,0.0,12.17430014985015,33.85197398066521,0.060725131161657224
59,0.0,787,5,0.0,0.0,2.5237184704184705,30.976836547255516,0.05951062853842408
60,0.0,667,7,0.0,0.0,9.119869946719948,37.9209466278553,0.058320415967655595
61,-7.319642857142857,552,148,0.0,0.0,9.913223609723609,46.69878879189491,0.05715400764830248
62,-41.7,280,337,0.0,0.252,14.771401848151848,82.39531414210796,0.056010927495336434
63,-13.650892857142857,449,56,0.0,0.0,18.48051408036408,66.97671151161194,0.0548907089454297
64,-202.2526785714285,343,199,0.0,1.601,26.960102283827283,188.3144870325923,0.05379289476652111
65,-101.63839285714286,255,230,0.0,0.202,23.33434274891775,117.6163669526577,0.05271703687119069
66,-1.944444444444444,1490,1,0.07,0.0,1.447842171717172,20.953075598052237,0.051662696133766874
