step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,learner:throughputs,learner:queue_sizes
0,2991,8392,0,0,0,0,0.248,0.0,0.0,0.0,1012.502,53.976,775.0,16.959
0,2196,8530,0,0,0,0,0.421,0.0,0.0,0.0,1231.689,8.974,804.0,14.827
0,1972,8478,0,0,0,0,0.437,0.0,0.0,0.0,1278.758,5.485,787.0,14.733
0,3107,8535,0,0,0,0,0.372,0.0,0.0,0.0,1789.668,51.73,808.0,14.366
0,2773,8529,0,0,0,0,0.357,0.0,0.0,0.0,1480.839,5.929,789.0,14.046
0,3486,8506,0,0,0,0,0.282,0.0,0.0,0.0,1502.559,50.979,816.0,25.362
0,2202,8509,0,0,0,0,0.423,0.0,0.0,0.0,1266.843,3.543,774.0,13.116
0,2230,8464,0,0,0,0,0.392,0.0,0.0,0.0,1593.462,4.077,810.0,14.357
0,1972,8528,0,0,0,0,0.407,0.0,0.0,0.0,1516.158,3.506,791.0,14.498
0,2212,8425,0,0,0,0,0.445,0.0,0.0,0.0,1327.78,5.797,773.0,13.515
0,1660,8425,0,0,0,0,0.488,0.0,0.0,0.0,1622.707,3.678,778.0,13.604
0,2120,8568,0,0,0,0,0.416,0.0,0.0,0.0,1381.796,3.889,809.0,18.564
0,2890,8551,0,0,0,0,0.331,0.0,0.0,0.0,1734.725,10.577,792.0,14.877
0,2480,8376,0,0,0,0,0.387,0.0,0.0,0.0,1438.722,9.489,786.0,15.651
0,3246,8600,0,0,0,0,0.329,0.0,0.0,0.0,1708.427,25.866,789.0,18.756
0,2385,8485,0,0,0,0,0.383,0.0,0.0,0.0,1232.501,9.613,829.0,18.228
0,2374,8461,0,0,0,0,0.393,0.0,0.0,0.0,1480.652,8.17,810.0,18.879
0,2957,8608,0,0,0,0,0.386,0.0,0.0,0.0,1766.614,30.039,783.0,16.076
0,2467,8531,0,0,0,0,0.441,0.0,0.0,0.0,1315.134,13.596,779.0,15.612
0,2081,8460,0,0,0,0,0.445,0.0,0.0,0.0,1560.758,6.741,820.0,17.252
0,3223,8422,0,0,0,0,0.319,0.0,0.0,0.0,1541.684,23.992,736.0,96.199
0,2257,8590,0,0,0,0,0.404,0.0,0.0,0.0,1348.647,6.247,870.0,40.376
0,3220,8483,0,0,0,0,0.333,0.0,0.0,0.0,1707.014,29.452,787.0,32.217
0,2910,8512,0,0,0,0,0.315,0.0,0.0,0.0,1341.597,8.612,816.0,13.219
0,4773,7682,0,276,0,276,0.223,0.0,0.0,0.515,1779.387,59.936,773.0,22.901
0,4717,8983,0,0,0,0,0.182,0.0,0.0,0.0,1287.064,206.455,820.0,23.832
0,3862,8105,0,0,0,0,0.283,0.0,0.0,0.0,1546.557,22.109,815.0,25.792
0,5369,8649,0,118,0,118,0.124,0.0,0.0,0.278,1372.771,359.069,829.0,58.361
0,4699,8237,0,0,0,0,0.182,0.0,0.0,0.0,1537.315,94.958,749.0,39.078
0,4641,8581,0,106,0,106,0.19,0.0,0.0,0.255,1402.787,254.423,841.0,30.929
0,4927,8622,0,0,0,0,0.187,0.0,0.0,0.0,1438.06,216.229,810.0,19.68
0,5801,7926,0,30,0,30,0.159,0.0,0.0,0.085,1608.628,258.383,790.0,28.761
0,5794,8115,0,730,0,730,0.109,0.0,0.0,0.931,1211.966,288.611,837.0,56.036
0,5403,8527,0,72,0,72,0.149,0.0,0.0,0.183,1378.184,257.681,811.0,16.868
0,5385,8426,0,0,0,0,0.147,0.0,0.0,0.0,1517.503,158.455,798.0,17.136
0,5644,7902,0,227,0,227,0.128,0.0,0.0,0.527,1415.982,236.41,780.0,37.229
0,6759,7468,0,1064,0,1064,0.105,0.0,0.0,1.96,1378.626,427.528,743.0,71.026
0,4191,9032,0,0,0,0,0.216,0.0,0.0,0.131,1085.531,265.136,890.0,56.93
0,4634,8537,0,122,0,122,0.208,0.0,0.0,0.399,1423.015,193.706,807.0,26.623
0,6982,7296,0,579,0,579,0.067,0.0,0.0,1.183,1643.277,297.11,683.0,78.643
0,6896,7362,0,1242,0,1242,0.067,0.0,0.0,2.448,1265.159,435.477,753.0,175.612
0,5859,8004,0,596,0,596,0.152,0.0,0.0,1.07,1469.383,367.677,814.0,67.093
0,5097,8669,0,54,0,54,0.149,0.0,0.0,0.137,1362.93,289.667,858.0,76.504
0,6543,7490,0,693,0,693,0.116,0.0,0.0,1.124,1466.034,227.593,732.0,32.652
0,6137,7928,0,560,0,560,0.078,0.0,0.0,1.174,1337.372,440.206,790.0,102.758
0,4541,8782,0,0,0,0,0.183,0.0,0.0,0.0,1448.495,154.814,864.0,79.393
0,7927,6584,0,2070,0,2070,0.007,0.0,0.0,3.477,1153.008,383.374,663.0,97.779
0,6184,7721,0,655,0,655,0.096,0.0,0.0,1.197,1433.118,313.275,764.0,122.405
0,6414,7776,0,634,0,634,0.085,0.0,0.0,1.475,1394.084,420.018,771.0,159.89
0,7092,7298,0,1364,0,1364,0.038,0.0,0.0,2.535,1250.636,420.714,711.0,147.861
0,7453,7170,0,1150,0,1150,0.038,0.0,0.0,1.887,1388.522,359.786,664.0,215.756
0,6614,7801,0,985,0,985,0.053,0.0,0.0,1.49,1107.812,399.24,721.0,239.81
0,6965,7332,0,1436,0,1436,0.064,0.0,0.0,2.308,1076.408,293.103,743.0,240.846
0,7268,7078,0,949,0,949,0.068,0.0,0.0,1.364,1515.091,253.688,699.0,179.028
0,6995,7469,0,988,0,988,0.019,0.0,0.0,1.908,1128.317,392.18,718.0,222.646
0,6921,7314,0,1308,0,1308,0.063,0.0,0.0,2.024,1224.464,345.107,750.0,240.654
0,7593,6982,0,1337,0,1337,0.035,0.0,0.0,2.462,1418.747,419.294,668.0,213.801
0,8960,5870,0,2623,0,2623,0.0,0.0,0.0,4.264,746.232,339.511,556.0,309.596
0,7543,6329,0,2207,0,2207,0.0,0.0,0.0,3.369,281.809,371.314,628.0,376.981
0,6707,7385,0,974,0,974,0.039,0.0,0.0,1.466,991.259,386.601,724.0,344.561
0,6604,7462,0,1042,0,1042,0.082,0.0,0.0,1.848,1313.7,448.722,707.0,315.571
0,7803,6527,0,1975,0,1975,0.049,0.0,0.0,3.168,1421.717,407.928,623.0,290.14
0,6798,7346,0,1325,0,1325,0.021,0.0,0.0,2.192,708.516,429.586,700.0,320.653
0,7449,7005,0,1385,0,1385,0.047,0.0,0.0,2.403,1403.794,399.111,685.0,279.333
0,5934,8105,0,303,0,303,0.107,0.0,0.0,0.786,1354.855,340.049,786.0,253.699
0,7076,7517,0,1099,0,1099,0.064,0.0,0.0,1.777,1349.791,399.132,628.0,224.068
0,8345,6536,0,1937,0,1937,0.015,0.0,0.0,3.679,1116.191,417.055,557.0,318.865
0,6830,7277,0,1061,0,1061,0.058,0.0,0.0,1.929,1157.0,414.674,754.0,292.298
0,6808,7681,0,938,0,938,0.02,0.0,0.0,2.172,901.158,437.339,644.0,326.577
0,6531,7956,0,746,0,746,0.081,0.0,0.0,1.934,1259.148,452.95,688.0,320.413
0,6670,7982,0,497,0,497,0.071,0.0,0.0,0.963,1450.861,389.214,660.0,272.393
0,8917,6354,0,1714,0,1714,0.0,0.0,0.0,3.528,830.225,381.488,487.0,396.953
0,6879,8067,0,605,0,605,0.0,0.0,0.0,2.017,949.165,477.532,589.0,492.945
0,6368,8089,0,445,0,445,0.103,0.0,0.0,1.218,1471.288,382.621,714.0,404.137
0,6527,8157,0,335,0,335,0.06,0.0,0.0,0.645,1397.598,328.811,627.0,420.225
0,6827,8050,0,395,0,395,0.064,0.0,0.0,1.317,1383.035,437.383,597.0,430.459
0,6494,8142,0,218,0,218,0.077,0.0,0.0,0.577,1461.802,375.147,665.0,424.549
0,6912,7788,0,925,0,925,0.033,0.0,0.0,1.797,1256.134,276.145,627.0,441.119
0,5842,8541,0,111,0,111,0.113,0.0,0.0,0.432,1370.318,389.824,765.0,370.856
0,5214,8547,0,0,0,0,0.116,0.0,0.0,0.0,1491.876,35.901,636.0,321.521
0,4446,8481,0,0,0,0,0.198,0.0,0.0,0.0,1481.456,20.153,810.0,241.674
0,7822,7513,0,620,0,620,0.013,0.0,0.0,3.268,1513.011,431.167,477.0,313.091
0,7897,7267,0,1207,0,1207,0.01,0.0,0.0,2.997,1278.964,418.959,523.0,504.544
0,7308,7528,0,981,0,981,0.032,0.0,0.0,2.448,1366.112,444.419,599.0,534.757
0,8125,6989,0,1491,0,1491,0.0,0.0,0.0,4.603,1055.591,467.9,534.0,546.358
0,8244,6798,0,1752,0,1752,0.006,0.0,0.0,3.664,1129.417,410.448,539.0,522.033
0,7709,7266,0,1100,0,1100,0.0,0.0,0.0,3.066,818.503,395.858,532.0,545.326
0,8260,6924,0,1747,0,1747,0.003,0.0,0.0,5.018,1190.94,453.392,498.0,552.138
0,8641,5857,0,2516,0,2516,0.0,0.0,0.0,5.497,446.404,386.876,391.0,657.504
0,7993,6429,0,2122,0,2122,0.0,0.0,0.0,4.756,163.245,398.058,467.0,724.493
0,7543,6940,0,1478,0,1478,0.0,0.0,0.0,3.657,276.425,423.797,513.0,726.809
0,8581,6287,0,2118,0,2118,0.0,0.0,0.0,4.678,403.044,407.148,465.0,691.629
0,7748,7418,0,1125,0,1125,0.0,0.0,0.0,3.627,284.093,479.556,487.0,680.036
0,7411,7685,0,806,0,806,0.0,0.0,0.0,2.689,913.885,463.587,528.0,638.298
0,8535,6939,0,1514,0,1514,0.0,0.0,0.0,4.932,660.412,445.281,442.0,666.608
0,7757,7486,0,855,0,855,0.0,0.0,0.0,3.445,610.683,483.727,501.0,649.815
0,7176,7971,0,556,0,556,0.0,0.0,0.0,2.499,604.632,490.028,508.0,703.474
0,4696,8999,0,34,0,34,0.152,0.0,0.0,0.136,1251.859,275.71,610.0,623.123
0,3758,8539,0,0,0,0,0.234,0.0,0.0,0.0,1608.449,7.077,662.0,518.197
0,4646,8521,0,0,0,0,0.147,0.0,0.0,0.0,1374.725,17.705,590.0,479.695
0,5778,8139,0,0,0,0,0.116,0.0,0.0,0.009,1655.265,94.252,645.0,424.12
0,8049,7325,0,1030,0,1030,0.014,0.0,0.0,4.231,1292.506,478.922,472.0,497.354
0,7579,7737,0,706,0,706,0.006,0.0,0.0,2.69,1138.844,469.985,485.0,611.171
0,6613,8324,0,96,0,96,0.051,0.0,0.0,0.88,1460.797,446.392,602.0,548.065
0,5219,8951,0,68,0,68,0.134,0.0,0.0,0.414,1345.587,295.486,592.0,513.274
0,5113,8389,0,0,0,0,0.136,0.0,0.0,0.0,1625.702,23.717,601.0,519.251
0,5447,8558,0,0,0,0,0.085,0.0,0.0,0.0,1464.863,23.078,538.0,541.264
0,5232,8433,0,0,0,0,0.129,0.0,0.0,0.0,1457.879,40.537,636.0,544.661
0,6267,7805,0,36,0,36,0.083,0.0,0.0,0.202,1568.688,136.408,609.0,501.685
0,8672,6900,0,1589,0,1589,0.0,0.0,0.0,4.674,1142.213,455.897,417.0,570.888
0,8481,7006,0,1512,0,1512,0.0,0.0,0.0,5.096,428.15,451.552,432.0,667.263
0,8356,7162,0,1327,0,1327,0.0,0.0,0.0,4.846,197.073,471.455,385.0,723.005
0,7849,7110,0,1363,0,1363,0.0,0.0,0.0,4.239,221.314,452.381,462.0,731.283
0,7539,7349,0,1334,0,1334,0.0,0.0,0.0,4.9,103.358,474.301,424.0,738.263
0,8438,6950,0,1298,0,1298,0.0,0.0,0.0,4.08,229.643,439.552,357.0,778.518
