j0 step j2 j3 reward j4 j5 cost1 z1 j6 cost2 z2 j7 epsilon
step= 0 -- reward= -417.08771085858314 -- cost1= -80.0 6189 --cost2= -6208.400000000017 8808 epsilon= 0.015
step= 1 -- reward= -720.4639913836146 -- cost1= -1872.0 5847 --cost2= -9942.314285714323 9153 epsilon= 0.013554030054147672
step= 2 -- reward= -721.4160437062912 -- cost1= -1911.0 5814 --cost2= -9962.514285714324 9186 epsilon= 0.01224744871391589
step= 3 -- reward= -721.3333234820727 -- cost1= -1900.0 5815 --cost2= -9870.371428571469 9185 epsilon= 0.011066819197003216
step= 4 -- reward= -722.6157910700389 -- cost1= -1918.0 5827 --cost2= -9905.014285714313 9173 epsilon= 0.01
step= 5 -- reward= -723.4089056637789 -- cost1= -1939.0 5820 --cost2= -9844.07142857148 9180 epsilon= 0.01
step= 6 -- reward= -725.3448923715154 -- cost1= -1974.0 5804 --cost2= -9953.185714285759 9196 epsilon= 0.01
step= 7 -- reward= -720.384414024466 -- cost1= -1869.0 5865 --cost2= -9984.557142857191 9135 epsilon= 0.01
step= 8 -- reward= -723.4282560911292 -- cost1= -1940.0 5849 --cost2= -10032.042857142898 9151 epsilon= 0.01
step= 9 -- reward= -722.5908242729461 -- cost1= -1929.0 5826 --cost2= -9932.171428571466 9174 epsilon= 0.01
step= 10 -- reward= -720.8693485264708 -- cost1= -1911.0 5820 --cost2= -9885.67142857146 9180 epsilon= 0.01
step= 11 -- reward= -720.0888482767198 -- cost1= -1864.0 5852 --cost2= -10054.628571428615 9148 epsilon= 0.01
step= 12 -- reward= -722.0064581252045 -- cost1= -1912.0 5798 --cost2= -10067.328571428618 9202 epsilon= 0.01
step= 13 -- reward= -725.6889108660926 -- cost1= -2044.0 5807 --cost2= -9966.142857142908 9193 epsilon= 0.01
step= 14 -- reward= -720.9697588562215 -- cost1= -1917.0 5868 --cost2= -9778.142857142891 9132 epsilon= 0.01
step= 15 -- reward= -726.0749238677964 -- cost1= -2004.0 5767 --cost2= -10044.528571428616 9233 epsilon= 0.01
step= 16 -- reward= -723.0071442307662 -- cost1= -1942.0 5851 --cost2= -9962.742857142905 9149 epsilon= 0.01
step= 17 -- reward= -721.663289127537 -- cost1= -1923.0 5835 --cost2= -10059.800000000048 9165 epsilon= 0.01
step= 18 -- reward= -723.4388681041163 -- cost1= -1944.0 5806 --cost2= -9979.142857142895 9194 epsilon= 0.01
step= 19 -- reward= -721.3743880841349 -- cost1= -1877.0 5841 --cost2= -9901.728571428604 9159 epsilon= 0.01
step= 20 -- reward= -724.3291793068018 -- cost1= -1975.0 5802 --cost2= -9940.014285714324 9198 epsilon= 0.01
step= 21 -- reward= -725.5235224636456 -- cost1= -1973.0 5812 --cost2= -10067.828571428621 9188 epsilon= 0.01
step= 22 -- reward= -721.6453238011959 -- cost1= -1905.0 5836 --cost2= -9950.257142857185 9164 epsilon= 0.01
step= 23 -- reward= -722.5968380111926 -- cost1= -1897.0 5797 --cost2= -9985.471428571454 9203 epsilon= 0.01
step= 24 -- reward= -719.9912777539902 -- cost1= -1888.0 5829 --cost2= -9899.242857142895 9171 epsilon= 0.01
step= 25 -- reward= -720.5487272588508 -- cost1= -1858.0 5853 --cost2= -9866.457142857185 9147 epsilon= 0.01
step= 26 -- reward= -725.086100052723 -- cost1= -1992.0 5798 --cost2= -10013.185714285775 9202 epsilon= 0.01
step= 27 -- reward= -724.5081740620458 -- cost1= -1979.0 5812 --cost2= -10031.614285714335 9188 epsilon= 0.01
step= 28 -- reward= -724.4299984598719 -- cost1= -1949.0 5795 --cost2= -10032.428571428614 9205 epsilon= 0.01
step= 29 -- reward= -721.9984464563195 -- cost1= -1927.0 5829 --cost2= -9877.257142857172 9171 epsilon= 0.01
step= 30 -- reward= -722.4352815240296 -- cost1= -1941.0 5808 --cost2= -9984.914285714323 9192 epsilon= 0.01
step= 31 -- reward= -723.2581003579742 -- cost1= -1938.0 5813 --cost2= -9892.70000000005 9187 epsilon= 0.01
step= 32 -- reward= -724.8597433122408 -- cost1= -1990.0 5799 --cost2= -9984.871428571483 9201 epsilon= 0.01
step= 33 -- reward= -726.1382074314553 -- cost1= -2024.0 5802 --cost2= -9885.100000000042 9198 epsilon= 0.01
step= 34 -- reward= -718.2298381757107 -- cost1= -1798.0 5832 --cost2= -10029.828571428621 9168 epsilon= 0.01
step= 35 -- reward= -725.7244369658097 -- cost1= -1999.0 5805 --cost2= -10076.957142857189 9195 epsilon= 0.01
step= 36 -- reward= -723.3565577478054 -- cost1= -1935.0 5822 --cost2= -9981.14285714289 9178 epsilon= 0.01
step= 37 -- reward= -720.2299548507017 -- cost1= -1845.0 5877 --cost2= -9964.985714285753 9123 epsilon= 0.01
step= 38 -- reward= -721.0590414724123 -- cost1= -1889.0 5805 --cost2= -9971.085714285766 9195 epsilon= 0.01
step= 39 -- reward= -721.6624112831588 -- cost1= -1903.0 5808 --cost2= -10076.628571428617 9192 epsilon= 0.01
step= 40 -- reward= -722.9026425380165 -- cost1= -1923.0 5832 --cost2= -9834.771428571474 9168 epsilon= 0.01
step= 41 -- reward= -726.7929676176989 -- cost1= -2036.0 5783 --cost2= -9955.800000000054 9217 epsilon= 0.01
step= 42 -- reward= -723.1287119388525 -- cost1= -1940.0 5839 --cost2= -9808.342857142898 9161 epsilon= 0.01
step= 43 -- reward= -721.5875624236857 -- cost1= -1880.0 5844 --cost2= -9865.642857142893 9156 epsilon= 0.01
step= 44 -- reward= -722.5094750943481 -- cost1= -1950.0 5801 --cost2= -9933.95714285719 9199 epsilon= 0.01
step= 45 -- reward= -723.2644045815273 -- cost1= -1941.0 5816 --cost2= -9955.971428571467 9184 epsilon= 0.01
step= 46 -- reward= -721.3513091353065 -- cost1= -1899.0 5816 --cost2= -9889.342857142903 9184 epsilon= 0.01
step= 47 -- reward= -719.0621754356739 -- cost1= -1821.0 5848 --cost2= -9942.871428571456 9152 epsilon= 0.01
step= 48 -- reward= -723.2552424797406 -- cost1= -1933.0 5814 --cost2= -10023.200000000039 9186 epsilon= 0.01
step= 49 -- reward= -723.1983931623903 -- cost1= -1950.0 5836 --cost2= -10049.742857142903 9164 epsilon= 0.01
step= 50 -- reward= -720.9781501137742 -- cost1= -1884.0 5837 --cost2= -9766.771428571466 9163 epsilon= 0.01
step= 51 -- reward= -722.6185113101155 -- cost1= -1938.0 5808 --cost2= -9934.642857142897 9192 epsilon= 0.01
step= 52 -- reward= -719.0486047841028 -- cost1= -1835.0 5856 --cost2= -9994.057142857191 9144 epsilon= 0.01
step= 53 -- reward= -726.1103005882981 -- cost1= -2014.0 5811 --cost2= -10077.64285714289 9189 epsilon= 0.01
step= 54 -- reward= -720.2436605200332 -- cost1= -1876.0 5861 --cost2= -9903.128571428624 9139 epsilon= 0.01
