j0 step j2 j3 reward j4 j5 cost1 z1 j6 cost2 z2 j7 epsilon
step= 0 -- reward= 0.0 -- cost1= 0.0 6323 --cost2= 0.0 7478 epsilon= 0.015
step= 1 -- reward= 0.0 -- cost1= 0.0 6354 --cost2= 0.0 7503 epsilon= 0.013554030054147672
step= 2 -- reward= 0.0 -- cost1= 0.0 6331 --cost2= 0.0 7595 epsilon= 0.01224744871391589
step= 3 -- reward= 0.0 -- cost1= 0.0 6404 --cost2= 0.0 7528 epsilon= 0.011066819197003216
step= 4 -- reward= 0.0 -- cost1= 0.0 6282 --cost2= 0.0 7453 epsilon= 0.01
step= 5 -- reward= 0.0 -- cost1= 0.0 6349 --cost2= 0.0 7623 epsilon= 0.01
step= 6 -- reward= 0.0 -- cost1= 0.0 6375 --cost2= 0.0 7384 epsilon= 0.01
step= 7 -- reward= 0.0 -- cost1= 0.0 6379 --cost2= 0.0 7498 epsilon= 0.01
step= 8 -- reward= 0.0 -- cost1= 0.0 6295 --cost2= 0.0 7400 epsilon= 0.01
step= 9 -- reward= 0.0 -- cost1= 0.0 6381 --cost2= 0.0 7539 epsilon= 0.01
step= 10 -- reward= 0.0 -- cost1= 0.0 6390 --cost2= 0.0 7417 epsilon= 0.01
step= 11 -- reward= 0.0 -- cost1= 0.0 6355 --cost2= 0.0 7439 epsilon= 0.01
step= 12 -- reward= 0.0 -- cost1= 0.0 6402 --cost2= 0.0 7509 epsilon= 0.01
step= 13 -- reward= 0.0 -- cost1= 0.0 6393 --cost2= 0.0 7540 epsilon= 0.01
step= 14 -- reward= 0.0 -- cost1= 0.0 6334 --cost2= 0.0 7584 epsilon= 0.01
step= 15 -- reward= 0.0 -- cost1= 0.0 6294 --cost2= 0.0 7501 epsilon= 0.01
step= 16 -- reward= 0.0 -- cost1= 0.0 6344 --cost2= 0.0 7522 epsilon= 0.01
step= 17 -- reward= 0.0 -- cost1= 0.0 6246 --cost2= 0.0 7479 epsilon= 0.01
step= 18 -- reward= 0.0 -- cost1= 0.0 6333 --cost2= 0.0 7529 epsilon= 0.01
step= 19 -- reward= 0.0 -- cost1= 0.0 6429 --cost2= 0.0 7533 epsilon= 0.01
step= 20 -- reward= 0.0 -- cost1= 0.0 6355 --cost2= 0.0 7455 epsilon= 0.01
step= 21 -- reward= 0.0 -- cost1= 0.0 6294 --cost2= 0.0 7497 epsilon= 0.01
step= 22 -- reward= 0.0 -- cost1= 0.0 6318 --cost2= 0.0 7560 epsilon= 0.01
step= 23 -- reward= 0.0 -- cost1= 0.0 6401 --cost2= 0.0 7520 epsilon= 0.01
step= 24 -- reward= 0.0 -- cost1= 0.0 6262 --cost2= 0.0 7514 epsilon= 0.01
step= 25 -- reward= 0.0 -- cost1= 0.0 6342 --cost2= 0.0 7497 epsilon= 0.01
step= 26 -- reward= 0.0 -- cost1= 0.0 6246 --cost2= 0.0 7481 epsilon= 0.01
step= 27 -- reward= 0.0 -- cost1= 0.0 6308 --cost2= 0.0 7533 epsilon= 0.01
step= 28 -- reward= 0.0 -- cost1= 0.0 6281 --cost2= 0.0 7539 epsilon= 0.01
step= 29 -- reward= 0.0 -- cost1= 0.0 6173 --cost2= 0.0 7486 epsilon= 0.01
step= 30 -- reward= 0.0 -- cost1= 0.0 6364 --cost2= 0.0 7529 epsilon= 0.01
step= 31 -- reward= 0.0 -- cost1= 0.0 6349 --cost2= 0.0 7666 epsilon= 0.01
step= 32 -- reward= 0.0 -- cost1= 0.0 6350 --cost2= 0.0 7562 epsilon= 0.01
step= 33 -- reward= 0.0 -- cost1= 0.0 6320 --cost2= 0.0 7487 epsilon= 0.01
step= 34 -- reward= 0.0 -- cost1= 0.0 6401 --cost2= 0.0 7545 epsilon= 0.01
step= 35 -- reward= 0.0 -- cost1= 0.0 6365 --cost2= 0.0 7470 epsilon= 0.01
step= 36 -- reward= 0.0 -- cost1= 0.0 6398 --cost2= 0.0 7541 epsilon= 0.01
step= 37 -- reward= 0.0 -- cost1= 0.0 6395 --cost2= 0.0 7512 epsilon= 0.01
step= 38 -- reward= 0.0 -- cost1= 0.0 6328 --cost2= 0.0 7541 epsilon= 0.01
step= 39 -- reward= 0.0 -- cost1= 0.0 6392 --cost2= 0.0 7565 epsilon= 0.01
step= 40 -- reward= 0.0 -- cost1= 0.0 6302 --cost2= 0.0 7507 epsilon= 0.01
step= 41 -- reward= 0.0 -- cost1= 0.0 6417 --cost2= 0.0 7471 epsilon= 0.01
step= 42 -- reward= 0.0 -- cost1= 0.0 6358 --cost2= 0.0 7484 epsilon= 0.01
step= 43 -- reward= 0.0 -- cost1= 0.0 6303 --cost2= 0.0 7445 epsilon= 0.01
step= 44 -- reward= 0.0 -- cost1= 0.0 6405 --cost2= 0.0 7428 epsilon= 0.01
step= 45 -- reward= 0.0 -- cost1= 0.0 6376 --cost2= 0.0 7546 epsilon= 0.01
step= 46 -- reward= 0.0 -- cost1= 0.0 6413 --cost2= 0.0 7516 epsilon= 0.01
step= 47 -- reward= 0.0 -- cost1= 0.0 6446 --cost2= 0.0 7552 epsilon= 0.01
step= 48 -- reward= 0.0 -- cost1= 0.0 6350 --cost2= 0.0 7471 epsilon= 0.01
step= 49 -- reward= 0.0 -- cost1= 0.0 6348 --cost2= 0.0 7404 epsilon= 0.01
step= 50 -- reward= 0.0 -- cost1= 0.0 6302 --cost2= 0.0 7538 epsilon= 0.01
step= 51 -- reward= 0.0 -- cost1= 0.0 6332 --cost2= 0.0 7453 epsilon= 0.01
step= 52 -- reward= 0.0 -- cost1= 0.0 6344 --cost2= 0.0 7490 epsilon= 0.01
step= 53 -- reward= 0.0 -- cost1= 0.0 6331 --cost2= 0.0 7520 epsilon= 0.01
step= 54 -- reward= 0.0 -- cost1= 0.0 6428 --cost2= 0.0 7539 epsilon= 0.01
step= 55 -- reward= 0.0 -- cost1= 0.0 6269 --cost2= 0.0 7517 epsilon= 0.01
step= 56 -- reward= 0.0 -- cost1= 0.0 6279 --cost2= 0.0 7451 epsilon= 0.01
step= 57 -- reward= 0.0 -- cost1= 0.0 6310 --cost2= 0.0 7538 epsilon= 0.01
step= 58 -- reward= 0.0 -- cost1= 0.0 6340 --cost2= 0.0 7513 epsilon= 0.01
step= 59 -- reward= 0.0 -- cost1= 0.0 6341 --cost2= 0.0 7558 epsilon= 0.01
step= 60 -- reward= 0.0 -- cost1= 0.0 6384 --cost2= 0.0 7474 epsilon= 0.01
step= 61 -- reward= 0.0 -- cost1= 0.0 6381 --cost2= 0.0 7577 epsilon= 0.01
step= 62 -- reward= 0.0 -- cost1= 0.0 6287 --cost2= 0.0 7530 epsilon= 0.01
step= 63 -- reward= 0.0 -- cost1= 0.0 6396 --cost2= 0.0 7448 epsilon= 0.01
step= 64 -- reward= 0.0 -- cost1= 0.0 6401 --cost2= 0.0 7566 epsilon= 0.01
step= 65 -- reward= 0.0 -- cost1= 0.0 6292 --cost2= 0.0 7518 epsilon= 0.01
step= 66 -- reward= 0.0 -- cost1= 0.0 6381 --cost2= 0.0 7444 epsilon= 0.01
step= 67 -- reward= 0.0 -- cost1= 0.0 6368 --cost2= 0.0 7430 epsilon= 0.01
step= 68 -- reward= 0.0 -- cost1= 0.0 6347 --cost2= 0.0 7502 epsilon= 0.01
