step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,6499,8480,0,0,0,0,85.509,281.74,0.0,2.447,12.734007142857134,31.193551984127,0,0,1.0,0,499.5,0.19999999999999718,0.01500000000000019
0,6363,8637,0,0,0,239,340.55,608.116,0.0,17.949,51.21145833333334,67.77452817460326,0,0,1.0,0,1374.75,0.19999999999999718,0.013554030054147317
0,6337,8663,0,0,0,332,662.405,623.337,0.0,17.973,99.18937261904786,69.35741746031745,0,0,1.0,0,1500.0,0.19999999999999718,0.012247448713916033
0,6136,8864,0,0,0,83,1048.14,604.99,0.0,17.833,157.50870714285716,67.86890974025981,0,0,1.0,0,1500.0,0.19999999999999718,0.01106681919700315
0,5994,9006,548,0,0,0,1473.988,552.408,0.0,17.876,237.46111428571433,61.79481515151519,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6042,8958,661,0,0,0,1492.422,470.274,0.0,16.566,247.96885238095228,53.07066991341992,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6085,8915,631,0,0,0,1492.46,473.963,0.0,14.275,244.622705952381,52.66288293650796,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6028,8972,631,0,0,0,1492.279,496.306,0.0,18.003,246.97705952380994,55.16938849206352,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,5990,9010,733,0,0,0,1492.615,552.981,0.0,18.061,248.95519999999988,61.263998484848486,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,5989,9011,719,0,0,0,1492.622,542.176,0.0,17.96,249.7708702380954,60.35830912698416,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6078,8922,601,0,0,0,1491.958,458.657,0.0,11.124,246.01207142857174,51.35480753968255,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6021,8979,635,0,0,0,1492.324,535.223,0.0,18.12,247.28189047619048,59.033865151515116,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,5995,9005,664,0,0,56,1492.565,613.277,0.0,18.216,248.9546452380953,67.35017626262622,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,5940,9060,837,0,0,20,1492.997,590.436,0.0,17.961,250.73820952380953,65.70507539682536,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6081,8919,647,0,0,0,1492.515,451.217,0.0,8.483,246.6435869047619,50.95351388888888,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6004,8996,711,0,0,0,1492.673,513.309,0.0,18.152,247.95363095238082,56.52108452380951,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,5968,9032,771,0,0,0,1492.715,552.109,0.0,17.967,250.23714523809483,61.41547182539681,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6006,8994,696,0,0,12,1492.196,568.374,0.0,18.161,248.12272142857137,62.5863361111111,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,5961,9039,726,0,0,18,1492.716,573.214,0.0,18.043,250.65435714285718,63.570218253968214,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6025,8975,628,0,0,0,1492.159,483.704,0.0,17.481,247.95220476190497,54.108643939393936,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6037,8963,685,0,0,0,1492.579,494.638,0.0,17.91,247.41435476190458,55.38896984126983,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,6017,8983,706,0,0,3,1492.647,559.854,0.0,18.186,247.554663095238,61.51340602453102,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
0,5989,9011,703,0,0,17,1492.484,588.699,0.0,17.976,249.25600833333337,65.36769826839829,0,0,1.0,0,1500.0,0.19999999999999718,0.009999999999999832
