j0 step j2 j3 reward j4 j5 cost1 z1 j6 cost2 z2 j7 epsilon
step= 0 -- reward= -21.968616938616943 -- cost1= -613.0 6334 --cost2= 0.0 8010 epsilon= 0.015
step= 1 -- reward= -86.5913874320121 -- cost1= -2374.0 6030 --cost2= 0.0 7994 epsilon= 0.013554030054147672
step= 2 -- reward= -87.6404076968779 -- cost1= -2414.0 6028 --cost2= 0.0 7960 epsilon= 0.01224744871391589
step= 3 -- reward= -87.31571484071449 -- cost1= -2385.0 6023 --cost2= 0.0 7930 epsilon= 0.011066819197003216
step= 4 -- reward= -88.09296425796391 -- cost1= -2410.0 6032 --cost2= 0.0 7916 epsilon= 0.01
step= 5 -- reward= -90.01488927738889 -- cost1= -2473.0 5996 --cost2= 0.0 7888 epsilon= 0.01
step= 6 -- reward= -92.3066598679095 -- cost1= -2521.0 5969 --cost2= 0.0 8012 epsilon= 0.01
step= 7 -- reward= -87.0898902486399 -- cost1= -2388.0 6048 --cost2= 0.0 7995 epsilon= 0.01
step= 8 -- reward= -87.93109068627417 -- cost1= -2426.0 6067 --cost2= 0.0 8023 epsilon= 0.01
step= 9 -- reward= -88.05691919191872 -- cost1= -2427.0 6031 --cost2= 0.0 7985 epsilon= 0.01
step= 10 -- reward= -84.58342608780073 -- cost1= -2356.0 6065 --cost2= 0.0 7952 epsilon= 0.01
step= 11 -- reward= -85.65637140637119 -- cost1= -2369.0 6045 --cost2= 0.0 8064 epsilon= 0.01
step= 12 -- reward= -85.251522407331 -- cost1= -2347.0 6067 --cost2= 0.0 8079 epsilon= 0.01
step= 13 -- reward= -88.63747659976738 -- cost1= -2485.0 6062 --cost2= 0.0 7997 epsilon= 0.01
step= 14 -- reward= -87.8668492618489 -- cost1= -2440.0 6058 --cost2= 0.0 7843 epsilon= 0.01
step= 15 -- reward= -89.02949397824361 -- cost1= -2440.0 6028 --cost2= 0.0 8079 epsilon= 0.01
step= 16 -- reward= -88.3406702774345 -- cost1= -2447.0 6042 --cost2= 0.0 7993 epsilon= 0.01
step= 17 -- reward= -85.79448912198868 -- cost1= -2395.0 6072 --cost2= 0.0 8073 epsilon= 0.01
step= 18 -- reward= -87.74565850815819 -- cost1= -2408.0 6043 --cost2= 0.0 8006 epsilon= 0.01
step= 19 -- reward= -88.89653311965785 -- cost1= -2423.0 5987 --cost2= 0.0 7961 epsilon= 0.01
step= 20 -- reward= -89.12787247474714 -- cost1= -2446.0 6041 --cost2= 0.0 7928 epsilon= 0.01
step= 21 -- reward= -90.38812548562514 -- cost1= -2463.0 6028 --cost2= 0.0 8081 epsilon= 0.01
step= 22 -- reward= -85.20132332944806 -- cost1= -2368.0 6079 --cost2= 0.0 8026 epsilon= 0.01
step= 23 -- reward= -87.76341297591262 -- cost1= -2390.0 6009 --cost2= 0.0 8014 epsilon= 0.01
step= 24 -- reward= -86.07119560994524 -- cost1= -2388.0 6051 --cost2= 0.0 7903 epsilon= 0.01
step= 25 -- reward= -86.46250825563286 -- cost1= -2367.0 6049 --cost2= 0.0 7928 epsilon= 0.01
